"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C31",0,0,1,0,0,0,0,"a"
"C52",0,0,0,0,0,0,1,
"C63",0,0,1,0,0,0,1,"a"
"C73",0,1,0,0,0,0,0,"a"
"C83",0,1,0,0,0,0,0,"a"
"C92",0,0,0,0,0,0,1,
"D01",0,1,0,0,0,0,0,"a"
"F52",1,0,0,0,0,0,0,"a"
"G22",1,0,0,0,0,0,0,"a"
"G40",0,0,1,0,0,0,0,"a"
"G51",0,0,1,0,0,0,0,"a"
"G60",0,0,1,0,0,0,1,"a"
"G62",1,0,0,0,1,0,0,"a"
"G63",0,0,0,0,1,0,0,"a"
"G72",0,0,1,0,0,0,0,"a"
"G91",0,0,0,0,1,0,0,"a"
"G93",0,0,0,0,0,0,1,
"G95",1,1,1,0,0,0,0,"a"
"H01",0,0,0,0,1,0,0,"a"
"H13",0,1,1,0,0,0,0,"a"
"H16",0,0,0,1,0,0,0,"a"
"H22",1,0,1,0,0,0,0,"a"
"H24",0,0,0,0,1,0,0,"a"
"H30",0,0,0,0,0,0,1,
"H32",0,0,1,0,0,0,0,"a"
"H33",0,1,0,0,0,0,0,"a"
"H34",0,1,1,0,0,0,0,"a"
"H36",0,0,0,0,0,0,1,
"H40",0,0,1,0,0,0,1,"a"
"H42",0,1,1,0,1,1,1,"a"
"H46",0,0,0,0,1,0,0,"a"
"H61",0,0,0,0,0,0,1,
"H70",0,0,0,0,0,0,1,
"H72",0,0,0,0,1,0,0,"a"
"H84",0,0,1,1,0,0,0,"a"
"H87",0,0,0,1,0,0,0,"a"
"H90",0,0,0,0,1,1,0,"a"
"H94",0,0,0,0,0,0,1,
"H99",1,1,0,0,0,0,0,"a"
"J04",0,0,0,1,1,0,0,"a"
"J05",0,0,0,1,0,1,0,"a"
"J10",0,0,0,0,1,0,0,"a"
"J16",0,0,1,0,0,0,0,"a"
"J18",0,1,0,0,0,0,0,"a"
"J23",0,0,1,0,0,0,0,"a"
"J25",0,0,1,0,0,0,0,"a"
"J37",0,0,0,0,1,0,0,"a"
"J38",0,0,0,0,1,0,0,"a"
"J48",0,0,1,0,0,0,0,"a"
"J49",0,0,1,0,0,0,0,"a"
"L84",0,0,0,0,0,1,0,
"L98",0,0,1,0,0,0,0,"a"
"M04",0,0,0,0,0,1,0,
"M24",0,0,1,0,0,0,0,"a"
"M26",0,0,1,0,0,0,0,"a"
"M30",0,0,0,0,0,0,1,
"M32",1,0,0,0,0,0,0,"a"
"M37",1,0,0,0,0,0,0,"a"
"M44",0,0,0,0,0,0,1,
"M45",0,0,0,0,1,0,0,"a"
"M52",0,0,0,0,0,0,1,
"M53",0,0,1,0,0,0,0,"a"
"M56",0,0,0,0,0,0,1,
"M62",0,0,1,0,0,0,0,"a"
"M67",0,0,0,0,0,0,1,
"M77",0,0,0,0,0,0,1,
"M79",0,0,1,0,0,0,0,"a"
"M80",0,0,0,0,1,0,0,"a"
"M81",0,0,0,0,0,0,1,
"M82",1,0,0,0,0,0,1,"a"
"M89",0,0,1,0,0,0,0,"a"
"M91",0,0,0,0,1,0,1,"a"
"M92",0,0,0,0,0,0,1,
"M96",0,0,0,0,1,0,0,"a"
"N00",0,0,0,0,1,1,1,"a"
"N01",1,0,1,0,1,1,1,"a"
"N02",0,0,0,0,0,1,1,
"N03",1,0,0,0,0,0,1,"a"
"N04",0,0,1,0,1,0,1,"a"
"N09",0,0,0,0,0,0,1,
"N10",0,0,0,0,1,0,1,"a"
"N11",0,0,1,0,1,0,1,"a"
"N12",0,0,0,0,1,1,1,"a"
"N21",0,0,0,0,0,0,1,
"N22",0,0,0,0,0,0,1,
"N23",0,0,0,0,0,0,1,
"N24",0,0,1,0,0,0,0,"a"
"N31",0,0,0,0,0,0,1,
"N32",0,0,0,0,1,0,1,"a"
"N33",0,0,0,1,1,0,1,"a"
"N34",0,0,1,0,0,0,0,"a"
"N37",0,0,1,0,0,0,0,"a"
"N38",0,0,0,0,1,0,0,"a"
"N40",0,0,1,0,1,0,0,"a"
"N41",0,0,1,0,0,0,1,"a"
"N42",0,0,0,0,1,0,1,"a"
"N43",0,0,0,0,0,0,1,
"N44",0,0,0,1,0,0,0,"a"
"N45",0,0,1,1,0,0,1,"a"
"N46",0,0,0,0,0,0,1,
"N50",1,0,0,0,0,0,0,"a"
"N52",0,0,0,0,0,0,1,
"N53",0,0,0,0,0,0,1,
"N54",0,0,0,0,1,0,1,"a"
"N55",0,0,1,0,1,0,1,"a"
"N56",0,0,0,0,1,0,0,"a"
"N60",0,0,0,0,0,1,1,
"N61",0,0,0,0,1,0,0,"a"
"N62",0,0,0,0,1,0,1,"a"
"N63",0,0,0,0,0,0,1,
"N64",0,0,0,0,1,1,0,"a"
"N71",1,1,0,0,1,0,0,"a"
"N73",1,1,0,0,0,0,0,"a"
"N74",0,0,1,0,1,0,0,"a"
"N77",0,0,0,0,1,0,0,"a"
"N80",1,1,0,0,1,0,0,"a"
"N81",0,0,0,0,0,0,1,
"N82",1,0,0,0,0,0,0,"a"
"N84",1,0,1,1,1,1,1,"a"
"N92",0,0,0,0,1,0,0,"a"
"N93",0,0,0,1,1,0,0,"a"
"N96",0,0,0,0,0,1,0,
"N98",0,0,0,0,0,0,1,
"ND04",0,0,0,0,0,1,0,
"NH36",0,0,1,0,0,0,0,"a"
"NH46",0,0,1,0,0,0,0,"a"
"NH54",0,0,1,0,1,0,0,"a"
"NH55",0,0,1,0,1,0,0,"a"
"NH64",0,0,1,0,0,0,0,"a"
"NH70",0,0,1,1,0,0,0,"a"
"NH72",0,0,0,1,0,0,0,
"NH78",0,0,1,0,0,0,0,"a"
"NH87",0,0,1,0,0,0,0,"a"
"NH91",0,0,1,1,0,0,0,"a"
"NH92",0,0,0,0,1,0,0,"a"
"NH95",0,0,1,0,0,0,0,"a"
"NJ02",0,0,1,0,0,0,0,"a"
"NJ05",0,0,1,0,0,0,0,"a"
"NJ14",0,0,1,0,0,0,0,
"NJ15",0,0,1,0,0,0,0,"a"
"NJ16",0,0,1,0,1,0,0,"a"
"NJ24",0,0,1,1,0,0,0,"a"
"NJ26",0,0,0,0,0,1,0,
"NJ45",0,0,1,1,0,0,0,"a"
"NJ46",0,0,1,0,0,0,0,"a"
"NJ53",0,0,0,0,1,0,0,"a"
"NJ54",0,0,1,0,0,0,0,"a"
"NJ62",0,0,0,0,1,0,0,"a"
"NM93",0,0,0,0,1,0,0,"a"
"NN03",0,0,0,0,1,0,0,"a"
"NN05",0,0,0,0,0,1,0,
"NN10",0,0,0,0,1,0,0,"a"
"NN12",1,0,1,0,0,0,1,"a"
"NN22",0,0,1,0,1,0,0,"a"
"NN32",0,0,1,0,0,0,0,"a"
"NN33",0,0,1,0,0,0,0,"a"
"NN34",0,0,0,0,1,0,0,"a"
"NN38",0,0,0,0,0,0,1,
"NN42",0,0,0,0,1,0,0,
"NN51",0,0,0,1,0,0,0,"a"
"NN52",0,0,1,1,0,0,0,"a"
"NN60",0,0,0,1,0,0,0,"a"
"NN62",0,0,1,0,0,0,0,"a"
"NN70",0,0,0,1,0,0,1,"a"
"NN72",0,0,1,0,0,0,0,"a"
"NN82",0,0,0,0,0,0,1,
"NN95",0,0,0,0,1,0,0,"a"
"NO00",0,0,0,1,0,0,0,"a"
"NO01",0,0,0,0,0,1,0,
"NO02",0,0,1,0,0,0,0,"a"
"NO10",0,0,0,1,1,0,0,"a"
"NO12",0,0,0,0,0,0,1,
"NO14",0,0,1,0,0,0,0,"a"
"NO20",0,0,1,1,0,0,0,"a"
"NO21",0,0,0,1,1,1,0,"a"
"NO22",0,0,0,0,1,0,0,
"NO23",0,0,0,0,1,0,0,"a"
"NO24",0,0,1,0,0,0,1,"a"
"NO30",0,0,0,1,1,0,0,"a"
"NO31",0,0,1,0,0,0,0,"a"
"NO32",0,0,1,1,1,0,0,"a"
"NO33",0,0,1,0,1,0,0,"a"
"NO34",0,0,0,0,1,1,0,"a"
"NO35",0,0,1,0,0,1,0,"a"
"NO41",0,0,0,1,0,0,0,"a"
"NO42",0,0,0,1,1,0,0,"a"
"NO43",0,0,1,0,0,0,0,"a"
"NO44",0,0,1,0,0,0,0,"a"
"NO45",0,0,1,0,0,1,0,"a"
"NO50",0,0,0,1,1,0,1,"a"
"NO51",0,0,1,1,0,0,0,"a"
"NO53",0,0,1,0,0,0,0,"a"
"NO54",0,0,1,0,0,0,0,"a"
"NO55",0,0,1,1,0,1,0,"a"
"NO60",0,1,0,1,0,0,0,"a"
"NO63",0,0,1,0,0,0,0,"a"
"NO64",0,0,1,0,0,0,0,"a"
"NO65",0,0,1,1,1,0,0,"a"
"NO66",0,0,0,0,1,0,0,"a"
"NO76",0,0,1,0,0,0,0,"a"
"NO87",0,0,1,0,0,0,0,"a"
"NO88",0,0,0,0,1,0,0,"a"
"NO89",1,0,0,0,0,0,0,
"NO99",0,0,1,0,1,0,0,"a"
"NS20",0,0,1,0,0,0,0,"a"
"NS21",0,0,0,0,0,0,1,
"NS24",0,0,0,0,1,0,1,"a"
"NS25",0,0,1,0,1,0,1,"a"
"NS27",0,0,0,0,1,0,0,"a"
"NS28",0,0,1,1,1,0,0,"a"
"NS29",0,0,0,0,0,1,0,
"NS31",0,0,0,0,1,0,0,"a"
"NS33",0,0,0,0,1,0,1,"a"
"NS35",0,0,0,0,1,1,1,"a"
"NS36",1,0,0,1,0,1,0,"a"
"NS37",0,0,1,1,1,1,0,"a"
"NS38",1,0,0,1,1,0,0,"a"
"NS40",0,0,0,0,1,0,0,"a"
"NS41",0,0,1,0,0,0,0,"a"
"NS43",0,1,0,0,1,0,0,"a"
"NS45",0,0,0,1,1,0,0,"a"
"NS46",0,0,0,1,1,1,0,"a"
"NS47",1,0,0,1,1,1,0,"a"
"NS48",0,0,0,0,1,0,0,"a"
"NS52",0,0,1,0,0,0,1,"a"
"NS53",0,0,1,0,1,0,1,"a"
"NS55",0,1,0,1,1,0,1,"a"
"NS56",0,0,0,1,1,1,1,"a"
"NS57",0,0,0,1,1,0,0,"a"
"NS59",0,0,0,0,0,0,1,
"NS61",0,0,1,0,0,0,0,"a"
"NS62",0,0,1,0,0,0,0,"a"
"NS65",0,0,0,1,1,1,1,"a"
"NS66",0,0,0,1,1,0,1,"a"
"NS67",0,0,1,1,1,0,0,"a"
"NS72",0,0,1,0,0,0,0,"a"
"NS74",0,0,0,0,0,1,0,
"NS75",1,0,0,0,0,1,1,"a"
"NS76",0,0,0,0,1,1,0,"a"
"NS77",0,0,0,0,1,0,0,"a"
"NS79",0,0,0,0,0,0,1,
"NS83",0,0,0,1,0,0,0,"a"
"NS84",0,0,1,0,0,1,1,"a"
"NS85",0,0,1,0,1,0,0,"a"
"NS86",0,0,0,0,1,0,0,"a"
"NS87",0,0,1,0,0,0,0,"a"
"NS88",0,0,1,0,0,0,1,"a"
"NS89",0,0,1,0,1,1,0,"a"
"NS91",0,0,1,0,0,0,0,"a"
"NS93",1,0,0,1,0,0,1,"a"
"NS95",0,0,0,0,1,0,0,"a"
"NS96",0,0,0,0,1,0,0,"a"
"NS97",0,0,0,0,1,0,0,"a"
"NS98",1,0,1,0,1,0,0,"a"
"NS99",0,0,0,1,1,1,0,"a"
"NT00",1,0,0,0,1,0,1,"a"
"NT01",0,0,1,0,0,1,0,"a"
"NT03",1,0,1,1,0,0,0,"a"
"NT06",0,0,0,1,1,0,0,"a"
"NT07",0,0,0,1,0,1,1,"a"
"NT08",0,0,0,1,0,1,0,"a"
"NT09",0,0,0,1,0,0,1,"a"
"NT13",0,0,0,1,0,0,0,"a"
"NT16",1,0,1,0,0,0,0,"a"
"NT17",1,0,1,1,1,0,0,"a"
"NT18",0,0,1,1,0,0,0,"a"
"NT19",0,0,1,0,1,0,0,"a"
"NT23",0,0,1,1,0,0,0,"a"
"NT24",0,0,1,1,0,0,0,"a"
"NT25",0,0,1,1,0,0,0,"a"
"NT26",0,0,0,1,0,0,0,"a"
"NT27",0,0,1,0,1,0,0,"a"
"NT28",0,0,1,1,0,0,0,"a"
"NT29",0,0,1,0,1,0,0,"a"
"NT33",0,0,0,1,1,0,1,"a"
"NT35",1,0,1,1,0,0,0,"a"
"NT36",0,0,1,1,1,0,0,"a"
"NT37",0,0,0,1,1,1,1,"a"
"NT39",0,0,1,0,1,0,0,"a"
"NT41",0,0,0,0,0,1,0,
"NT42",0,0,0,1,1,0,1,"a"
"NT43",0,0,0,1,1,0,0,"a"
"NT44",0,0,1,1,1,0,0,"a"
"NT45",0,0,1,0,1,0,0,
"NT46",0,0,1,0,1,0,1,"a"
"NT47",0,0,1,1,0,0,1,"a"
"NT50",0,0,1,1,0,1,1,"a"
"NT51",0,0,0,1,1,1,1,"a"
"NT52",1,0,0,1,1,1,1,"a"
"NT53",1,0,1,0,1,1,0,"a"
"NT54",1,0,1,0,0,0,0,"a"
"NT57",1,0,0,0,0,0,0,"a"
"NT58",0,0,0,0,1,0,0,"a"
"NT61",0,0,0,0,0,1,0,
"NT62",1,0,1,0,0,0,1,"a"
"NT67",1,0,1,0,0,0,0,"a"
"NT73",0,0,0,0,1,0,0,"a"
"NT74",1,0,1,0,0,0,0,"a"
"NT75",0,1,1,0,1,0,0,"a"
"NT77",1,0,0,0,0,0,0,"a"
"NT83",1,0,1,0,0,0,0,"a"
"NT84",1,0,1,1,0,0,1,"a"
"NT85",1,0,1,0,0,0,1,"a"
"NT92",0,0,1,1,0,0,0,"a"
"NT93",1,0,1,0,0,0,0,"a"
"NT94",0,0,1,1,1,1,0,"a"
"NT95",1,0,1,1,0,0,0,"a"
"NT96",1,0,0,1,0,0,0,"a"
"NU00",1,0,1,0,0,0,0,"a"
"NU01",0,0,1,1,0,0,0,"a"
"NU02",1,0,1,0,0,0,0,"a"
"NU04",1,0,1,1,0,0,1,"a"
"NU11",0,0,1,1,0,0,0,"a"
"NU12",1,0,1,0,0,0,0,"a"
"NU13",1,0,0,0,0,1,0,"a"
"NU20",0,0,1,1,0,0,0,"a"
"NU21",0,0,0,1,1,0,1,"a"
"NU22",0,0,1,1,0,0,0,"a"
"NX06",0,0,0,0,1,0,1,"a"
"NX15",0,0,0,1,0,0,0,"a"
"NX18",1,0,0,0,0,0,0,"a"
"NX25",0,0,1,1,0,0,0,"a"
"NX26",0,0,1,0,0,0,0,"a"
"NX36",1,0,1,0,0,0,0,"a"
"NX45",0,0,0,1,1,0,0,"a"
"NX46",1,0,1,0,1,0,0,"a"
"NX47",0,0,0,1,0,0,0,"a"
"NX56",0,0,0,1,0,1,0,"a"
"NX65",0,0,0,1,0,0,1,"a"
"NX66",1,0,1,0,0,0,0,"a"
"NX67",0,0,1,0,0,0,1,"a"
"NX76",0,0,1,0,1,0,0,"a"
"NX86",0,0,1,0,1,0,0,"a"
"NX87",0,0,0,0,1,0,0,"a"
"NX89",0,0,0,0,1,0,0,"a"
"NX91",0,0,1,0,0,0,1,"a"
"NX92",0,0,0,1,1,0,1,"a"
"NX93",0,0,0,0,1,0,0,"a"
"NX95",0,0,0,0,1,0,0,"a"
"NX97",0,0,0,1,1,0,0,"a"
"NY00",0,0,0,1,0,0,0,"a"
"NY01",0,0,1,1,0,0,0,"a"
"NY02",0,0,0,1,0,1,0,"a"
"NY03",0,0,1,1,1,1,0,"a"
"NY04",0,0,0,1,0,0,0,"a"
"NY08",0,0,1,1,1,0,0,"a"
"NY13",0,0,0,1,0,0,0,"a"
"NY14",0,0,1,1,1,0,0,"a"
"NY18",0,0,0,1,1,0,1,"a"
"NY21",0,0,0,0,0,1,0,
"NY22",0,0,0,1,0,1,0,"a"
"NY23",0,0,0,1,1,0,0,"a"
"NY24",0,0,0,1,0,1,0,"a"
"NY25",0,0,1,1,0,0,0,"a"
"NY26",0,0,0,0,0,0,1,
"NY27",0,0,1,0,0,0,1,"a"
"NY30",0,0,0,1,1,0,0,"a"
"NY32",0,0,0,1,1,0,1,"a"
"NY33",0,0,0,1,0,1,0,"a"
"NY34",0,0,0,1,0,0,0,"a"
"NY35",0,0,1,1,1,0,1,"a"
"NY36",0,0,0,1,1,0,1,"a"
"NY37",0,0,1,1,0,0,0,"a"
"NY38",0,0,0,0,0,0,1,
"NY40",0,0,0,1,1,0,0,"a"
"NY42",0,0,0,1,0,0,0,"a"
"NY43",0,0,0,1,0,0,0,"a"
"NY44",0,0,1,1,1,0,0,"a"
"NY45",0,0,1,1,0,0,0,"a"
"NY46",0,0,0,1,0,0,0,"a"
"NY47",0,0,0,1,1,1,1,"a"
"NY48",0,0,0,1,1,1,1,"a"
"NY50",0,0,0,1,0,0,0,"a"
"NY52",0,0,0,1,1,1,0,"a"
"NY53",0,0,1,1,1,0,0,"a"
"NY54",0,0,1,0,0,0,0,"a"
"NY55",0,0,0,1,0,0,1,"a"
"NY57",0,0,0,0,0,1,0,
"NY58",0,0,0,1,1,1,1,"a"
"NY59",0,0,1,1,1,0,0,"a"
"NY60",0,0,0,1,1,0,0,"a"
"NY62",0,0,1,1,1,0,0,"a"
"NY65",0,0,1,1,1,0,0,"a"
"NY66",0,0,0,1,0,1,0,"a"
"NY67",0,0,0,1,1,0,0,"a"
"NY68",0,0,0,0,0,0,1,
"NY69",1,0,1,0,0,0,0,"a"
"NY70",0,0,1,1,1,1,1,"a"
"NY71",0,0,1,1,0,1,0,"a"
"NY72",0,0,0,1,0,0,0,"a"
"NY74",0,0,1,1,1,0,0,"a"
"NY76",0,0,0,1,0,1,0,
"NY77",0,0,0,0,1,0,0,
"NY78",0,0,1,1,0,0,1,"a"
