"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"F50",0,0,0,0,0,0,1,
"F80",0,0,0,0,0,0,1,
"G02",0,0,0,0,0,1,0,
"L54",0,0,0,0,1,0,1,"n"
"L55",0,0,0,0,1,0,1,"n"
"L63",0,0,0,0,1,0,1,"n"
"L64",0,0,0,1,1,1,1,"n"
"L65",0,0,0,0,1,1,1,"n"
"L66",0,0,0,0,1,0,1,"n"
"L73",0,0,0,1,1,1,1,"n"
"L74",0,0,0,0,1,1,1,"n"
"L75",0,0,0,1,1,1,1,"n"
"L76",0,0,0,1,1,1,1,"n"
"L82",0,0,0,0,1,1,1,"n"
"L83",0,0,0,0,1,0,1,"n"
"L84",0,0,0,0,1,1,1,"n"
"L85",0,0,0,0,1,0,1,"n"
"L86",0,0,0,0,1,1,1,"n"
"L87",0,0,0,0,1,0,1,"n"
"L88",0,0,0,0,1,0,1,"n"
"L92",0,0,0,0,1,1,1,"n"
"L93",0,0,0,0,1,0,1,"n"
"L94",0,0,0,0,1,1,1,"n"
"L95",0,0,0,0,1,1,1,"n"
"L96",0,0,0,0,1,1,1,
"L97",0,0,0,0,1,1,1,
"L98",0,0,0,0,0,1,1,
"M02",0,0,0,0,1,0,1,"n"
"M03",1,0,0,0,1,1,1,"n"
"M04",0,0,0,0,1,1,1,"n"
"M05",0,0,0,0,1,1,0,"n"
"M06",1,0,0,0,1,1,1,"n"
"M07",0,0,0,0,0,0,1,
"M08",0,0,1,0,0,0,0,"n"
"M12",0,0,0,0,1,1,1,"n"
"M13",0,0,0,0,1,0,1,"n"
"M14",0,0,0,0,1,0,1,"n"
"M15",0,0,0,0,0,0,1,
"M17",0,0,0,0,1,0,0,"n"
"M18",0,0,0,0,0,1,0,
"M22",0,0,0,0,1,1,1,"n"
"M23",0,0,0,0,1,0,1,"n"
"NJ05",0,0,1,0,0,0,0,
"NJ35",0,1,0,0,0,1,0,
"NM49",0,0,1,0,0,0,0,
"NM73",0,0,0,0,0,1,0,
"NT26",0,0,0,0,0,1,0,
"NX74",0,0,0,0,0,0,1,
"NY96",1,0,0,0,0,0,0,"a"
"SE69",0,0,0,0,0,1,1,
"SJ95",0,0,0,0,0,1,0,
"SO11",0,0,0,0,0,0,1,
"SU21",0,0,0,0,0,0,1,
"SU42",0,1,0,0,0,0,0,"a"
"SU46",0,0,0,0,0,0,1,
"SU83",0,0,0,0,0,0,1,
"SU84",1,0,0,0,0,0,0,
"SU86",0,0,0,0,0,0,1,
"SU92",0,0,0,0,0,1,0,
"SU95",0,0,0,0,1,1,1,"a"
"SU96",0,0,0,0,0,0,1,
"SW74",0,0,0,0,1,1,0,"a"
"SX16",1,0,0,0,0,0,0,"a"
"SY88",1,0,0,0,0,0,0,"a"
"SY98",0,0,0,0,1,1,0,"a"
"SY99",0,0,0,0,1,0,0,"a"
"SZ19",0,0,0,0,1,0,0,"a"
"TG14",0,0,0,0,0,0,1,
"TM59",0,1,0,0,0,0,0,"a"
"TQ01",0,0,1,0,0,0,0,"a"
"TQ04",0,0,0,0,1,0,0,"a"
"TQ14",0,0,0,0,0,0,1,
"W23",0,0,0,0,0,0,1,
"WV64",0,0,0,0,1,0,0,"a"
