"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"SJ43",1,0,0,0,0,0,0,"n"
"SJ51",1,0,0,0,0,0,0,"n"
"SK50",1,0,0,0,0,0,0,"n"
"SK83",1,0,0,0,0,0,0,"n"
"SO56",1,0,0,0,0,0,0,"n"
"SO87",1,0,0,0,0,0,0,"n"
"SU67",1,0,0,0,0,0,0,"n"
"SU70",1,0,0,0,0,0,0,"n"
"SU75",1,0,0,0,0,0,0,"n"
"SU77",1,0,0,0,0,0,0,"n"
"SU89",1,0,0,0,1,0,0,"n"
"SU94",1,0,0,0,0,0,0,"n"
"SU95",1,1,1,0,0,0,0,"n"
"SU97",1,0,0,0,0,0,0,"n"
"SU98",1,1,1,1,1,1,0,"n"
"SU99",1,0,0,1,1,0,0,"n"
"SZ19",1,0,0,0,0,0,0,"n"
"SZ29",1,1,0,0,0,0,0,"n"
"TA13",1,0,0,0,0,0,0,"n"
"TF11",1,0,0,0,0,0,0,"n"
"TF19",1,0,0,0,0,0,0,
"TF47",1,0,0,0,0,0,0,"n"
"TM26",1,0,0,0,0,0,0,"n"
"TM46",0,0,1,0,0,0,0,"n"
"TQ02",1,0,0,0,0,0,0,"n"
"TQ04",1,0,0,0,0,0,0,"n"
"TQ05",0,1,0,0,0,0,0,"n"
"TQ08",1,0,1,0,1,1,1,"a"
"TQ09",1,0,1,0,0,0,0,"n"
"TQ11",1,0,0,0,0,0,0,"n"
"TQ12",1,0,0,0,0,0,0,"n"
"TQ14",1,1,0,0,0,0,1,"n"
"TQ15",1,0,0,0,0,0,0,"n"
"TQ16",1,1,1,0,1,1,1,"a"
"TQ17",1,0,0,0,0,0,0,"n"
"TQ21",1,0,0,0,0,0,0,"n"
"TQ24",1,0,0,0,0,0,0,"n"
"TQ25",1,1,1,1,1,0,1,"a"
"TQ26",1,1,0,0,1,0,1,"n"
"TQ27",1,0,0,0,0,0,0,"n"
"TQ28",1,0,0,0,0,0,0,"n"
"TQ29",1,0,1,0,0,0,0,"n"
"TQ31",1,1,1,0,0,0,0,"n"
"TQ32",1,0,0,0,0,0,0,"n"
"TQ34",1,0,0,0,0,0,0,"n"
"TQ35",1,0,0,0,0,0,0,"n"
"TQ37",1,0,0,0,0,0,0,"n"
"TQ38",1,0,0,0,0,0,0,"n"
"TQ41",1,0,0,0,0,0,0,"n"
"TQ42",1,0,0,0,0,0,0,"n"
"TQ48",1,0,0,0,0,0,0,"n"
"TQ49",1,0,0,0,0,0,0,"n"
"TQ53",1,0,0,0,0,0,0,"n"
"TQ58",1,0,0,0,0,0,0,"n"
"TQ59",1,0,0,0,0,0,0,"n"
"TQ97",1,0,0,0,0,0,0,"n"
"TR23",1,0,0,0,0,0,0,"n"
"TR26",1,0,0,0,0,0,0,"n"
"TR36",1,0,0,0,0,0,0,"n"
