"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B71",0,0,1,0,1,0,1,"n"
"B72",0,0,0,0,1,1,1,"n"
"B82",0,0,1,0,0,0,1,"n"
"B92",1,0,0,0,0,0,0,"n"
"B93",0,0,1,0,0,0,1,"n"
"C03",1,0,0,0,0,0,0,"n"
"C14",1,0,1,0,1,1,1,"n"
"C24",1,0,1,0,0,0,0,"n"
"C34",1,0,1,0,1,1,0,"n"
"C45",0,0,1,0,1,0,1,"n"
"C64",1,0,0,0,0,0,0,"n"
"C73",1,1,0,1,0,0,0,"n"
"C83",1,0,0,1,0,0,0,"n"
"C94",1,1,0,0,0,0,0,"n"
"D04",0,0,1,1,1,1,0,"n"
"D14",1,0,0,0,0,0,0,"n"
"D22",1,0,0,0,0,0,0,"n"
"D23",1,1,0,0,0,0,0,"n"
"F51",1,0,0,0,0,0,0,"n"
"F60",0,0,1,0,1,0,1,"n"
"F61",0,0,1,0,1,0,1,"n"
"F62",0,0,1,0,1,0,1,"n"
"F63",0,0,1,0,1,1,1,"n"
"F71",0,0,0,0,1,0,1,"n"
"F72",1,0,1,0,0,0,1,"n"
"F73",0,0,0,0,0,0,1,
"F83",0,0,1,0,1,0,0,"n"
"G48",0,0,1,0,0,0,0,"n"
"G58",0,0,0,0,1,1,1,"n"
"HU27",1,0,0,0,0,0,0,"n"
"HU31",1,0,0,0,0,0,0,"n"
"HU54",1,0,0,0,0,0,0,"n"
"HU59",1,0,0,0,0,0,0,"n"
"J10",0,0,0,0,1,0,0,"n"
"J20",0,0,0,0,1,0,1,"n"
"J21",1,0,1,0,1,1,1,"n"
"J33",1,0,0,0,0,0,0,"n"
"J43",1,0,0,1,1,1,1,"n"
"J48",0,0,0,0,0,1,1,
"J53",1,0,0,0,0,0,0,"n"
"J58",1,0,0,0,0,0,0,"n"
"J64",1,0,0,1,0,0,0,"n"
"J65",1,0,0,0,1,1,0,"n"
"L54",0,0,1,0,1,1,1,"n"
"L55",0,0,1,0,1,0,1,"n"
"L56",1,0,0,0,1,0,0,"n"
"L63",1,0,1,1,1,1,1,"n"
"L64",0,0,0,0,1,1,0,"n"
"L65",0,0,0,0,0,0,1,
"L72",0,0,0,0,1,0,1,"n"
"L76",0,0,1,1,0,0,1,"n"
"L77",0,0,1,1,1,0,1,"n"
"L79",0,0,1,0,0,0,0,"n"
"L80",1,0,1,0,0,0,0,"n"
"L81",0,0,0,0,0,0,1,
"L82",0,0,0,1,1,0,1,"n"
"L83",0,0,1,0,1,0,0,"n"
"L90",1,0,0,0,1,1,1,"n"
"L92",0,0,0,0,1,0,0,"n"
"M10",0,0,1,1,1,1,1,"n"
"M20",0,0,0,1,1,1,1,"n"
"M21",0,0,1,0,0,1,1,"n"
"NF60",1,1,1,1,0,0,0,"n"
"NF71",0,0,0,1,0,0,0,"n"
"NF72",1,1,0,0,0,0,0,"n"
"NF75",1,0,0,0,0,0,0,"n"
"NF76",1,1,1,0,1,0,1,"n"
"NF85",1,0,0,0,0,0,0,"n"
"NF87",0,0,0,1,0,0,0,
"NH75",0,0,1,0,0,0,0,"n"
"NJ06",1,0,0,0,0,0,0,"a"
"NJ16",1,0,0,0,0,0,0,"a"
"NK05",1,0,0,0,0,0,0,"n"
"NL58",0,1,1,1,1,1,0,"n"
"NL68",0,1,0,0,1,1,0,"n"
"NL94",1,1,1,0,1,1,1,"n"
"NM04",0,1,1,0,1,1,1,"n"
"NM15",0,1,0,0,1,0,0,"n"
"NM22",1,0,1,1,0,1,1,"n"
"NM24",0,0,0,1,0,0,0,"n"
"NM26",0,1,0,0,0,0,0,"n"
"NM31",0,0,0,0,0,0,1,
"NM46",0,0,0,0,0,1,1,
"NM48",1,0,0,0,0,0,0,"n"
"NO40",1,1,0,0,0,0,0,"n"
"NO51",1,1,0,0,0,0,0,"n"
"NO53",1,0,0,0,0,0,0,"n"
"NO64",1,0,0,0,0,0,0,"n"
"NO75",1,0,0,0,0,0,0,"n"
"NO76",1,0,0,0,0,0,0,"n"
"NR15",0,1,1,1,1,1,1,"n"
