"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B91",1,0,0,0,0,0,0,"n"
"C23",0,0,0,0,0,0,1,"n"
"C33",0,0,0,0,1,0,0,"n"
"C34",0,0,0,0,1,0,0,"n"
"H63",0,0,0,1,0,0,0,"a"
"J04",0,0,1,0,0,0,0,"a"
"J28",0,0,0,0,1,0,0,"a"
"J36",0,0,0,0,1,0,0,"a"
"L67",0,0,0,0,0,1,1,
"M50",0,0,0,0,1,1,1,"n"
"NZ52",0,0,0,0,0,0,1,
"Q30",0,0,0,0,1,0,0,"n"
"Q40",1,0,0,0,0,0,0,"n"
"Q80",0,0,0,0,0,0,1,
"Q82",1,0,0,0,0,0,0,"n"
"Q90",1,0,0,0,1,0,1,"n"
"Q91",0,0,0,0,1,1,1,"n"
"Q92",1,0,0,0,0,1,1,"n"
"Q93",1,0,0,0,0,0,0,"n"
"R00",0,0,0,0,1,0,1,"n"
"R01",0,0,0,0,1,1,1,"n"
"R02",0,0,0,0,1,1,1,"n"
"R03",0,0,0,0,1,0,1,"n"
"R10",0,0,0,0,0,1,1,"n"
"R11",0,0,0,0,1,1,1,"n"
"R12",1,0,0,0,1,1,1,"n"
"R13",1,0,0,0,1,1,1,"n"
"R14",1,0,0,1,0,0,0,"n"
"R20",0,0,0,0,1,1,1,"n"
"R21",0,0,0,0,1,1,1,"n"
"R22",0,0,0,0,0,1,1,"n"
"R23",0,0,0,0,1,0,1,"n"
"R30",0,0,0,0,1,1,1,"n"
"R31",0,0,0,0,1,1,1,"n"
"R32",0,0,0,0,0,0,1,
"R44",1,0,0,0,0,0,0,"n"
"R51",0,0,0,0,1,0,0,"n"
"R59",0,0,0,0,0,1,0,"n"
"R60",0,0,0,0,1,0,1,"n"
"R61",0,0,0,0,1,1,1,"n"
"R70",0,0,0,0,1,0,0,"n"
"R71",0,0,1,0,1,1,1,"n"
"R72",0,0,0,0,0,0,1,"n"
"R80",0,0,0,0,1,1,1,"n"
"R81",0,0,0,0,0,1,1,"n"
"R82",0,0,0,0,0,0,1,"n"
"R90",0,0,0,0,1,1,1,"n"
"S00",0,0,0,0,1,0,0,"n"
"S10",0,0,0,0,1,1,1,"n"
"S11",1,1,0,0,1,0,0,"n"
"S12",1,1,0,0,0,0,0,"n"
"S20",0,0,0,0,0,1,0,"n"
"S21",0,1,1,1,1,1,1,"n"
"SO41",0,0,0,0,0,1,1,"a"
"SP07",0,0,0,0,1,0,0,"a"
"SS64",0,0,0,0,1,1,0,"a"
"SS74",1,1,1,1,1,1,1,"n"
"SU72",0,0,0,0,0,0,1,
"SU87",0,0,0,0,0,0,1,"a"
"SU88",0,0,0,0,0,1,0,"a"
