"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"H32",0,0,0,1,1,0,0,"a"
"H85",0,0,0,1,0,0,0,"a"
"H98",0,0,0,0,0,1,0,
"J18",0,0,0,0,1,1,0,"a"
"N05",0,0,0,0,1,0,0,"a"
"N10",0,0,0,0,0,0,1,
"NH41",0,0,0,0,0,0,1,
"NH64",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NH95",0,0,0,0,0,0,1,
"NJ05",0,0,0,0,0,0,1,
"NJ16",0,0,0,0,0,0,1,
"NJ26",0,0,0,0,0,0,1,
"NJ36",0,0,0,0,0,0,1,
"NJ51",1,0,0,0,0,0,0,"a"
"NN79",0,0,0,0,0,0,1,
"NN84",0,0,0,0,0,0,1,
"NN86",0,0,0,0,0,1,1,
"NN95",0,0,0,0,0,1,1,
"NO02",0,0,0,1,0,0,1,
"NO11",1,0,1,1,1,1,1,"a"
"NO12",0,0,0,1,1,0,0,"a"
"NO21",0,0,0,0,1,0,0,"a"
"NO24",0,0,0,0,0,0,1,
"NO32",0,0,0,0,0,0,1,
"NO40",0,0,1,0,0,0,0,"a"
"NO50",1,0,0,0,0,0,0,"a"
"NO51",0,0,0,0,0,0,1,
"NO61",1,0,0,1,1,0,0,"a"
"NO64",0,0,0,0,0,0,1,
"NO86",0,0,0,0,0,0,1,
"NS31",1,0,0,0,0,0,0,"a"
"NS32",1,0,0,0,0,0,0,"a"
"NS38",0,0,0,0,1,0,0,"a"
"NS56",0,0,0,0,0,1,0,
"NS57",0,0,0,0,0,0,1,
"NS65",1,0,0,0,0,0,0,"a"
"NS75",1,0,0,0,0,0,0,"a"
"NT08",0,0,0,1,1,0,0,"a"
"NT17",0,0,0,0,0,0,1,
"NT18",0,0,0,0,0,0,1,
"NT26",0,0,0,0,0,0,1,
"NT27",1,0,0,0,0,0,1,"a"
"NT33",0,0,0,0,0,0,1,
"NT36",1,0,0,0,0,0,1,"a"
"NT46",0,0,0,1,1,1,0,"a"
"NT51",1,0,1,0,0,0,0,"a"
"NT52",1,0,1,0,0,0,0,"a"
"NT53",1,0,0,1,1,0,1,"a"
"NT57",0,0,0,0,0,1,1,
"NT58",0,0,1,1,0,0,0,"a"
"NT67",1,0,1,1,0,0,0,"a"
"NT73",0,0,0,0,0,1,0,
"NT90",0,0,0,0,0,0,1,
"NT93",1,0,1,0,0,0,0,"a"
"NU10",0,0,0,0,0,1,1,"a"
"NU12",0,0,0,0,0,0,1,
"NU13",0,0,0,0,0,0,1,
"NU20",0,0,0,0,0,0,1,"a"
"NU21",0,0,0,0,0,0,1,
"NX85",0,0,0,0,1,0,0,
"NY14",0,0,0,0,0,0,1,
"NY22",0,0,0,0,0,1,0,
"NY24",1,0,0,0,0,0,0,"a"
"NY32",0,0,0,1,0,0,0,"a"
"NY34",0,0,0,1,1,1,0,"a"
"NY42",0,0,0,0,0,0,1,
"NY43",0,0,0,0,0,1,0,
"NY44",0,1,0,0,0,0,0,"a"
"NY52",0,0,1,0,0,0,1,"a"
"NY72",0,0,0,0,0,1,0,
"NY96",1,0,1,1,1,1,1,"a"
"NZ01",1,0,0,0,0,0,0,
"NZ03",1,0,0,0,0,0,0,"a"
"NZ06",0,0,0,0,0,1,1,
"NZ08",0,0,0,1,0,0,0,"a"
"NZ09",1,0,0,0,0,0,0,"a"
"NZ10",0,0,0,0,0,0,1,
"NZ11",1,1,0,1,1,0,1,"a"
"NZ13",1,0,0,0,0,0,0,"a"
"NZ14",0,0,0,0,0,1,0,
"NZ16",0,0,0,0,1,1,0,
"NZ20",0,0,0,0,0,0,1,
"NZ21",0,0,0,0,0,0,1,
"NZ23",1,0,0,0,0,0,1,"a"
"NZ24",0,0,0,0,0,0,1,
"NZ25",0,0,0,0,0,1,1,
"NZ26",0,0,0,0,0,1,1,
"NZ28",0,0,0,0,0,1,0,
"NZ30",1,0,1,0,0,0,0,"a"
"NZ35",1,0,0,0,0,0,0,"a"
"NZ40",0,0,0,1,0,1,0,"a"
"NZ41",0,0,0,0,1,1,1,
"NZ50",0,0,0,0,0,1,0,
"NZ51",1,0,0,0,0,0,1,"a"
"NZ62",0,0,0,0,0,0,1,
"O14",0,0,0,0,0,1,1,
"S11",0,0,0,0,0,1,0,
"S46",0,0,0,0,0,0,1,
"S61",0,0,0,0,0,1,0,
"S76",0,0,0,0,0,0,1,
"SC39",1,0,0,1,0,0,0,"a"
"SC49",0,0,0,1,1,0,0,"a"
"SD20",0,0,0,0,0,1,1,
"SD31",0,0,0,0,0,1,1,
"SD32",0,0,0,0,0,1,0,
"SD38",0,0,0,1,0,0,1,"a"
"SD41",0,0,0,0,0,0,1,
"SD43",0,0,0,0,1,0,0,"a"
"SD47",1,0,1,1,1,1,1,"a"
"SD48",0,0,1,1,0,1,1,"a"
"SD49",0,0,0,0,0,1,1,
"SD50",0,0,0,0,1,0,0,
"SD51",0,0,0,0,0,1,0,
"SD52",0,0,1,0,0,1,0,
"SD53",1,0,0,0,0,0,0,"a"
"SD56",0,0,0,0,0,0,1,
"SD57",0,0,1,0,0,1,1,"a"
"SD58",0,0,0,0,0,1,1,
"SD59",0,0,0,1,0,1,1,"a"
"SD63",0,0,0,0,0,0,1,
"SD73",0,0,0,0,0,1,0,
"SD74",0,0,0,0,0,1,1,
