"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B82",0,0,1,0,0,0,0,"a"
"B84",1,0,0,0,0,0,0,"a"
"C14",1,0,0,0,0,0,0,"a"
"C24",1,0,1,0,1,0,0,"a"
"C54",0,0,0,0,1,0,0,"a"
"D14",1,0,0,0,0,0,0,"a"
"G23",0,0,0,0,1,0,0,"a"
"G43",0,0,0,0,0,0,1,
"G61",0,0,0,0,0,0,1,
"G75",1,0,0,0,0,0,0,
"H74",0,0,0,0,0,1,0,
"H87",0,0,0,0,1,0,1,"a"
"H90",0,0,0,0,0,0,1,
"H95",0,0,0,1,0,0,0,"a"
"H96",1,0,0,0,0,0,0,"a"
"H97",0,1,0,0,0,1,1,"a"
"HU15",1,0,0,0,0,0,0,"a"
"HU24",0,0,0,1,0,0,0,"a"
"HU30",1,0,0,0,0,0,0,"a"
"HU31",0,0,0,0,1,0,0,"a"
"HU42",1,0,0,0,0,0,0,"a"
"HU44",0,0,0,1,0,0,0,"a"
"HY30",1,0,1,0,0,0,0,"a"
"HY32",1,0,1,0,0,0,0,"a"
"HY50",1,0,0,1,0,0,0,"a"
"HY63",0,0,1,1,1,0,0,"a"
"HY75",0,0,0,0,1,0,0,"a"
"J00",1,0,0,0,0,0,1,"a"
"J10",0,0,0,0,0,0,1,
"J11",1,0,0,0,0,0,0,
"J15",1,0,0,0,0,0,0,
"J21",1,0,0,0,0,0,1,
"J26",0,0,0,0,1,0,0,"a"
"J31",1,0,0,0,0,0,0,
"J36",1,0,0,0,1,0,0,"a"
"J37",0,0,0,0,1,0,0,"a"
"J43",1,0,0,0,0,0,0,
"J46",1,0,0,0,0,0,1,
"J47",1,0,0,0,0,0,0,
"J48",0,0,0,0,1,0,0,"a"
"J53",1,0,0,0,0,0,0,
"J57",1,0,0,1,0,0,0,"a"
"J58",1,0,0,0,0,0,1,
"J64",0,0,0,1,1,0,0,"a"
"J65",0,0,0,1,0,0,1,"a"
"J66",1,0,0,0,0,0,0,
"M31",0,0,0,0,0,0,1,"a"
"M82",0,0,1,0,0,0,0,"a"
"M86",1,0,0,0,0,0,0,"a"
"N01",0,0,1,0,0,0,0,"a"
"N02",0,0,1,0,0,0,0,"a"
"N38",0,0,1,0,0,0,0,"a"
"N40",1,0,0,0,0,0,0,"a"
"N80",0,0,0,0,0,0,1,
"N83",0,0,0,0,1,0,0,"a"
"N99",1,0,0,0,0,0,0,"a"
"NB00",1,1,0,0,0,0,0,"a"
"NB03",0,1,0,0,0,0,0,"a"
"NB90",0,0,1,0,0,0,0,"a"
"NC02",0,0,1,0,1,0,0,"a"
"NC03",0,0,0,0,1,0,0,"a"
"NC14",0,0,0,0,1,0,0,"a"
"NC25",0,0,1,0,0,0,0,"a"
"NC26",0,0,1,0,0,0,0,"a"
"NC36",0,0,1,0,0,0,0,"a"
"NC50",1,0,1,0,0,0,0,"a"
"NC76",0,1,1,0,0,0,0,"a"
"NC80",1,0,1,0,0,0,0,"a"
"NC83",0,0,0,0,1,0,0,"a"
"NC86",0,0,1,0,0,0,0,"a"
"NC90",1,0,1,0,0,0,1,"a"
"NC92",0,0,1,0,0,0,1,"a"
"ND01",1,0,1,0,0,0,1,"a"
"ND02",0,0,1,1,0,0,0,"a"
"ND04",0,0,1,1,1,0,0,"a"
"ND16",1,0,0,0,0,0,0,"a"
"ND26",0,0,1,1,0,0,0,"a"
"ND27",0,0,0,1,0,0,0,"a"
"ND35",0,0,1,1,0,0,0,"a"
"ND37",0,0,1,1,0,1,0,"a"
"NF60",1,1,0,0,1,1,0,"a"
