"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HP60",1,0,0,0,0,0,0,"n"
"HT93",1,0,0,0,0,0,0,"n"
"HU32",1,0,0,0,0,0,0,"n"
"HU33",1,0,0,0,0,0,0,"n"
"HU35",0,0,1,0,0,0,0,"n"
"HU39",1,0,0,0,0,0,0,"n"
"NB01",0,1,0,0,0,0,0,"n"
"NB02",0,1,0,0,0,0,0,"n"
"NC10",0,0,1,0,0,0,0,"n"
"NC11",0,0,1,0,0,0,0,"n"
"NC12",0,0,1,0,0,0,0,"n"
"NC21",0,0,1,0,1,0,0,"n"
"NC22",1,0,0,0,0,0,0,"n"
"NC23",0,0,0,0,0,0,1,"n"
"NC25",0,0,1,0,0,0,0,"n"
"NC27",0,0,1,0,0,0,0,"n"
"NC32",0,0,1,0,0,0,0,"n"
"NC33",0,0,0,1,0,0,0,"n"
"NC43",0,0,0,0,1,0,0,"n"
"NC44",0,0,1,1,0,0,0,"n"
"NC45",1,0,0,0,0,0,0,"n"
"NC55",0,0,1,0,0,0,0,"n"
"NC63",0,1,0,0,0,0,0,"n"
"NC84",0,0,1,0,0,0,0,"n"
"ND36",0,0,0,0,1,0,0,"n"
"NG30",0,1,0,0,1,0,0,"n"
"NG42",1,0,0,0,0,0,0,"n"
"NG45",0,0,1,1,1,1,1,"n"
"NG46",0,0,1,1,0,0,0,"n"
"NG47",1,0,1,0,1,0,0,"n"
"NG52",0,0,0,0,1,0,0,"n"
"NG53",1,0,1,0,0,0,0,"n"
"NG54",0,0,1,0,1,0,0,"n"
"NG55",0,0,1,1,1,0,0,"n"
"NG91",0,1,0,0,0,0,1,"n"
"NG92",0,0,1,0,0,0,0,"n"
"NG96",0,0,1,0,0,0,0,"n"
"NH00",0,0,0,0,0,0,1,"n"
"NH02",0,0,1,1,0,0,0,"n"
"NH12",0,1,0,0,0,0,0,"n"
"NH13",0,1,1,1,0,0,1,"n"
"NH15",0,0,0,0,1,0,0,"n"
"NH17",0,0,0,1,0,0,0,"n"
