"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B91",1,0,1,1,1,0,1,"n"
"B92",0,0,1,0,1,1,1,"n"
"C02",0,0,0,0,1,1,0,"n"
"C71",0,0,1,0,0,0,0,"n"
"F50",1,0,1,0,1,0,1,"n"
"F60",1,0,1,1,1,1,1,"n"
"F72",0,0,0,0,1,0,0,"n"
"F80",0,0,1,0,0,0,1,"n"
"F90",0,0,1,0,1,0,1,"n"
"F91",0,0,1,0,1,0,1,"n"
"F92",0,0,0,0,0,1,1,"n"
"G00",0,0,1,0,1,0,1,"n"
"G01",0,0,1,0,0,0,0,"n"
"G10",1,0,1,0,0,1,1,"n"
"G11",1,0,0,0,0,0,0,"n"
"G20",1,1,1,0,0,1,0,"n"
"G31",1,0,0,0,0,0,0,"n"
"G53",0,0,1,0,0,0,1,"n"
"G57",0,0,0,0,0,0,1,"n"
"G67",1,0,0,0,0,0,0,"n"
"H17",1,0,0,0,0,0,0,"n"
"L56",1,0,1,0,1,1,1,"n"
"L57",0,0,0,0,0,0,1,"n"
"L65",0,1,0,1,0,1,1,"n"
"L66",1,0,1,1,1,0,0,"n"
"L67",1,0,0,0,0,1,1,"n"
"L68",1,0,0,0,1,0,1,"n"
"L69",1,0,1,0,0,0,0,"n"
"L74",1,0,1,0,1,1,1,"n"
"L75",0,0,1,1,1,1,1,"n"
"L76",1,1,1,1,1,1,1,"n"
"L77",0,0,1,0,0,1,0,"n"
"L78",0,0,0,0,0,1,1,"n"
"L79",1,0,1,0,1,0,1,"n"
"L83",0,0,1,0,0,0,0,"n"
"L84",1,0,1,0,1,1,1,"n"
"L85",0,0,1,0,1,0,1,"n"
"L86",0,0,1,0,1,1,1,"n"
"L87",0,0,1,0,1,0,1,"n"
"L88",0,0,1,0,0,1,0,"n"
"L89",0,1,0,0,0,0,1,"n"
"L94",0,0,0,0,1,1,1,"n"
"L95",0,0,1,0,1,1,1,"n"
"L96",0,0,1,0,1,1,1,"n"
"L97",0,0,1,0,1,0,0,"n"
"L98",0,1,0,0,0,0,1,"n"
"L99",0,0,0,0,1,0,0,"n"
"M02",0,0,0,0,0,0,1,"n"
"M03",0,0,0,0,1,0,1,"n"
"M04",0,0,1,1,1,1,0,"n"
"M05",1,0,1,0,1,0,0,"n"
"M06",1,0,1,0,1,0,0,"n"
"M09",0,0,0,0,1,0,0,"n"
"M12",0,0,1,0,1,1,1,"n"
"M13",0,0,0,0,1,0,0,"n"
"M19",0,0,0,0,1,0,0,"n"
"M22",0,0,0,0,0,0,1,"n"
"M55",0,0,0,0,0,0,1,"a"
"NO55",0,0,0,0,0,1,0,"a"
"NR98",0,0,0,0,1,0,0,"a"
"NS65",0,0,0,0,0,0,1,"a"
"NT67",0,0,0,0,1,0,0,"a"
"O21",0,0,0,0,0,0,1,
"Q20",0,0,0,0,1,0,0,"n"
"Q30",1,0,1,0,1,0,1,"n"
"Q31",0,0,0,0,1,0,1,"n"
"Q40",1,0,1,1,1,1,1,"n"
"Q41",1,0,1,1,1,1,1,"n"
"Q50",0,1,1,1,1,1,1,"n"
