"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B70",0,0,0,0,1,0,0,"n"
"B71",0,0,1,0,1,0,1,"n"
"B72",0,0,1,1,1,0,0,"n"
"B80",0,0,0,0,0,0,1,
"B81",0,0,0,0,0,0,1,
"B82",0,0,0,0,1,0,0,"n"
"B90",0,0,0,0,0,1,1,
"B93",0,0,0,0,0,1,0,
"C01",0,0,0,0,1,1,1,"n"
"C02",0,0,0,0,0,1,0,
"C03",0,0,0,0,1,1,1,"n"
"C12",0,0,0,0,0,0,1,
"C14",1,0,0,0,1,1,1,"n"
"C22",0,0,0,0,1,0,0,"n"
"C24",0,0,0,0,1,0,1,
"C30",0,0,0,0,1,0,0,"n"
"C31",0,0,0,0,1,0,0,"n"
"C32",0,0,0,0,1,0,0,"n"
"C34",0,0,0,0,1,0,0,"n"
"C40",0,0,0,0,1,0,0,"n"
"C41",0,0,1,1,1,0,0,"n"
"C45",1,0,0,0,0,0,0,"n"
"C50",0,0,0,0,1,0,0,"n"
"C54",0,0,0,0,1,0,0,"n"
"C62",1,0,0,0,0,0,1,"n"
"C63",0,0,0,0,0,1,1,
"C73",0,0,0,1,1,0,1,"n"
"C81",1,0,0,0,1,0,0,"n"
"C83",0,1,0,0,1,1,1,"n"
"C91",0,1,1,1,1,0,1,"n"
"C94",1,0,0,0,0,0,0,"n"
"D01",0,0,0,0,1,0,0,"n"
"D02",0,0,0,0,1,0,0,"n"
"D10",0,0,0,0,1,0,0,"n"
"D14",1,0,1,1,1,0,1,"n"
"D15",1,0,0,0,0,0,0,"n"
"D21",0,0,1,0,1,1,0,"n"
"F50",0,0,0,0,0,0,1,
"F60",1,0,0,0,0,0,1,"n"
"F62",0,0,0,0,0,0,1,
"F63",0,0,0,0,0,0,1,
"F70",0,0,0,0,0,0,1,
"F91",0,0,0,0,1,0,0,"n"
"G01",0,0,0,0,0,1,0,
"G10",0,0,0,0,1,1,1,"n"
"G11",0,0,0,0,0,1,1,
"G20",0,0,0,0,1,0,1,"n"
"G30",0,0,0,0,1,0,0,"n"
"G41",0,0,0,0,0,0,1,
"G57",0,0,0,0,1,0,0,"n"
"G61",0,0,1,0,1,1,1,"n"
"G62",0,0,1,0,0,1,1,"n"
"G64",0,0,0,0,1,0,0,"n"
"G69",0,0,0,0,1,1,1,"n"
"G70",0,0,0,0,0,0,1,
"G71",0,0,0,0,1,0,1,"n"
"G72",0,0,0,0,0,0,1,
"G73",0,1,0,0,1,0,1,"n"
"G74",0,0,0,0,1,1,1,
"G75",1,0,0,0,1,0,1,"n"
"G79",0,0,0,0,1,0,1,"n"
"G81",0,0,0,0,0,0,1,
"G82",0,0,0,0,0,1,0,
"G84",0,0,0,0,0,0,1,
"G85",0,0,0,0,1,0,0,"n"
"G86",0,0,0,0,1,0,0,"n"
"G87",0,0,0,0,1,0,1,"n"
"G88",0,0,0,0,1,0,0,"n"
"G90",0,0,0,0,0,1,1,
"G91",0,0,0,0,0,0,1,
"G94",0,0,0,0,1,1,1,"n"
"G95",0,1,1,0,1,1,1,"n"
"G96",0,0,0,1,1,1,1,"n"
"G97",0,0,0,0,1,0,1,"n"
"G98",0,0,0,0,1,0,1,"n"
"H00",0,0,0,0,0,1,1,
"H03",0,0,0,0,1,0,1,"n"
"H04",0,0,0,1,1,0,1,"n"
"H05",0,0,0,0,1,1,1,"n"
"H06",0,0,1,0,1,1,1,"n"
"H08",0,0,0,0,1,0,0,"n"
"H10",0,0,1,0,0,0,0,"n"
"H11",0,0,0,0,0,1,1,
"H13",0,0,0,0,0,1,0,
"H14",0,0,0,1,0,0,1,"n"
"H15",0,0,0,1,1,0,1,"n"
"H16",1,0,0,0,1,1,1,"n"
