"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NS76",0,0,0,0,1,0,0,"a"
"SJ67",0,1,0,0,0,0,0,"n"
"SK41",1,0,0,0,0,0,0,"n"
"SK50",1,0,0,0,0,0,0,"n"
"SK83",1,0,0,0,0,0,0,"n"
"SO32",1,0,0,0,0,0,0,"n"
"SO74",1,1,0,0,0,0,0,"n"
"SO83",1,0,0,0,0,0,0,"n"
"SO84",1,0,0,0,0,0,0,"n"
"SO85",1,0,0,0,0,0,0,"n"
"SO95",1,0,0,0,0,0,0,"n"
"SO96",1,0,0,0,0,0,0,"n"
"SO97",1,0,0,0,0,0,0,"n"
"SP07",1,0,0,0,0,0,0,"n"
"SP19",1,0,0,0,0,0,0,"n"
"SP26",1,0,0,0,0,0,0,"n"
"SP28",1,0,0,0,0,0,0,"n"
"SP36",1,0,0,0,0,0,0,
"SP51",1,0,0,0,0,0,0,"n"
"SP57",1,0,0,0,0,0,0,"n"
"ST61",0,1,0,0,0,0,0,"n"
"ST95",0,1,1,1,0,0,0,"n"
"SU00",1,1,1,0,0,0,0,"n"
"SU10",1,1,0,1,1,1,1,"n"
"SU11",0,1,1,1,1,1,1,"n"
"SU20",1,0,1,1,1,1,0,"n"
"SU21",1,0,0,1,1,1,1,"n"
"SU22",1,0,0,0,0,0,0,"n"
"SU30",1,0,0,0,0,0,0,"n"
"SU31",0,0,1,1,1,1,1,"n"
"SU32",1,0,0,0,0,0,0,"n"
"SU34",1,0,0,0,0,0,0,"n"
"SU50",1,0,0,0,0,0,0,"n"
"SU56",0,0,0,0,1,0,0,"n"
"SU65",1,0,0,0,0,0,0,"n"
"SU66",1,0,0,0,0,0,0,"n"
"SU70",1,0,0,0,0,0,0,"n"
"SU75",1,0,0,0,0,0,0,"n"
"SU76",1,0,1,1,1,1,0,"n"
"SU77",1,0,0,0,0,0,0,"n"
"SU81",1,0,0,0,0,0,0,"n"
"SU82",1,0,0,0,0,0,0,"n"
"SU84",1,0,0,0,0,0,0,"n"
"SU85",1,0,0,0,0,0,0,"n"
"SU86",1,0,0,0,0,0,0,"n"
"SU87",1,0,0,0,0,0,0,"n"
"SU92",1,0,0,0,0,0,0,"n"
"SU94",1,0,0,0,0,0,0,"n"
"SU95",1,1,1,1,1,0,0,"n"
"SU96",1,0,0,0,0,0,0,"n"
"SU98",0,1,1,0,0,0,0,"n"
"SY98",1,0,0,0,0,0,0,"n"
"SZ09",1,0,0,0,0,0,0,"n"
"SZ19",1,1,1,0,1,1,1,"n"
"SZ29",1,0,0,0,0,0,0,"n"
"SZ47",1,0,0,0,0,0,0,"n"
"SZ58",1,0,0,0,0,0,0,"n"
"SZ68",1,0,0,0,0,0,0,"n"
"SZ89",1,0,0,0,0,0,0,"n"
"TF41",1,0,0,0,0,0,0,"n"
"TF73",1,0,0,0,0,0,0,"n"
"TG11",1,0,0,0,0,0,0,"n"
"TG21",1,0,0,0,0,0,0,"n"
"TG22",1,0,0,0,0,0,0,"n"
"TG41",1,1,0,0,0,0,0,"n"
"TL05",1,0,0,0,0,0,0,"n"
"TL10",1,0,0,0,0,0,0,"n"
"TL20",1,0,0,0,0,0,0,"n"
"TL21",1,0,0,0,0,0,0,"n"
"TL22",1,1,0,0,0,0,0,"n"
"TL30",1,0,0,0,0,0,0,"n"
"TL37",1,0,0,0,0,0,0,"n"
"TL40",1,0,1,0,0,0,0,"n"
"TL45",1,0,0,0,1,0,0,"a"
"TL46",1,0,0,0,0,0,0,"n"
"TL47",1,0,0,0,0,0,0,"n"
"TL51",1,0,0,0,0,0,0,"n"
"TL58",1,0,0,0,0,0,0,"n"
"TL60",1,0,0,0,0,0,0,"n"
"TL67",0,0,1,0,0,0,0,"n"
"TL70",1,0,0,0,0,0,0,"n"
"TL76",0,0,1,0,0,0,0,"n"
"TL81",1,0,0,0,0,0,0,"n"
"TL91",1,0,0,0,0,0,0,"n"
"TM02",1,0,0,0,0,0,0,"n"
"TM03",1,0,0,0,0,0,0,"n"
"TM09",1,0,0,0,0,0,0,"n"
"TM11",1,0,0,0,0,0,0,"n"
"TM14",1,0,0,0,0,0,0,"n"
"TM22",1,0,0,0,0,0,0,"n"
"TM26",1,0,0,0,0,0,0,"n"
"TM35",0,0,1,0,0,0,0,"n"
"TM48",0,0,1,0,0,0,0,"n"
"TQ01",1,0,0,0,0,0,0,"n"
"TQ03",1,1,0,0,0,0,0,"n"
"TQ04",1,1,0,0,0,0,0,"n"
"TQ05",1,0,0,0,0,0,0,"n"
"TQ06",1,0,0,0,0,0,0,"n"
"TQ07",1,0,0,0,0,0,0,"n"
"TQ09",1,0,0,0,0,0,0,"n"
"TQ11",1,0,0,0,0,0,0,"n"
"TQ14",1,0,0,0,0,0,0,"n"
"TQ16",1,1,1,0,0,0,0,"n"
"TQ17",1,0,0,0,0,0,0,"n"
"TQ18",1,0,0,0,0,0,0,"n"
"TQ19",1,0,0,0,0,0,0,"n"
"TQ21",1,0,1,0,0,0,0,"n"
"TQ24",1,0,0,0,0,0,0,"n"
"TQ25",1,0,0,0,0,0,0,"n"
"TQ27",1,0,0,0,0,0,0,"n"
"TQ28",1,0,0,0,0,0,0,"n"
"TQ29",1,0,0,0,0,0,0,"n"
"TQ30",1,0,0,0,0,0,0,"n"
"TQ36",1,0,0,0,0,0,0,"n"
"TQ37",1,0,0,0,0,0,0,"n"
"TQ38",1,0,0,0,0,0,0,"n"
"TQ39",1,0,0,0,0,0,0,"n"
"TQ47",1,0,0,0,0,0,0,"n"
"TQ52",1,0,0,0,0,0,0,"n"
"TQ53",1,0,0,0,0,0,0,"n"
"TQ70",1,0,0,0,0,0,0,"n"
"TQ76",1,0,0,0,0,0,0,"n"
"TQ88",1,0,0,0,0,0,0,"n"
"TQ89",1,0,0,0,0,0,0,"n"
"TR06",1,0,0,0,0,0,0,"n"
"TR35",1,0,0,0,0,0,0,"n"
"WV38",1,0,0,0,0,0,0,"n"
"WV47",1,1,1,0,0,0,0,"n"
"WV54",1,0,0,0,0,0,0,"n"
"WV64",1,0,0,0,0,0,0,"n"
"WV74",1,0,0,0,0,0,0,"n"
