"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HU43",0,0,0,1,0,1,0,"n"
"ND16",0,0,0,1,0,1,0,"n"
"NS64",0,0,0,0,1,0,0,"n"
"NS65",0,0,0,0,1,0,0,"n"
"NS66",0,0,0,0,1,0,0,"n"
"NS73",0,0,0,0,1,0,0,
"NS74",0,0,0,0,1,1,0,
"NS77",0,0,0,0,1,0,0,"n"
"NS89",0,0,0,0,0,0,1,
"NS94",0,0,0,0,1,0,0,
"NS96",0,0,0,0,1,0,0,"n"
"NS97",0,0,0,0,1,0,0,
"NT14",0,0,0,0,1,0,0,"n"
"S51",0,0,0,0,0,0,1,
"SE10",0,0,0,0,0,1,0,
"SE74",0,0,0,1,0,0,0,"n"
"SK01",1,0,0,0,0,0,0,"n"
"SK42",1,0,0,0,0,0,0,
"SK50",1,0,0,0,0,0,0,
"SK60",1,0,0,0,0,0,0,
"SO05",0,0,0,0,1,0,0,"n"
"SO25",0,0,0,1,0,1,0,
"SO36",0,0,0,1,1,0,0,"n"
"SO74",0,0,0,0,0,0,1,
"SO83",0,0,0,1,0,0,0,"n"
"SP11",0,0,1,0,0,0,0,"n"
"SP17",0,0,0,0,1,0,0,"n"
"SP27",0,0,0,0,1,0,0,"n"
"SP30",1,0,1,0,0,0,0,"n"
"SP35",0,0,0,1,0,0,0,"n"
"SP36",1,0,0,1,1,0,0,"n"
"SP40",0,0,1,0,0,0,0,
"SP41",0,0,1,1,0,0,0,
"SP42",0,0,1,1,0,0,0,"n"
"SP45",0,0,0,0,1,0,0,"n"
"SP51",0,0,1,1,0,0,0,"n"
"SP55",0,0,0,0,1,0,0,
"SP60",1,0,1,1,0,0,0,"n"
"SP88",0,0,0,0,1,0,0,"n"
"SS73",0,0,0,0,1,0,0,"n"
"SS94",0,0,0,0,0,0,1,
"ST11",0,0,0,0,1,0,0,"n"
"ST22",1,0,0,0,0,0,0,
"ST23",0,0,0,0,0,0,1,
"ST24",0,0,0,0,0,0,1,
"ST39",0,0,0,1,0,0,0,
"ST47",0,1,0,0,0,0,0,
"ST55",0,0,0,1,1,0,0,"n"
"ST59",0,0,0,1,0,0,0,
"ST72",0,0,0,0,1,0,0,"n"
"ST82",0,0,0,0,0,0,1,
"SU31",0,0,0,1,0,0,0,"n"
"SU47",0,0,1,0,0,0,0,"n"
"SU51",0,0,0,0,1,0,0,"n"
"SU66",0,0,1,0,0,0,0,"n"
"SU70",0,0,0,0,0,1,0,
"SU72",0,0,0,0,1,0,0,"n"
"SU76",0,1,0,0,0,0,0,"n"
"SU94",0,0,0,1,1,0,0,"n"
"SU95",0,0,0,0,1,0,0,"n"
"SY09",0,0,0,0,1,0,0,"n"
"SZ38",0,0,0,0,0,0,1,
"SZ48",0,0,0,0,0,0,1,
"TA03",0,0,0,0,0,0,1,
"TA24",0,0,0,0,1,0,0,"n"
"TF72",0,1,0,0,0,0,0,
"TG31",1,0,0,0,0,0,0,
"TL54",0,0,0,1,0,0,0,"n"
"TM01",0,0,0,0,1,0,0,"n"
"TM07",0,0,0,0,0,1,0,
"TM37",0,0,0,1,0,0,0,"n"
"TM48",0,0,0,1,0,0,0,
"TQ01",0,1,0,0,0,0,0,
"TQ04",1,0,0,0,0,0,0,
"TQ05",0,1,0,1,1,0,0,"n"
"TQ06",0,0,0,0,1,0,0,"n"
"TQ07",0,0,0,0,1,0,0,"n"
"TQ08",1,0,0,0,0,0,0,"n"
"TQ09",0,1,0,0,0,0,0,
"TQ16",0,0,0,0,1,0,0,"n"
"TQ21",1,0,0,0,0,0,0,
"TQ25",0,0,0,0,0,1,0,
"TQ28",0,0,0,0,1,0,0,
"TQ29",0,0,0,0,0,0,1,
"TQ34",0,0,0,0,1,0,0,"n"
"TQ40",0,0,0,1,0,0,0,"n"
"TQ47",1,0,0,0,0,0,0,"n"
"TQ49",0,0,1,0,0,0,0,"n"
"TQ50",0,1,0,0,0,0,0,
"WV75",0,0,0,0,1,0,0,"n"
