"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B70",0,0,1,0,0,0,0,"a"
"B72",0,0,0,0,0,1,0,"a"
"B82",1,0,0,0,0,0,0,"a"
"C14",0,1,0,0,0,0,0,"a"
"C24",0,0,1,0,0,0,0,"a"
"G58",1,1,0,0,0,0,1,"a"
"G77",1,0,0,0,0,0,0,"a"
"G85",1,0,0,0,0,0,0,"a"
"H96",1,0,0,0,0,0,0,"a"
"L55",1,0,1,1,0,0,0,"a"
"L64",1,0,1,1,1,0,1,"a"
"L73",1,0,0,0,0,0,0,"a"
"L78",0,0,0,1,0,0,0,"a"
"L88",1,0,0,0,0,0,0,"a"
"M20",1,0,0,1,0,0,0,"a"
"M21",1,0,0,0,0,0,0,"a"
"M63",0,0,1,0,0,0,0,"a"
"M83",1,0,0,0,0,0,0,"a"
"NN70",1,0,0,0,0,0,0,"a"
"NO19",0,0,0,0,0,0,1,"a"
"NR67",0,0,1,0,0,0,0,"a"
"NR86",1,0,0,0,0,0,0,"a"
"NS03",1,0,0,0,0,0,0,"a"
"NS66",0,0,0,0,0,0,1,"a"
"NT00",1,0,0,0,0,0,0,"a"
"NT95",1,0,0,0,0,0,0,"a"
"NU12",1,0,0,0,0,0,0,"a"
"NU22",1,0,0,0,0,0,0,"a"
"NX40",0,1,0,0,0,0,0,"a"
"NX64",0,0,0,0,0,0,1,"a"
"NX95",1,0,0,0,0,0,0,"a"
"NY15",0,0,1,0,0,0,0,"a"
"NY36",0,0,1,0,0,0,0,"a"
"NZ36",0,0,0,0,0,0,1,"a"
"NZ71",0,0,0,0,1,0,0,"a"
"Q30",1,0,0,0,1,0,0,"a"
"Q31",0,0,0,0,1,0,0,"a"
"Q40",1,0,1,0,0,0,0,"a"
"Q41",1,0,0,0,1,0,0,"a"
"Q51",1,0,1,0,0,0,0,"a"
"Q60",1,0,0,0,0,0,0,"a"
"Q61",1,0,1,0,0,0,0,"a"
"Q71",1,0,0,0,0,0,0,"a"
"Q72",0,0,0,0,0,1,0,"a"
"Q74",0,0,0,0,1,0,0,"a"
"Q75",0,0,0,0,1,0,1,"a"
"Q81",1,0,0,0,0,0,0,"a"
"Q83",1,0,0,0,0,0,0,"a"
"Q84",1,0,0,0,0,0,0,"a"
"Q85",0,0,0,0,1,0,1,"a"
"Q94",1,0,0,0,0,0,0,"a"
"Q96",0,0,0,0,0,0,1,"a"
"R08",1,0,1,1,0,0,0,"a"
"R25",1,0,0,0,0,0,0,"a"
"R55",1,0,0,0,0,0,0,"a"
"S61",0,0,0,0,0,1,0,"a"
"SD26",0,0,0,1,1,0,1,"a"
"SD31",1,0,1,0,0,0,0,"a"
"SD33",0,0,0,0,0,0,1,"a"
"SD50",0,1,0,0,0,0,0,"a"
"SD59",0,0,0,0,0,1,1,"a"
"SD63",0,0,1,0,0,0,0,"a"
"SD70",1,0,0,0,0,0,0,"a"
"SE32",0,0,0,0,1,1,0,"a"
"SE42",0,0,0,0,0,0,1,"a"
"SE56",0,0,0,0,0,1,0,"a"
"SE60",0,0,0,0,1,0,0,"a"
"SE90",1,0,0,0,0,0,0,"a"
"SH78",1,0,0,0,0,0,0,"n"
"SJ24",1,0,0,0,0,0,0,"a"
"SJ35",0,0,0,0,0,0,1,"a"
"SJ76",0,0,0,0,0,0,1,"a"
"SJ84",0,0,0,0,0,0,1,"a"
"SJ98",0,0,0,0,0,0,1,"a"
"SK50",0,0,0,0,0,0,1,"a"
"SK53",0,0,1,0,0,0,0,
"SK60",0,0,0,0,0,1,0,"a"
"SK80",0,0,0,0,0,0,1,"a"
"SK84",0,0,0,0,0,1,1,"a"
"SM82",0,0,1,0,0,0,0,"n"
"SM90",0,0,0,1,1,1,1,"n"
"SN00",0,0,0,1,1,1,1,"n"
"SN10",0,0,1,0,0,0,0,"n"
"SN20",0,0,1,1,1,0,0,"n"
"SN21",0,0,0,0,1,0,0,"n"
"SN30",0,0,1,1,1,0,1,"n"
"SN31",0,0,1,1,1,0,0,"n"
"SN40",0,1,0,1,1,0,0,"n"
"SN50",0,0,0,1,1,1,1,"n"
"SO05",0,0,0,0,0,0,1,"a"
"SO43",0,0,0,1,0,0,0,"a"
"SO50",1,0,0,0,0,0,0,"n"
"SO57",1,0,0,0,0,0,0,"a"
"SO58",1,0,0,0,0,0,0,"a"
"SO59",1,0,0,0,0,0,0,"a"
"SO60",1,0,1,1,1,0,0,"n"
"SO70",0,0,0,0,1,0,0,"n"
"SO74",0,0,0,0,0,0,1,"a"
"SO75",0,0,0,0,1,0,0,"a"
"SO87",0,0,0,0,1,1,0,"a"
"SO98",0,0,0,0,1,0,0,"a"
"SP50",1,1,0,0,0,0,0,"a"
"SP51",0,0,0,0,0,0,1,"a"
"SP82",0,0,0,0,0,1,0,"a"
"SP84",0,0,0,0,1,0,0,"a"
"SS48",0,0,0,1,1,0,0,"n"
"SS49",1,0,1,1,1,1,1,"n"
"SS58",1,0,1,1,1,1,1,"n"
"SS59",0,0,0,1,1,1,1,"n"
"SS78",0,0,0,0,1,0,0,"n"
"ST06",0,0,0,1,0,0,0,"n"
"ST09",0,0,1,0,0,0,0,"a"
"ST12",0,0,0,0,1,0,0,"a"
"ST24",0,0,0,1,1,1,1,"n"
"ST25",0,0,1,0,0,0,0,"n"
"ST27",0,0,0,1,0,1,1,"n"
"ST28",1,1,0,1,1,1,1,"n"
"ST29",0,0,0,0,1,0,0,"n"
"ST32",0,0,0,0,0,1,0,"n"
"ST33",0,0,1,0,1,1,1,"n"
"ST34",0,0,1,1,1,1,1,"n"
"ST35",0,0,1,0,0,0,0,"n"
"ST36",0,0,0,1,0,1,1,"n"
"ST37",0,0,0,0,0,0,1,"a"
"ST38",0,0,0,1,1,1,1,"n"
"ST44",0,0,1,0,0,0,0,"n"
"ST47",0,0,1,1,1,1,1,"n"
"ST48",0,1,0,1,1,1,1,"n"
"ST54",0,0,1,0,0,0,0,"n"
"ST57",0,0,1,0,0,1,1,"n"
"ST58",0,0,0,0,0,1,1,"a"
"ST59",1,0,0,0,0,0,0,"n"
"ST61",0,0,0,0,1,0,0,"a"
"ST69",0,0,1,1,0,0,0,"n"
"ST78",0,0,0,0,0,0,1,"a"
"ST86",0,0,0,0,0,0,1,"a"
"ST95",0,0,1,0,0,0,0,"a"
"SU30",0,0,1,0,0,0,0,"n"
"SU33",0,0,0,0,0,0,1,"a"
"SU40",0,0,1,1,1,1,1,"n"
"SU41",0,0,0,0,1,1,1,"n"
"SU50",1,0,1,0,1,1,1,"n"
"SU51",0,0,1,0,1,1,1,"n"
"SU65",0,0,0,0,0,1,1,"a"
"SU70",0,0,1,1,1,1,0,"n"
"SU77",0,0,0,0,0,0,1,"a"
"SU80",1,0,1,1,1,1,1,"n"
"SW43",0,0,0,0,0,1,0,"a"
"SX15",0,0,0,0,0,1,1,"a"
"SX25",0,1,0,0,0,0,0,"a"
"SX84",1,0,0,0,0,0,0,"a"
"SX86",1,0,0,0,0,0,0,"a"
"SY09",0,0,1,0,0,0,0,"a"
"SY58",1,1,1,1,1,1,1,"n"
"SY67",1,1,1,0,1,1,1,"n"
