"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C22",1,0,0,0,0,0,0,"a"
"D05",1,0,0,0,0,0,0,"a"
"D40",1,0,0,0,0,0,0,"a"
"H24",1,0,0,0,0,0,0,"a"
"H73",1,0,0,0,0,0,0,"a"
"H81",1,0,0,0,0,0,0,"a"
"H84",1,0,0,0,0,0,0,"a"
"J00",1,0,0,0,0,0,0,"a"
"J02",1,0,0,0,0,0,0,"a"
"J17",1,0,0,0,0,0,0,"a"
"M24",1,0,0,0,0,0,0,"a"
"M40",1,0,0,0,0,0,0,"a"
"M73",1,0,0,0,0,0,0,"a"
"M82",1,0,0,0,0,0,0,"a"
"M95",1,0,0,0,0,0,0,"a"
"N00",0,0,0,0,1,0,0,"a"
"N03",1,0,0,0,0,0,0,"a"
"N22",0,0,0,0,0,0,1,
"N50",1,0,0,0,0,0,0,"a"
"N59",1,0,0,0,0,0,0,"a"
"N63",1,0,0,0,0,0,0,"a"
"N71",1,0,0,0,0,0,0,"a"
"N81",0,0,0,0,1,0,0,
"N85",1,0,0,0,0,0,0,"a"
"N92",1,0,0,0,0,0,0,"a"
"NF77",1,0,0,0,0,0,0,"a"
"NJ15",1,0,0,0,0,0,0,"a"
"NJ16",1,0,0,0,0,0,0,
"NJ26",1,0,0,0,0,0,0,"a"
"NJ27",1,0,0,0,0,0,0,
"NJ65",1,0,0,0,0,0,0,
"NJ66",1,0,0,0,0,0,0,"a"
"NO22",1,0,0,0,0,0,0,"a"
"NO32",1,0,0,0,0,0,0,"a"
"NO40",1,0,0,0,0,0,0,"a"
"NO64",0,0,1,0,0,0,0,"a"
"NT18",1,0,0,0,0,0,0,"a"
"NT28",1,0,0,0,0,0,0,"a"
"NT29",1,0,0,0,0,0,0,"a"
"NT36",1,0,0,0,0,0,0,"a"
"NT48",1,0,0,0,0,0,0,"a"
"NT51",1,0,1,0,0,0,0,"a"
"NT52",1,0,1,0,0,0,0,"a"
"NT56",1,0,1,0,0,0,0,"a"
"NT58",1,0,0,0,0,0,0,"a"
"NT63",1,0,1,0,0,0,0,"a"
"NT64",1,0,1,0,0,0,0,"a"
"NT73",1,0,1,0,0,0,0,"a"
"NT77",1,0,0,0,0,0,0,"a"
"NT82",1,0,1,0,0,0,0,"a"
"NT84",1,0,0,0,0,0,0,
"NT85",1,0,0,0,0,0,0,"a"
"NT92",1,0,0,0,0,0,0,"a"
"NT96",1,0,0,0,0,0,0,"a"
"NU02",1,0,0,0,0,0,0,"a"
"NU03",1,0,0,0,0,0,0,"a"
"NU11",1,0,0,0,0,0,0,"a"
"NU12",1,0,0,0,0,0,0,"a"
"NU13",1,0,0,0,0,0,0,"a"
"NU21",0,0,1,1,0,0,0,"a"
"NX44",1,0,0,0,0,0,0,"a"
"NX45",1,0,0,0,0,0,0,"a"
"NX55",0,0,0,0,0,0,1,
"NX76",1,0,0,0,0,0,0,"a"
"NX90",1,0,0,0,0,0,0,"a"
"NY01",1,0,0,0,0,0,0,"a"
"NY03",0,0,1,0,0,0,0,"a"
"NY08",1,0,0,0,0,0,0,"a"
"NY14",1,0,0,0,0,0,0,"a"
"NY35",0,0,1,0,0,0,0,"a"
"NY42",1,0,0,0,0,0,0,"a"
"NY76",1,0,0,0,0,0,0,"a"
"NZ05",1,0,0,0,0,0,0,"a"
"NZ10",1,0,0,0,0,0,0,"a"
"NZ16",1,0,0,0,0,0,0,
"NZ24",1,0,0,0,0,0,0,
"NZ31",0,0,0,1,0,0,0,"a"
"NZ35",1,0,0,0,0,0,0,
"NZ36",1,0,0,0,0,0,0,
"NZ41",1,0,0,0,0,0,0,"a"
"NZ46",1,0,0,0,0,0,0,"a"
"NZ51",1,0,1,0,0,0,0,"a"
"NZ80",1,0,0,0,0,0,0,"a"
"NZ90",1,0,0,0,0,0,0,"a"
"O03",0,0,0,0,1,0,0,"a"
"O17",1,0,1,0,0,0,0,"a"
"O24",1,0,0,0,0,0,0,"a"
"Q71",1,0,0,0,0,0,0,"a"
"R35",1,0,0,0,0,0,0,
"R55",1,0,0,0,0,0,0,
"R89",0,0,0,1,0,0,0,"a"
"S02",1,0,0,0,0,0,0,"a"
"S07",0,0,0,1,0,0,0,"a"
"S13",1,0,0,0,0,0,0,
"S24",1,0,0,0,0,0,0,"a"
"S51",1,0,0,0,0,0,0,"a"
"S54",1,0,0,0,0,0,0,"a"
"S61",1,0,0,0,0,0,0,
"S63",1,0,0,0,0,0,0,"a"
"S64",1,0,0,0,0,0,0,"a"
"S65",1,0,0,0,0,0,0,"a"
"S66",1,0,0,0,0,0,0,"a"
"S71",1,0,0,0,0,0,1,
"S72",0,1,0,0,0,0,1,
"S74",1,0,0,0,0,0,0,"a"
"S80",0,0,0,0,1,0,0,"a"
"S81",0,1,0,0,1,0,0,"a"
"S83",0,0,0,0,0,0,1,
"S84",0,0,1,0,0,0,0,
"S85",0,0,1,0,0,0,0,"a"
"S86",1,0,0,0,0,0,0,"a"
"S94",1,0,0,0,0,0,1,
"S95",0,0,1,1,1,0,0,"a"
"SC37",1,0,0,0,0,0,0,"a"
"SD26",1,0,0,0,0,0,0,"a"
"SD27",0,0,1,0,0,0,0,"a"
"SD33",1,0,0,0,0,0,0,"a"
"SD37",0,0,1,0,0,0,0,"a"
"SD41",1,0,0,0,0,0,0,"a"
"SD44",1,0,0,0,0,0,0,"a"
"SD45",1,0,0,0,0,0,0,"a"
"SD47",1,0,1,0,0,0,0,"a"
"SD49",1,0,0,0,0,0,0,"a"
"SD60",1,0,0,0,0,0,0,"a"
"SD61",0,0,1,0,0,0,0,
"SD70",1,0,0,0,0,0,0,
"SE27",0,1,1,0,0,0,0,"a"
"SE35",0,0,0,1,0,0,0,
"SE36",0,0,1,0,0,0,0,"a"
"SE37",1,0,0,0,0,0,0,"a"
"SE38",1,0,0,0,0,0,0,"a"
"SE43",0,0,0,1,1,0,1,"a"
"SE47",1,1,0,0,0,0,0,"a"
"SE48",1,0,0,0,0,0,0,"a"
"SE49",1,1,1,0,0,0,0,"a"
"SE50",0,0,0,1,0,1,0,"a"
"SE51",0,1,0,0,0,0,0,"a"
"SE58",1,1,1,0,0,0,0,"a"
"SE60",0,0,0,0,1,0,0,"a"
"SE64",1,0,0,0,0,0,0,"a"
"SE66",0,0,0,0,0,1,1,
"SE67",1,1,0,1,1,1,1,"a"
"SE68",0,1,0,0,0,1,0,"a"
"SE74",1,0,1,1,0,0,0,"a"
"SE76",0,0,1,1,0,0,0,"a"
"SE77",0,0,0,0,0,0,1,
"SE78",0,0,0,0,0,1,1,
"SE79",0,0,0,0,0,1,1,
"SE83",0,0,1,1,1,0,0,"a"
"SE84",0,0,1,1,0,0,0,"a"
"SE85",0,0,1,1,0,1,0,"a"
"SE86",0,0,1,1,0,0,0,"a"
"SE87",0,0,1,1,0,0,0,"a"
"SE88",1,0,0,1,0,1,0,"a"
"SE89",1,1,0,0,0,0,0,"a"
"SE90",0,0,1,0,1,0,0,"a"
"SE91",0,0,1,1,0,0,0,"a"
"SE93",0,0,1,1,0,0,0,"a"
"SE94",0,0,0,0,1,1,0,"a"
"SE96",0,0,1,0,0,0,1,"a"
"SE97",0,0,1,1,0,0,1,"a"
"SE98",1,0,1,0,0,1,1,"a"
"SE99",0,0,0,0,0,1,0,
"SH28",1,0,0,0,1,0,0,"a"
"SH57",1,0,0,1,0,0,0,"a"
