"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NJ26",0,0,0,1,0,0,0,"a"
"NS66",0,0,0,0,0,0,1,
"NX40",0,0,0,1,0,0,0,"a"
"SC28",0,0,0,0,1,0,0,"a"
"SC49",0,0,0,1,0,0,0,"a"
"SD31",1,0,0,0,0,0,0,"a"
"SK85",0,0,1,0,0,0,0,
"SN77",0,0,0,0,0,0,1,
"SP40",0,0,1,1,0,0,0,"a"
"SP50",1,0,0,1,0,0,0,"a"
"SS20",0,0,0,0,1,0,0,"a"
"SS84",0,0,0,0,1,0,0,"a"
"ST25",0,0,0,0,1,0,0,"a"
"SU32",0,0,0,0,1,0,0,"a"
"SU73",0,0,1,0,0,0,0,"a"
"SV81",0,0,0,0,1,0,0,"a"
"SV91",1,0,0,0,1,0,1,
"SW43",0,0,0,0,1,0,0,"a"
"SW52",1,1,0,0,0,0,0,"a"
"SW53",1,0,0,0,0,0,0,"a"
"SW97",0,0,0,0,1,0,0,"a"
"SX25",0,0,0,0,1,0,0,"a"
"SZ09",0,1,0,0,0,0,0,"a"
"SZ38",0,0,0,0,0,0,1,
"SZ39",0,0,0,1,0,0,0,"a"
"SZ68",0,0,0,0,1,0,1,"a"
"SZ69",0,0,0,0,0,0,1,
"TA32",0,0,0,0,1,0,0,"a"
"TG20",0,0,0,1,0,0,0,"a"
"TL13",0,0,0,1,0,0,0,"a"
"TL21",1,0,0,0,0,0,0,"a"
"TL30",1,0,1,0,0,0,0,"a"
"TL31",0,0,0,1,0,0,0,"a"
"TM14",0,1,1,0,0,0,0,"a"
"TM57",0,0,0,0,0,1,0,
"TQ05",0,0,0,1,0,0,0,"a"
"TQ06",0,1,0,0,0,0,0,"a"
"TQ08",0,0,0,0,0,1,0,
"TQ09",1,0,1,0,0,0,0,"a"
"TQ17",1,1,0,0,0,0,0,"a"
"TQ18",1,1,1,0,0,0,0,"a"
"TQ27",0,1,0,0,0,0,0,
"TQ38",1,1,0,0,0,0,0,"a"
"TQ39",1,0,1,0,0,0,0,"a"
"TQ48",1,0,0,0,0,0,0,"a"
"TQ57",1,0,0,0,0,0,0,"a"
"TQ78",0,0,1,0,0,0,0,"a"
"TR01",0,0,0,0,0,0,1,
"TR34",0,0,0,0,0,0,1,
"TR36",0,0,0,0,0,0,1,
"WA50",0,0,0,0,0,1,0,
"WV27",1,0,0,0,0,1,1,"a"
"WV47",0,0,0,0,0,1,1,
"WV54",0,0,0,0,1,0,0,"a"
"WV55",0,0,0,0,0,0,1,
"WV64",0,0,0,0,1,0,1,"a"
