"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"SM91",0,0,0,0,0,1,0,
"SM92",0,0,0,0,1,1,0,
"SM93",0,0,0,0,0,1,0,
"SN00",0,0,0,0,1,0,0,
"SN03",0,0,0,0,0,1,1,
"SN25",0,0,0,0,1,0,0,
"SS48",1,0,0,0,0,0,0,
"SS49",0,0,0,0,1,0,0,
"SU10",0,0,0,1,1,1,0,
"SU11",0,0,0,0,0,0,1,
"SU20",1,0,1,1,1,1,1,
"SU21",0,0,0,1,1,0,1,
"SU30",1,0,0,1,1,1,1,
"SU31",0,0,0,0,1,0,0,
"SU40",0,0,0,0,1,0,0,
"SU85",1,0,0,0,0,0,0,
"SW42",1,0,0,0,0,0,0,
"SW43",1,1,0,0,1,0,0,
"SW61",1,1,0,0,0,0,0,
"SW85",1,0,0,0,0,0,0,
"SW87",1,0,0,0,0,0,0,
"SW97",1,0,0,0,0,0,0,
"SX06",0,0,0,0,0,0,1,
"SX17",0,0,0,0,1,1,1,
"SX18",0,0,0,0,1,0,0,
"SX27",0,0,0,0,0,1,0,
"SX28",0,0,0,0,1,0,0,
"SZ29",0,1,0,1,1,1,1,
"SZ39",0,0,0,1,1,1,1,
"TQ32",1,0,0,0,0,0,0,
"TQ61",0,1,0,0,0,0,0,
