"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NG08",0,0,0,0,0,1,0,
"NJ54",0,0,0,0,0,1,0,
"NO69",0,0,0,0,0,1,0,
"NT54",0,0,0,0,0,0,1,
"NY01",0,0,0,1,0,0,0,
"NY16",0,0,0,0,0,0,1,
"R60",0,0,0,0,0,0,1,
"SC39",0,0,0,0,0,0,1,
"SD34",0,0,0,0,1,1,0,
"SD44",0,0,1,0,1,0,0,
"SE13",0,0,0,0,1,1,1,
"SE15",0,0,0,0,0,0,1,
"SE24",0,0,0,0,0,0,1,
"SE42",0,0,0,0,0,0,1,
"SH32",0,0,0,0,1,0,0,
"SH33",0,0,0,1,0,0,1,
"SH37",0,0,0,1,0,0,0,
"SH53",0,0,0,0,1,0,0,
"SH54",0,0,1,0,0,0,0,
"SH71",1,0,0,0,0,0,0,
"SH83",0,0,0,1,0,0,1,
"SH93",0,0,0,0,1,0,0,
"SJ03",0,0,0,0,1,0,0,
"SJ20",0,0,0,0,0,1,0,
"SK69",0,0,0,0,0,0,1,
"SK85",0,0,0,0,0,1,1,
"SN24",0,0,0,0,1,0,0,
"SN34",0,0,0,0,1,0,0,
"SN35",0,0,0,0,1,0,0,
"SN44",0,0,0,0,1,0,0,
"SN52",0,0,0,0,0,1,0,
"SN54",0,0,0,0,1,0,0,
"SN65",0,0,0,0,1,0,0,
"SN68",0,0,0,0,1,0,0,
"SN69",0,0,0,0,1,1,0,
"SN73",0,0,0,0,0,1,0,
"SN76",0,0,0,0,1,0,0,
"SN79",0,0,0,1,0,0,0,
"SO14",0,0,0,0,1,1,0,
"SO15",0,0,0,0,0,1,0,
"SO30",0,0,0,1,0,0,0,
"SO39",0,0,0,1,0,0,0,
"SO73",1,1,0,0,0,0,0,
"SP07",0,0,0,0,0,1,0,
"SP46",0,0,1,0,0,0,0,
"TL30",0,0,0,0,1,0,0,
"TL32",0,0,1,0,0,0,0,
"TL52",0,0,0,0,1,0,0,
"TQ15",0,0,0,0,0,0,1,
"TR26",0,0,0,0,0,0,1,
"W25",0,0,0,0,0,1,0,
"W27",0,0,0,0,0,1,0,
"W35",0,0,0,0,0,1,0,
"W37",0,0,0,0,1,1,0,
"W44",0,0,0,0,0,1,0,
"W45",0,0,0,0,0,1,0,
