"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"SD20",1,1,0,1,0,1,1,
"SD21",0,0,0,0,0,0,1,
"SD31",0,0,1,0,0,1,1,
"SD41",0,0,0,0,0,1,1,
"SD50",0,0,0,1,0,0,0,
"SD60",0,0,0,1,0,0,0,
"SD80",0,0,1,0,0,0,0,
"SE54",0,0,0,0,0,0,1,
"SJ39",0,0,0,0,1,0,0,
"SJ48",0,0,0,0,1,0,0,
"SJ69",0,0,0,0,0,0,1,
"SK27",0,0,0,0,1,0,0,
"SK93",0,0,0,0,1,0,0,
"SK94",0,0,0,0,1,0,0,
"SN20",0,0,0,1,1,0,0,
"SN30",0,0,0,0,1,0,0,
"SN41",0,0,0,0,0,0,1,
"SN69",0,0,0,0,1,1,1,
"SN81",0,0,0,0,1,0,0,
"SO12",0,0,0,0,1,0,0,
"SO40",0,0,0,1,1,0,0,
"SP02",0,1,0,0,0,0,0,
"SP12",0,0,0,0,0,0,1,
"SP31",0,0,0,1,0,0,0,
"SP40",1,0,0,0,0,0,0,
"SP41",0,0,0,1,0,0,0,
"SP45",0,0,0,0,0,1,0,
"SS43",0,0,0,0,0,0,1,
"SS49",0,0,0,0,0,0,1,
"SS78",0,0,0,0,1,1,1,
"ST44",0,1,0,0,0,0,0,
"ST87",0,0,0,1,0,0,0,
"ST89",0,1,0,0,0,0,0,
"SU01",0,0,0,0,1,0,0,
"SU06",1,0,0,0,0,0,0,
"SU09",0,0,0,0,0,0,1,
"SU14",0,0,0,0,1,0,0,
"SU31",0,0,1,0,0,0,0,
"SU41",0,0,0,1,0,0,0,
"SU49",1,0,0,0,0,0,0,
"SU51",0,0,0,1,0,0,0,
"SU60",0,0,1,0,0,0,0,
"SU61",1,0,0,0,0,0,0,
"SU65",0,0,0,0,0,0,1,
"SU74",0,0,0,1,0,0,0,
"SU84",1,0,0,0,0,0,0,
"SY88",0,0,0,0,0,0,1,
"SY89",1,0,0,0,0,0,0,
"SY98",1,0,0,0,1,1,1,
"SZ19",0,0,0,1,0,0,0,
"TA04",0,0,0,1,0,0,0,
"TA20",0,0,0,1,0,0,0,
"TA21",0,0,0,1,0,0,0,
"TF00",0,0,0,1,0,0,0,
"TF01",0,0,0,1,0,0,0,
"TF11",0,0,0,0,1,0,0,
"TF49",0,0,1,1,1,0,0,
"TF64",0,0,0,1,1,0,0,
"TL28",0,0,0,0,0,0,1,
"TL30",0,0,0,0,1,0,0,
"TL33",0,0,0,1,0,0,0,
"TL34",0,0,0,0,1,0,0,
"TL44",0,0,0,0,1,0,1,
"TL45",0,0,0,0,0,0,1,
"TL55",0,0,0,0,0,0,1,
"TL57",0,0,0,0,0,0,1,
"TL66",1,0,0,0,0,0,0,
"TM07",0,0,0,1,0,0,0,
"TM35",0,0,0,0,1,0,0,
"TQ00",0,0,0,0,1,1,0,
"TQ07",1,0,0,0,0,0,0,
"TQ39",0,0,0,1,0,0,0,
"TQ76",0,0,0,1,0,0,1,
