"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J11",0,0,0,0,0,0,1,
"J21",0,0,0,0,0,0,1,
"J33",1,0,0,0,0,0,0,
"J43",0,0,0,0,0,0,1,
"J46",0,0,0,0,0,0,1,
"J53",0,0,0,0,0,1,1,
"J55",0,0,0,0,0,0,1,
"J56",0,0,0,0,0,0,1,
"J58",0,0,0,0,0,0,1,
"J64",0,0,0,0,0,0,1,
"NS16",0,0,0,0,0,0,1,
"NS33",0,1,0,0,0,0,0,
"NU21",0,0,0,0,0,0,1,
"NX45",0,0,1,1,1,1,0,
"NX46",0,0,0,1,0,0,0,
"NX55",0,0,0,0,1,0,0,
"NX85",1,0,0,1,0,0,1,
"NX95",0,0,0,1,1,0,0,
"NX96",0,0,0,0,0,0,1,
"NY04",0,0,0,0,1,0,0,
"NY06",0,0,0,0,0,0,1,
"NY16",0,0,0,0,0,0,1,
"NY26",0,0,0,0,1,1,1,
"NZ38",0,0,0,0,0,0,1,
"NZ52",0,0,0,0,1,0,1,
"O30",0,0,0,0,1,1,0,
"S61",0,0,0,0,0,1,0,
"S70",0,0,0,0,0,0,1,
"S71",0,0,0,0,0,1,0,
"S77",0,0,0,0,0,1,0,
"SC26",0,0,0,0,0,0,1,
"SD09",0,0,1,0,1,0,0,
"SD20",0,0,0,0,1,0,1,
"SD26",0,0,0,1,0,0,0,
"SD27",0,0,0,1,0,0,0,
"SD31",1,0,0,0,0,1,1,
"SD32",0,0,1,1,1,0,1,
"SD33",0,0,1,0,1,0,0,
"SD34",1,0,1,1,1,1,1,
"SD35",0,0,1,0,1,0,1,
"SD37",1,0,0,0,0,0,0,
"SD38",0,0,0,0,0,1,0,
"SD42",0,0,1,0,1,1,0,
"SD44",0,0,1,0,1,1,1,
"SD45",1,0,1,1,1,1,1,
"SD46",1,0,1,1,1,1,1,
"SD47",1,0,1,0,1,1,1,
"SD52",0,0,1,0,1,0,0,
"SE30",0,0,0,0,0,1,0,
"SH50",0,0,1,0,0,0,0,
"SJ27",0,0,0,0,1,0,0,
"SJ28",0,0,0,0,1,0,1,
"SJ36",0,0,0,0,0,0,1,
"SJ39",1,0,0,0,0,1,0,
"SJ48",0,0,0,0,0,0,1,
"SJ58",0,0,0,0,1,1,0,
"SN14",0,0,0,0,0,1,0,
"SN30",0,0,0,0,0,1,0,
"SN40",0,0,0,0,0,1,1,
"SN69",0,0,0,0,1,0,0,
"SO60",0,0,0,0,0,0,1,
"SS49",0,0,0,0,0,0,1,
"SS59",0,0,0,0,0,0,1,
"SS78",1,0,0,0,0,0,1,
"SS79",0,0,0,0,0,0,1,
"SS84",0,0,0,0,1,0,0,
"ST35",0,0,0,0,0,1,0,
