"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"SD52",0,0,0,0,0,0,1,
"SD60",0,0,0,0,0,0,1,
"SD73",0,0,0,0,0,1,0,
"SD91",0,0,0,0,0,0,1,
"SE24",0,0,0,0,0,0,1,
"SK07",0,0,0,0,0,0,1,
"SO76",0,0,0,0,0,1,0,
"SP23",0,0,0,1,0,0,0,"a"
"SP73",0,0,0,0,1,0,0,"a"
"ST17",0,0,0,0,0,0,1,
"ST28",0,0,0,0,0,0,1,
"SU21",0,0,0,0,0,1,0,
"SU70",0,0,0,0,0,1,0,
"SU83",0,0,0,0,0,0,1,
"SU85",0,0,0,1,0,0,0,"a"
"SX45",0,0,0,0,0,0,1,
"SY67",0,0,0,0,0,0,1,
"SZ29",0,0,0,0,1,0,0,"a"
"TQ04",0,0,0,0,0,0,1,
"TQ25",0,0,0,0,1,0,0,"a"
"TQ36",0,0,0,0,0,0,1,
"TQ48",0,0,0,0,0,0,1,
"TQ49",0,0,0,0,0,0,1,
"TQ55",0,0,0,0,0,0,1,
"TQ65",0,0,0,0,0,0,1,
