"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"SC27",0,0,0,1,0,0,0,"a"
"SC37",0,0,0,0,1,0,0,
"SC38",0,0,0,1,0,0,0,"a"
"SC39",1,0,0,0,1,0,1,"a"
"SC49",0,0,0,1,1,0,0,"a"
"SD43",0,0,1,0,0,0,0,"a"
"SD86",0,0,0,1,0,0,0,"a"
"SD96",0,0,0,0,1,0,0,"a"
"SE53",1,0,0,0,0,0,0,"a"
"SJ57",0,0,0,0,0,1,0,
"SJ88",0,0,0,0,0,0,1,
"SJ96",0,0,0,0,0,1,0,
"SJ97",0,0,0,0,0,1,0,
"SO96",0,0,0,0,0,1,1,
"SP50",0,0,0,1,0,0,0,"a"
"ST77",0,0,0,1,0,0,0,"a"
"SW98",0,0,0,0,1,0,0,"a"
"SX45",1,0,0,0,0,0,0,
"TA05",0,0,0,0,1,0,0,"a"
"TA07",0,0,0,1,0,0,0,"a"
"TL83",0,0,0,0,0,0,1,
"WA50",0,0,1,0,1,0,0,
"WV27",1,0,0,1,0,1,0,"a"
