"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B61",0,0,0,0,0,1,0,
"C10",0,0,0,0,0,0,1,"a"
"C20",0,0,0,0,0,0,1,
"C22",0,0,0,0,0,0,1,"a"
"C30",0,0,0,1,1,1,1,"a"
"C40",0,0,0,0,0,1,0,"a"
"C41",0,0,0,0,1,0,0,"a"
"C42",0,0,0,0,0,0,1,"a"
"C50",0,0,0,0,1,0,0,"a"
"C51",0,0,0,0,1,0,1,"a"
"C60",0,0,0,0,1,0,0,"a"
"C61",0,0,0,0,1,1,0,"a"
"C62",0,0,0,0,1,1,1,"a"
"C81",0,0,0,0,1,0,0,"a"
"C83",0,0,0,0,1,0,1,"a"
"C84",0,0,0,1,0,0,0,"a"
"C92",0,0,0,0,1,0,1,"a"
"D00",0,0,0,0,1,0,0,"a"
"D10",0,0,0,0,1,0,0,"a"
"D14",0,0,0,0,1,0,1,"a"
"D20",0,0,0,0,0,0,1,"a"
"D31",0,0,0,0,0,0,1,"a"
"F60",0,0,0,0,1,0,1,"a"
"G11",0,0,0,0,0,0,1,"a"
"G32",0,0,0,0,1,0,0,"a"
"G43",0,0,0,0,1,0,0,"a"
"G51",0,0,0,0,1,1,0,"a"
"G61",0,0,0,0,1,1,1,"a"
"G71",0,0,0,0,1,0,0,"a"
"G73",0,0,0,1,0,0,0,"a"
"G74",0,0,0,0,1,0,1,"a"
"G79",0,0,0,0,0,0,1,"a"
"G84",1,0,0,0,1,0,0,"a"
"G89",0,0,0,0,0,0,1,"a"
"G90",0,0,0,0,1,0,0,"a"
"G95",0,1,0,0,1,0,0,"a"
"H04",0,0,0,0,1,0,0,"a"
"H05",0,0,0,1,1,1,0,"a"
"H13",0,0,1,0,0,1,0,"a"
"H14",0,0,0,0,1,0,0,
"H15",1,0,1,0,1,1,0,"a"
"H16",1,1,1,1,1,0,1,"a"
"H17",0,0,0,0,1,0,0,"a"
"H24",0,1,1,0,1,0,0,"a"
"H25",1,0,0,1,1,1,1,"a"
"H28",0,0,0,0,0,1,0,"a"
"H29",0,0,0,0,1,0,1,"a"
"H31",0,0,0,1,0,0,0,"a"
"H32",0,0,0,0,1,0,0,"a"
"H33",0,0,0,1,1,1,1,"a"
"H34",0,1,1,0,1,1,1,"a"
"H35",0,0,1,0,1,1,0,"a"
"H38",0,0,0,0,0,1,0,"a"
"H39",0,0,0,0,1,1,1,"a"
"H41",0,0,0,1,0,0,0,"a"
"H43",0,0,1,0,1,0,0,"a"
"H44",0,0,1,0,1,1,1,"a"
"H45",0,0,0,0,0,1,0,"a"
"H46",0,0,0,0,1,0,0,"a"
"H47",0,0,0,0,1,1,1,"a"
"H48",0,0,0,0,1,1,0,"a"
"H49",0,0,0,0,0,1,0,"a"
"H53",0,0,0,0,1,0,0,"a"
"H54",0,0,1,0,1,0,0,"a"
"H55",0,0,0,0,0,0,1,"a"
"H57",0,0,0,0,1,1,0,"a"
"H58",0,0,0,0,1,1,1,"a"
"H63",1,0,0,0,0,0,0,"a"
"H73",1,0,0,0,0,0,1,"a"
"H74",0,0,0,1,1,0,0,"a"
"H76",0,0,0,0,0,1,0,"a"
"H77",0,0,0,0,0,1,0,"a"
"H83",0,0,0,0,0,0,1,"a"
"H84",0,0,0,0,0,1,0,"a"
"H85",0,0,0,0,0,1,0,"a"
"H86",0,0,0,0,0,0,1,"a"
"H87",0,0,0,0,1,0,0,"a"
"H88",0,0,0,0,1,1,0,"a"
"H92",0,0,0,0,0,0,1,"a"
"H93",0,0,0,0,0,0,1,"a"
"H96",0,0,0,0,0,0,1,"a"
"H97",0,0,0,0,0,0,1,"a"
"H98",0,0,0,0,0,0,1,"a"
"HP50",0,0,0,0,0,0,1,"a"
"HP60",0,0,0,1,0,0,1,"a"
"HP61",0,0,0,0,1,0,1,"a"
"HT93",0,0,0,0,1,0,1,"a"
"HU15",0,0,0,0,1,0,0,"a"
"HU16",0,0,0,1,0,0,0,"a"
"HU24",0,0,0,0,1,1,1,"a"
"HU25",0,0,0,1,1,1,1,"a"
"HU27",0,0,0,1,0,0,1,"a"
"HU28",1,0,0,0,0,0,1,"a"
"HU31",0,0,0,1,1,1,1,"a"
"HU32",0,0,0,0,1,0,1,"a"
"HU33",0,0,0,1,0,0,1,"a"
"HU34",0,0,0,0,1,0,1,"a"
"HU35",0,0,0,0,1,0,1,"a"
"HU36",0,0,0,0,1,0,1,"a"
"HU37",0,0,0,1,0,0,1,"a"
"HU38",0,0,0,0,1,0,1,"a"
"HU39",0,0,0,0,1,0,1,"a"
"HU42",0,0,0,0,1,0,1,"a"
"HU43",0,0,0,0,1,1,1,"a"
"HU44",0,0,0,0,1,1,1,"a"
"HU45",0,0,0,0,1,1,1,"a"
"HU46",0,0,0,0,1,0,1,"a"
"HU47",0,0,0,1,0,0,1,"a"
"HU48",0,0,0,0,1,0,1,"a"
"HU53",0,0,0,0,0,0,1,
"HU54",0,0,0,0,1,0,0,"a"
"HU56",0,0,0,1,1,0,1,"a"
"HU57",1,0,0,0,0,0,0,"a"
"HU58",0,0,0,0,1,0,1,"a"
"HU59",0,0,0,0,1,0,0,"a"
"HY32",0,0,0,0,0,1,0,"a"
"HZ27",0,0,0,1,0,0,0,"a"
"J04",0,0,0,0,1,0,0,"a"
"J06",0,0,0,0,0,0,1,"a"
"J11",0,0,0,0,1,0,1,"a"
"J19",0,0,0,0,1,0,0,"a"
"J21",0,0,0,0,1,0,0,"a"
"J22",0,0,0,0,1,0,1,"a"
"J27",0,0,0,0,1,0,0,"a"
"J28",0,0,0,0,1,0,0,"a"
"J29",0,0,0,0,1,0,1,"a"
"J31",0,0,0,0,1,0,0,
"L65",1,0,0,0,0,0,0,"a"
"M32",0,0,0,0,0,0,1,
"M63",0,0,0,0,0,0,1,
"N00",0,0,0,0,0,0,1,
"N68",0,0,0,0,1,0,0,"a"
"N80",0,0,0,0,1,1,1,"a"
"N81",0,0,0,0,1,1,1,"a"
"N82",0,0,0,1,1,1,0,"a"
"N90",0,0,0,0,0,1,1,
"N91",0,0,0,1,1,0,0,"a"
"N92",0,0,0,0,1,0,1,"a"
"N93",0,0,0,0,1,0,1,"a"
"NB10",0,1,0,0,0,0,0,"a"
"NB24",0,0,0,1,0,0,0,"a"
"NB43",0,1,0,0,1,0,0,"a"
"NC01",0,0,0,0,1,0,0,"a"
"NC02",0,0,0,0,1,0,1,"a"
"NC03",0,0,0,0,1,0,0,"a"
"NC12",0,0,0,0,1,0,0,"a"
"NC13",0,0,0,0,1,0,1,"a"
"NC14",0,0,0,0,0,1,1,"a"
"NC15",0,0,0,0,0,0,1,
"NC16",0,0,0,0,0,0,1,
"NC21",0,0,0,0,1,0,0,"a"
"NC31",0,0,0,0,1,0,0,"a"
"NC36",0,0,0,1,1,1,1,"a"
"NC42",0,0,0,0,0,0,1,
"NC46",0,0,0,0,0,1,0,"a"
"NC50",0,0,0,0,1,0,1,"a"
"NC56",0,0,0,0,1,0,0,"a"
"NC66",0,0,0,0,1,0,1,"a"
"NC70",0,0,0,0,1,1,1,"a"
