"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"SD32",1,0,0,0,0,0,0,"a"
"SD33",1,0,0,0,0,0,0,"a"
"SE13",0,0,0,0,1,0,0,"a"
"SJ79",0,0,0,0,0,1,0,
"SK09",0,0,0,1,0,0,0,"a"
"SK45",0,0,0,0,0,1,0,
"SK53",0,0,0,0,0,1,0,
"SK75",0,0,0,0,0,0,1,
"SP25",0,0,0,0,1,0,0,
"SP40",0,0,0,1,0,0,0,"a"
"SP50",0,0,0,1,0,0,1,
"SP51",0,0,0,0,0,0,1,
"SP98",0,0,0,0,0,1,0,
"SS94",0,0,0,0,1,0,0,"a"
"ST41",0,0,0,0,1,0,0,"a"
"ST57",0,0,0,0,1,0,0,"a"
"ST61",1,0,0,0,0,0,0,"a"
"ST90",1,0,0,0,0,0,0,"a"
"SU60",0,0,0,0,0,1,0,
"SU70",0,0,0,0,0,1,0,
"SU72",0,0,0,0,0,0,1,
"SU73",0,0,1,0,0,0,0,
"SU76",0,0,0,0,1,0,0,"a"
"SU77",0,0,0,0,0,1,0,
"SU83",0,0,0,0,1,0,0,
"SU88",0,0,0,0,0,1,0,
"SW63",1,0,0,0,0,0,0,
"SW83",0,0,0,0,0,0,1,
"SX45",0,0,0,0,1,0,0,"a"
"SX46",0,0,0,0,1,0,0,"a"
"SZ39",0,0,0,0,0,0,1,
"SZ59",0,0,0,0,0,1,0,
"SZ69",0,0,0,0,0,1,0,
"TL02",0,0,0,1,0,0,0,
"TL08",0,0,0,0,0,0,1,
"TL13",0,0,0,0,1,0,0,
"TL21",0,0,0,0,1,0,0,"a"
"TL27",0,0,0,0,0,1,0,
"TL31",0,0,0,0,1,0,0,"a"
"TL32",0,0,1,0,0,0,0,"a"
"TL51",0,0,0,0,1,0,0,"a"
"TL60",0,0,0,0,0,1,0,
"TM23",0,0,0,0,1,0,0,"a"
"TQ05",0,0,0,0,0,0,1,
"TQ09",1,0,0,0,0,0,0,"a"
"TQ16",0,0,0,0,0,1,0,
"TQ17",0,0,0,0,0,0,1,
"TQ19",0,0,0,0,0,0,1,
"TQ20",0,0,0,0,1,0,0,"a"
"TQ27",0,0,0,1,0,0,1,"a"
"TQ28",0,0,0,0,0,0,1,
"TQ29",0,0,0,0,0,0,1,
"TQ30",0,0,0,0,1,1,1,"a"
"TQ38",0,0,0,0,0,0,1,
"TQ47",0,0,0,1,0,0,0,"a"
"TQ48",0,0,0,1,0,0,1,"a"
"TQ57",0,0,0,0,1,0,0,"a"
"TQ58",0,0,0,0,0,0,1,
"TQ59",0,0,0,0,0,1,0,
"TQ78",0,0,0,0,1,0,0,"a"
"TR34",0,0,0,0,0,0,1,
"WV64",1,0,0,0,0,0,0,"a"
