"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J01",1,0,0,0,0,0,0,
"NM49",0,0,1,0,0,0,0,
"NT17",0,0,0,0,0,0,1,
"NT27",0,0,0,0,1,0,0,"a"
"NT47",0,0,0,1,0,0,0,"a"
"NZ12",0,0,0,0,0,0,1,
"NZ25",0,0,0,0,0,0,1,
"NZ31",0,0,0,0,0,1,0,
"NZ41",0,0,0,0,0,1,1,
"SD30",0,0,0,0,0,0,1,
"SD41",0,0,0,0,0,0,1,
"SE07",0,0,0,0,1,0,0,"a"
"SE50",0,0,0,0,0,1,0,
"SE51",0,0,0,0,0,1,0,
"SJ39",0,0,0,0,0,0,1,
"SJ40",0,0,0,0,1,0,0,"a"
"SJ49",0,0,0,1,0,0,0,"a"
"SJ59",0,0,0,0,0,1,0,
"SJ92",0,0,0,0,1,0,0,"a"
"SK33",0,0,0,0,1,0,0,"a"
"SK39",0,0,0,0,0,1,0,
"SK41",0,0,0,0,0,0,1,
"SK54",1,0,0,0,0,0,0,
"SK60",0,0,0,0,0,0,1,
"SK64",0,0,0,1,0,0,0,
"SK69",0,0,0,0,0,1,0,
"SK88",0,0,0,0,0,0,1,
"SO42",0,0,0,0,1,0,0,"a"
"SO70",0,0,0,0,1,0,0,"a"
"SO85",0,0,0,0,0,1,0,
"SO99",1,0,0,1,0,0,0,"a"
"SP08",0,0,0,0,0,0,1,
"SP21",0,0,0,1,0,0,0,"a"
"SP33",0,0,1,1,0,0,0,"a"
"SP40",0,0,0,0,0,0,1,
"SP47",0,0,0,0,1,0,0,"a"
"SP50",1,0,0,0,0,0,0,"a"
"SP66",0,0,0,1,0,0,0,
"SP71",0,0,0,1,0,0,0,
"SP80",0,0,0,0,1,0,0,"a"
"SP83",0,0,0,1,0,0,1,
"SP86",0,0,0,0,1,0,0,
"SP91",0,0,1,0,0,0,0,
"SS49",0,0,0,0,0,0,1,
"SS94",0,0,0,0,1,0,0,
"ST19",0,0,0,0,0,0,1,
"ST22",0,0,0,0,1,1,1,"a"
"ST37",0,0,0,0,0,0,1,
"SU61",0,0,0,0,1,0,0,"a"
"SU76",0,0,0,0,0,0,1,
"SU89",0,0,0,0,0,1,0,
"SU96",0,0,0,0,0,0,1,
"SU97",0,0,0,0,0,0,1,
"SW42",0,0,0,0,0,1,0,
"SW43",0,0,0,1,0,0,0,"a"
"SW52",0,0,0,1,0,0,0,"a"
"SW53",0,0,0,1,0,0,0,"a"
"SW62",0,0,0,1,0,0,0,"a"
"SW63",0,0,0,1,0,0,0,"a"
"TA03",0,0,0,0,1,0,1,"a"
"TA04",0,0,0,0,0,0,1,
"TA10",0,0,0,0,0,1,0,
"TA20",0,0,0,0,0,1,1,
"TF00",0,0,0,0,0,0,1,
"TF11",0,0,0,0,0,0,1,
"TF13",0,0,0,0,0,0,1,
"TF15",0,0,0,0,0,0,1,
"TF16",0,0,0,0,0,0,1,
"TF24",0,0,0,0,0,0,1,
"TF36",0,0,0,1,0,0,0,
"TF43",0,0,0,0,0,0,1,
"TF50",0,0,0,0,0,0,1,
"TF62",0,0,0,0,0,0,1,
"TF91",1,0,0,0,0,0,0,"a"
"TG10",0,0,0,0,0,0,1,
"TG20",0,0,1,0,0,0,0,"a"
"TL14",0,0,0,0,0,0,1,
"TL34",0,0,0,0,1,0,0,"a"
"TL36",0,0,0,0,0,0,1,
"TL38",0,0,0,0,0,0,1,
"TL40",0,0,0,0,0,0,1,
"TL45",0,0,0,0,1,1,1,"a"
"TL46",0,0,0,0,0,1,0,
"TL50",0,0,0,0,0,0,1,
"TL66",0,0,0,0,0,1,0,
"TL70",0,0,0,0,0,0,1,
"TL92",0,0,0,0,1,0,0,"a"
"TM09",0,0,0,0,0,0,1,
"TM26",0,0,0,0,1,0,0,"a"
"TQ06",0,0,0,0,0,0,1,
"TQ07",0,0,0,0,0,0,1,
"TQ08",1,0,0,0,0,0,0,"a"
"TQ10",0,0,0,0,0,0,1,
"TQ15",0,0,0,0,0,0,1,
"TQ16",0,0,0,0,0,1,1,
"TQ17",0,0,0,0,0,0,1,
"TQ18",1,0,0,0,0,0,0,"a"
"TQ19",0,0,0,0,0,0,1,
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,1,1,
"TQ28",0,0,1,0,1,0,1,"a"
"TQ37",0,0,0,0,0,1,1,
"TQ38",0,0,0,0,1,1,1,"a"
"TQ39",0,0,0,0,0,0,1,
"TQ47",0,0,0,0,0,0,1,
"TQ49",0,0,0,0,0,0,1,
"TQ56",0,0,0,0,0,0,1,
"TQ57",0,0,0,0,0,0,1,
"TQ58",0,0,0,0,0,1,1,
"TQ68",0,0,0,0,0,0,1,
"TQ79",0,0,0,0,0,0,1,
