"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J03",0,0,0,0,0,0,1,
"NC30",0,0,0,0,0,0,1,
"NC40",0,0,0,0,0,0,1,
"NC42",0,0,0,0,0,0,1,
"NC50",0,0,0,0,0,0,1,
"NC51",0,0,0,0,0,0,1,
"NC52",0,0,0,0,0,0,1,
"NC60",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC82",0,0,0,0,0,0,1,
"NC83",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"NC96",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"ND12",0,0,0,0,0,0,1,
"ND15",0,0,0,0,0,0,1,
"ND16",0,0,0,0,0,0,1,
"ND35",0,0,0,0,0,0,1,
"ND37",0,0,0,0,0,0,1,
"NG53",0,0,0,0,0,1,0,
"NG62",0,0,0,0,0,0,1,
"NH36",0,0,0,0,0,1,0,
"NH45",0,0,0,0,0,1,0,
"NH51",0,0,0,0,0,0,1,
"NH52",0,0,0,0,0,0,1,
"NH54",0,0,0,0,0,0,1,
"NH55",0,0,0,0,0,1,1,
"NH59",0,0,0,0,0,0,1,
"NH64",0,0,0,0,0,0,1,
"NH66",0,0,0,0,0,0,1,
"NH68",0,0,0,0,0,0,1,
"NH69",0,0,0,0,0,0,1,
"NH74",0,0,0,0,0,0,1,
"NH75",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,1,1,
"NH79",0,0,0,0,0,0,1,
"NH82",0,0,0,0,0,0,1,
"NH85",0,0,0,0,0,0,1,
"NH87",0,0,0,0,0,1,1,
"NH88",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NH92",0,0,0,0,1,1,1,"a"
"NH93",0,0,0,0,1,0,0,"a"
"NH95",0,0,0,0,0,0,1,
"NH98",0,0,0,0,0,0,1,
"NJ02",0,0,0,0,0,1,1,
"NJ04",0,0,0,0,0,0,1,
"NJ05",0,0,0,0,1,1,1,"a"
"NJ06",0,0,0,0,1,0,1,"a"
"NJ13",0,0,0,0,0,1,0,
"NJ15",0,0,0,0,1,1,0,"a"
"NJ16",0,0,0,0,1,0,1,"a"
"NJ17",0,0,0,0,1,0,0,"a"
"NJ22",0,0,0,0,0,1,0,
"NJ24",0,0,0,0,0,1,1,
"NJ25",0,0,0,0,1,0,1,"a"
"NJ26",0,0,0,0,1,1,1,"a"
"NJ27",0,0,0,0,1,1,1,"a"
"NJ35",0,0,0,0,1,1,1,"a"
"NJ36",0,0,0,0,1,1,1,"a"
"NJ45",0,0,0,0,0,1,0,
"NJ46",0,0,0,0,0,1,0,
"NJ51",0,0,0,0,0,0,1,
"NJ54",0,0,0,0,0,0,1,
"NJ55",0,0,0,0,0,0,1,
"NJ56",0,0,0,0,0,1,0,
"NJ61",0,0,0,0,0,0,1,
"NJ66",0,0,0,0,0,1,0,
"NJ72",0,0,0,0,0,1,0,
"NJ75",0,0,0,0,0,1,0,
"NJ80",0,0,0,0,0,1,0,
"NJ84",0,0,0,0,0,1,0,
"NJ85",0,0,0,0,0,1,0,
"NK03",0,0,0,0,0,1,0,
"NK04",0,0,0,0,0,1,0,
"NN07",0,0,0,0,1,0,0,"a"
"NN53",0,0,0,0,0,0,1,
"NN60",0,0,0,0,0,0,1,
"NN95",0,0,0,0,0,0,1,
"NO02",0,0,0,0,0,1,0,
"NO19",0,0,0,0,0,0,1,
"NO24",0,0,0,0,0,1,0,
"NO43",0,0,0,0,0,0,1,
"NO45",0,0,0,0,0,1,0,
"NO53",0,0,0,0,0,1,1,
"NO55",0,0,0,0,0,1,0,
"NS28",0,0,0,1,1,0,1,"a"
"NS37",0,0,0,0,1,0,0,"a"
"NS38",0,0,0,0,1,0,1,"a"
"NS45",0,0,0,0,1,0,0,"a"
"NS46",0,0,0,0,1,0,0,"a"
"NS55",0,0,0,0,1,1,0,"a"
"NS56",0,0,0,0,1,0,1,
"NS67",0,0,0,0,1,0,1,"a"
"NS75",0,0,0,0,1,1,0,"a"
"NS84",0,0,0,0,0,1,0,
"NS85",0,0,0,0,1,0,0,"a"
"NT07",0,0,0,0,1,0,1,
"NT17",0,0,0,1,0,1,0,"a"
"NT27",0,0,0,0,0,1,1,
"NT35",0,0,0,0,0,0,1,
"NT46",0,0,0,0,0,0,1,
"NT47",0,0,0,0,0,1,0,
"NT51",0,0,0,0,0,0,1,
"NT53",0,0,0,0,0,1,0,
"NT84",0,0,0,0,0,0,1,
"NT85",0,0,0,0,0,0,1,
"NT86",0,0,0,0,0,0,1,
"NT90",0,0,0,0,0,0,1,
"NT94",0,0,0,0,0,0,1,
"NU01",0,0,0,0,0,0,1,
"NU02",0,0,0,0,0,1,1,
"NU13",0,0,0,0,0,0,1,
"NU14",0,0,0,0,0,0,1,
"NU20",0,0,0,0,0,0,1,
"NU21",0,0,0,0,0,1,1,
"NU22",0,0,0,0,0,0,1,
"NU23",0,0,0,0,0,0,1,
"NX30",0,0,0,0,0,0,1,
"NX40",0,0,0,0,1,0,0,"a"
"NX86",0,0,0,0,0,0,1,
"NY42",0,0,0,0,0,0,1,
"NY44",0,0,0,0,0,0,1,
"NY51",0,0,0,0,0,1,0,
"NY52",0,0,0,0,0,1,0,
"NY53",0,0,0,0,0,1,1,
"NY55",0,0,0,0,0,0,1,
"NY71",0,0,0,0,0,1,0,
"NY93",0,0,0,0,1,0,0,
"NZ15",0,0,0,0,0,1,1,
"NZ16",0,0,0,0,0,1,0,
"NZ22",0,0,0,0,1,0,1,
"NZ24",0,0,0,0,0,1,1,
"NZ25",0,0,0,0,0,1,1,
"NZ26",0,0,0,0,0,1,1,
"NZ31",0,0,0,0,0,1,0,
"NZ36",0,0,0,0,0,0,1,
"NZ40",0,0,0,0,0,0,1,
"NZ41",0,0,0,0,0,1,1,
"NZ46",0,0,0,0,0,0,1,
"NZ50",0,0,0,0,0,1,1,
"NZ51",0,0,0,0,0,0,1,
"NZ52",0,0,0,0,0,0,1,
"NZ53",0,0,0,0,0,0,1,
"NZ61",0,0,0,0,0,1,1,
"NZ62",0,0,0,0,1,1,1,
"NZ70",0,0,0,0,0,1,0,
"S50",0,0,0,0,0,1,0,
"S70",0,0,0,0,0,1,0,
"S73",0,0,0,0,0,0,1,
"S84",0,0,0,0,0,0,1,
"S93",0,0,0,0,0,1,1,
"SC26",0,0,0,0,1,0,0,"a"
"SC37",0,0,0,0,1,1,0,"a"
"SC39",0,0,0,0,1,1,1,"a"
"SC47",0,0,0,0,1,0,0,"a"
"SC48",0,0,0,0,1,0,0,"a"
"SC49",0,0,0,0,1,1,0,"a"
"SD20",0,0,0,0,0,1,1,
"SD30",0,0,0,0,0,1,1,
"SD31",0,0,0,0,1,1,1,
"SD32",0,0,1,0,1,1,1,
"SD33",0,0,0,0,0,1,1,
"SD34",0,0,0,0,0,0,1,
"SD37",0,0,0,0,0,0,1,
"SD40",0,0,0,0,1,1,1,
"SD41",0,0,0,0,1,1,1,
"SD42",0,0,0,0,0,0,1,
"SD43",0,0,0,0,0,0,1,
"SD44",0,0,0,0,0,0,1,
"SD45",0,0,0,0,0,0,1,
"SD46",0,0,1,1,1,0,1,"a"
"SD50",0,0,0,0,0,0,1,
"SD51",0,0,0,0,0,1,1,
"SD52",0,0,0,0,0,1,1,
"SD53",0,0,0,0,0,0,1,
"SD54",0,0,0,0,0,1,0,
"SD56",0,0,0,0,0,0,1,
"SD57",0,0,0,0,0,0,1,
"SD60",0,0,0,0,0,0,1,
"SD61",0,0,0,0,0,0,1,
"SD62",0,0,0,0,0,0,1,
"SD63",0,0,0,0,0,0,1,
"SD67",0,0,0,0,0,0,1,
"SD70",0,0,0,0,0,0,1,
"SD71",0,0,0,0,1,0,1,
"SD72",0,0,0,0,0,0,1,
"SD73",0,0,0,0,1,0,1,"a"
"SD74",0,0,1,0,1,0,0,"a"
"SD75",0,0,0,0,0,0,1,
"SD80",0,0,0,0,0,1,1,
"SD81",0,0,0,0,0,1,1,
"SD82",0,0,0,0,0,1,1,
"SD83",0,0,0,0,0,0,1,
"SD84",0,0,0,0,0,0,1,
"SD85",0,0,1,0,0,0,1,
"SD90",0,0,0,0,0,0,1,
"SD92",0,0,0,0,0,0,1,
"SD95",0,0,0,0,0,0,1,
"SD97",0,0,0,0,0,0,1,
"SE04",0,0,0,0,0,0,1,
"SE08",0,0,0,0,0,0,1,
"SE09",0,0,0,0,0,1,0,
"SE13",0,0,0,0,1,0,1,"a"
"SE14",0,0,0,0,1,0,1,"a"
"SE15",0,0,0,0,0,0,1,
"SE23",0,0,0,0,0,0,1,
"SE24",0,0,0,0,0,0,1,
"SE32",0,0,0,0,0,0,1,
"SE33",0,0,0,0,1,0,1,"a"
"SE35",0,0,0,0,0,0,1,
"SE36",0,0,0,0,0,0,1,
"SE39",0,0,0,0,0,0,1,
"SE40",0,0,0,0,1,1,0,
"SE42",0,0,0,0,0,0,1,
"SE43",0,0,0,0,0,0,1,
"SE45",0,0,0,0,0,0,1,
"SE50",0,0,0,0,0,1,1,
"SE52",0,0,0,0,0,0,1,
"SE57",0,0,0,0,0,1,1,
"SE58",0,0,0,0,0,0,1,
"SE60",0,0,0,0,0,1,0,
"SE65",0,0,0,0,0,1,1,
"SE67",0,0,0,0,0,1,1,
"SE68",0,0,0,0,0,1,1,
"SE71",0,0,0,0,0,0,1,
"SE76",0,0,0,0,0,0,1,
"SE77",0,0,0,0,0,0,1,
"SE78",0,0,0,0,0,0,1,
"SE80",0,0,0,0,0,1,1,
"SE82",0,0,0,0,0,1,0,
"SE88",0,0,0,0,0,1,0,
"SE90",0,0,0,0,0,0,1,
"SE92",0,0,0,0,0,0,1,
"SE98",0,0,0,0,0,0,1,
"SH37",0,0,0,0,0,0,1,
"SJ12",0,0,0,0,0,0,1,
"SJ22",0,0,0,0,0,1,0,
"SJ25",0,0,0,0,1,0,0,"a"
"SJ29",0,0,0,0,1,0,0,"a"
"SJ35",0,0,0,0,0,1,1,
"SJ38",0,0,0,0,0,1,1,
"SJ39",0,0,0,0,1,1,1,
"SJ48",0,0,0,0,0,0,1,
