"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NG88",0,0,0,0,0,0,1,
"SE33",0,0,0,0,0,0,1,
"SK71",1,0,0,0,0,0,0,"a"
"SO74",0,0,0,0,1,0,0,"a"
"SO93",0,0,0,0,1,1,1,"a"
"SP14",0,0,0,0,0,0,1,
"SP40",0,0,0,1,0,0,0,"a"
"SP50",0,0,0,1,1,1,0,
"SU14",1,0,0,0,0,0,0,"a"
"SU76",0,0,0,0,1,0,1,"a"
"SU95",0,0,0,1,0,0,0,"a"
"SU98",0,0,0,0,0,0,1,
"TG20",0,0,0,1,0,0,0,
"TL16",0,0,0,0,0,0,1,
"TL19",0,0,0,0,0,0,1,
"TL28",0,0,0,0,0,1,1,
"TL45",0,0,0,0,0,0,1,
"TL46",0,0,1,0,1,0,0,"a"
"TL52",0,0,0,1,0,0,0,"a"
"TL56",0,0,0,1,1,0,1,"a"
"TL65",0,0,0,0,1,0,0,"a"
"TL67",0,0,0,1,1,0,0,"a"
"TL76",1,0,0,1,1,0,0,"a"
"TL88",0,1,0,0,0,0,0,"a"
"TL89",0,0,0,1,1,0,0,"a"
"TQ28",0,0,0,0,0,0,1,
"TQ60",0,0,0,1,1,1,0,"a"
"TQ76",0,0,0,0,0,1,1,
"TQ99",0,0,0,0,0,1,0,
