"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NN18",0,0,0,0,0,0,1,
"NS68",0,0,0,0,1,0,0,
"NU03",0,0,0,0,0,0,1,
"SJ26",1,0,0,0,0,0,0,
"SJ80",0,0,0,1,0,0,0,
"SN58",0,0,0,0,1,0,0,
"SO09",0,0,0,0,0,0,1,
"SS84",0,0,0,0,0,0,1,
"ST50",0,0,0,0,1,0,0,
"ST86",0,0,0,0,1,0,0,
"SU03",0,0,0,0,1,0,0,
"SU42",0,0,0,0,0,0,1,
"SU64",0,0,0,0,0,0,1,
"SU96",0,0,0,0,0,0,1,
"TF36",0,0,0,1,0,0,0,
"TG02",0,0,0,0,0,1,0,
"TL31",0,0,0,0,0,0,1,
"TL89",0,0,0,0,0,0,1,
"TM49",0,0,0,0,1,0,0,
"TQ15",0,0,0,1,0,0,0,
