"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HY21",0,0,0,0,0,0,1,
"NH69",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NY15",0,0,0,1,1,1,0,"a"
"SD31",0,0,0,0,1,1,1,"a"
"SJ39",0,0,0,0,1,0,1,"a"
"SK45",0,0,0,0,0,0,1,
"SO99",0,0,0,1,0,0,0,"a"
"SP40",0,0,0,1,0,0,0,
"SP50",0,0,0,1,0,0,0,"a"
"ST71",0,0,0,0,1,0,0,"a"
"SU28",0,0,0,0,0,0,1,
"SU80",0,0,0,0,1,1,0,"a"
"SW98",0,0,0,0,1,0,0,"a"
"TQ17",0,0,0,1,1,0,0,"a"
"TQ25",0,0,0,0,0,0,1,
"TQ28",0,0,0,0,0,0,1,
"TQ29",0,0,0,0,0,0,1,
"TQ38",0,0,0,0,0,0,1,
"TQ46",1,0,1,0,0,0,0,"a"
