"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NC42",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"NG87",0,0,0,0,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NH68",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NT73",0,0,0,0,0,0,1,
"NU03",0,0,0,0,0,0,1,
"SC27",0,0,0,0,0,0,1,
"SC49",0,0,0,0,1,0,0,"a"
"SE48",0,0,0,0,0,1,0,
"SH68",0,0,0,0,1,0,0,"a"
"SH77",0,0,0,0,0,1,0,
"SH78",0,0,0,0,1,0,1,"a"
"SK26",0,0,0,0,0,0,1,
"SK37",0,0,0,1,0,0,0,"a"
"SK65",0,0,0,0,0,0,1,
"SK75",0,0,0,1,0,0,0,"a"
"SM93",1,0,0,1,1,0,1,"a"
"SO74",0,0,0,0,0,1,0,
"SO83",0,0,0,0,0,1,0,
"SO87",0,0,0,0,0,1,0,
"SO93",0,0,0,0,0,1,1,
"SP13",0,0,0,0,0,0,1,
"SS20",0,0,0,1,1,1,1,"a"
"SS43",0,0,0,1,0,0,0,"a"
"SS44",0,0,0,0,1,0,0,"a"
"SS48",0,0,0,0,0,0,1,
"SS59",0,0,0,0,0,1,0,
"SS68",0,0,0,0,1,1,0,"a"
"ST25",0,0,0,0,1,0,0,"a"
"ST32",0,0,0,1,0,0,0,"a"
"ST36",0,0,0,0,0,0,1,
"ST42",0,0,0,0,1,0,0,"a"
"ST72",0,0,0,0,1,0,0,"a"
"SU29",0,0,0,0,0,0,1,
"SU37",0,0,0,0,0,0,1,
"SU39",0,0,0,0,0,0,1,
"SU46",0,0,0,0,0,0,1,
"SU49",0,0,0,0,0,0,1,
"SU68",0,0,0,0,1,0,1,"a"
"SU77",0,0,0,0,0,0,1,
"SU78",0,0,0,0,0,0,1,
"SU86",0,0,0,0,0,0,1,
"SU87",0,0,0,0,1,0,1,"a"
"SU88",0,0,0,0,1,0,1,"a"
"SU96",0,0,0,0,1,0,1,"a"
"SU97",0,0,0,0,1,0,0,"a"
"SU98",0,0,0,0,1,0,0,
"SV81",0,0,0,0,0,0,1,
"SV91",0,0,0,0,0,1,1,
"SW33",0,0,0,0,0,0,1,
"SW52",0,0,0,0,0,0,1,
"SW53",1,0,1,1,0,1,1,"a"
"SW54",0,0,0,0,1,0,1,
"SW62",0,0,0,0,0,1,1,
"SW63",0,0,0,0,0,0,1,
"SW64",1,0,0,1,1,0,0,"a"
"SW71",0,0,0,0,0,1,1,
"SW72",0,0,0,0,0,0,1,
"SW73",0,0,0,0,0,1,1,
"SW74",1,0,0,1,0,0,1,"a"
"SW75",0,0,0,0,0,1,1,
"SW83",0,0,0,0,0,1,1,
"SW85",0,0,0,0,0,0,1,
"SW86",1,0,0,1,1,1,0,"a"
"SW87",0,0,0,0,0,0,1,
"SW94",0,0,0,0,0,0,1,
"SW95",0,0,0,0,0,0,1,
"SW97",0,0,0,0,1,1,1,"a"
"SW98",0,0,0,0,0,0,1,
"SX05",0,0,0,0,0,1,1,
"SX06",0,0,0,0,0,0,1,
"SX07",0,0,0,0,0,0,1,
"SX08",0,0,0,0,0,0,1,
"SX09",0,0,0,0,0,1,0,
"SX15",0,0,0,0,0,1,1,
"SX25",0,0,0,0,0,0,1,
"SX27",0,0,0,0,0,0,1,
"SX35",0,0,0,0,0,1,1,
"SX45",0,0,0,0,0,0,1,
"SX46",0,0,0,0,0,1,0,
"SX64",0,0,0,0,1,0,0,"a"
"SX68",0,0,1,0,0,0,0,
"SX73",0,0,0,0,1,0,0,"a"
"SX74",0,0,0,0,1,0,0,"a"
"SX76",0,0,0,0,1,0,0,"a"
"SX78",0,0,0,0,1,0,0,"a"
"SX85",0,0,0,0,0,0,1,
"SX86",0,0,0,0,1,0,0,"a"
"SX88",0,0,0,0,1,0,0,"a"
"SX98",0,0,0,0,1,1,1,"a"
"SY08",0,0,0,0,1,0,0,"a"
"SY18",0,0,0,0,1,0,0,"a"
"SY49",0,0,0,0,1,0,0,"a"
"SZ07",0,0,0,0,1,1,0,"a"
"SZ08",0,0,0,0,1,1,0,"a"
"SZ09",0,0,0,0,1,0,0,"a"
"SZ29",0,0,0,0,0,1,0,
"SZ57",0,0,0,0,0,0,1,
"SZ58",0,0,0,0,0,1,1,
"SZ89",0,0,0,0,1,1,1,"a"
"TG50",0,0,0,0,0,1,1,
"TL10",0,0,0,0,0,0,1,
"TL11",0,0,0,0,1,0,0,
"TL12",0,0,0,0,1,0,0,
"TL40",0,0,0,0,0,0,1,
"TM13",0,0,0,1,0,0,0,"a"
"TM14",0,0,0,1,0,0,0,"a"
"TM23",0,1,0,1,1,1,1,"a"
"TM33",0,0,0,0,0,1,0,
"TM46",0,0,0,0,0,1,0,
"TM47",0,0,0,0,0,1,0,
"TM57",0,0,0,0,0,1,0,
"TQ04",0,0,0,1,0,0,0,"a"
"TQ05",0,0,0,0,0,0,1,
"TQ06",0,0,0,0,0,1,0,
"TQ07",0,0,0,0,0,0,1,
"TQ08",0,0,0,0,0,0,1,
"TQ09",0,0,0,0,0,0,1,
"TQ15",0,0,0,0,0,0,1,
"TQ16",0,0,0,0,0,1,1,
"TQ17",0,0,0,0,0,0,1,
"TQ18",0,0,0,0,0,0,1,
"TQ24",0,0,0,0,0,1,0,
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,0,1,
"TQ28",0,0,0,0,0,0,1,
"TQ29",0,0,0,0,0,0,1,
"TQ36",0,0,0,0,0,1,1,
"TQ37",0,0,0,0,0,0,1,
"TQ38",0,0,0,0,0,1,0,
"TQ39",0,0,0,0,0,0,1,
"TQ45",0,0,0,0,0,1,0,
"TQ46",0,0,0,0,0,0,1,
"TQ47",0,0,0,0,0,0,1,
"TQ48",0,0,0,0,0,0,1,
"TQ56",0,0,0,0,0,0,1,
"TQ58",0,0,0,0,0,0,1,
"TQ59",0,0,0,0,0,0,1,
"TQ60",0,0,0,0,0,0,1,
"TQ69",0,0,0,0,0,0,1,
"TR02",0,0,0,0,1,0,1,"a"
"TV69",0,0,0,0,0,0,1,
"W47",0,0,0,0,0,1,0,
"X38",0,0,0,0,1,0,0,"a"
"X49",0,0,0,0,1,1,0,"a"
