"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NS73",0,0,0,0,1,0,0,
"NS85",0,0,0,0,1,0,0,
"NS86",0,0,0,0,0,0,1,
"NT26",0,0,0,0,1,0,0,"a"
"NZ34",0,0,0,0,0,0,1,
"SD99",1,0,0,0,0,0,0,"a"
"SK64",0,0,0,0,0,1,0,
"SK87",0,0,0,0,0,0,1,
"SN55",0,0,0,0,1,0,0,"a"
"SP78",0,0,0,0,0,0,1,
"SS91",0,1,0,0,0,0,0,"a"
"SU24",0,0,0,0,1,0,0,
"SU42",0,0,0,0,0,0,1,
"SU81",0,0,0,0,0,0,1,
"SU82",0,0,0,0,0,0,1,
"TF80",0,0,0,0,0,0,1,
"TG11",0,0,0,0,0,1,0,
"TL25",0,0,0,0,0,0,1,
"TL29",0,0,0,0,0,0,1,
"TL30",0,0,0,0,0,0,1,
"TL36",0,0,0,0,0,0,1,
"TL37",0,0,0,0,0,0,1,
"TL38",0,0,0,0,0,0,1,
"TL44",0,0,0,0,0,0,1,
"TL45",0,0,0,0,0,0,1,
"TL46",0,0,0,0,0,0,1,
"TL47",0,0,0,0,0,0,1,
"TL48",0,0,0,0,0,0,1,
"TL50",0,0,0,0,0,0,1,
"TL52",0,0,0,0,0,0,1,
"TL71",0,0,0,0,0,0,1,
"TL72",0,0,0,0,0,0,1,
"TL73",0,0,0,0,0,0,1,
"TL80",0,0,0,0,0,0,1,
"TL90",0,0,0,0,0,0,1,
"TL91",0,0,0,0,0,0,1,
"TL92",0,0,0,0,0,0,1,
"TL93",0,0,0,0,0,0,1,
"TM03",0,0,0,0,0,0,1,
"TQ00",0,0,0,0,0,0,1,
"TQ26",0,0,0,0,0,0,1,
"TQ29",0,0,0,0,0,1,1,
"TQ37",0,0,0,0,1,0,1,"a"
"TQ38",0,0,0,0,1,1,1,"a"
"TQ41",0,0,0,0,0,1,0,
"TQ48",0,0,0,0,0,0,1,
"TQ49",0,0,0,0,0,0,1,
"TQ58",0,0,0,0,0,1,0,
"TQ59",0,0,0,0,0,0,1,
"TQ69",0,0,0,0,1,0,1,"a"
"TQ89",0,0,0,0,0,0,1,
"TQ91",0,0,0,0,0,0,1,
