"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NT23",0,0,0,0,0,0,1,
"NZ23",1,0,0,0,0,0,0,"a"
"SD46",0,0,0,0,1,0,0,"a"
"SJ90",0,0,0,0,0,1,0,
"SK55",0,0,0,0,0,0,1,
"SO74",0,0,0,0,1,1,1,
"SO90",0,0,0,0,1,0,0,"a"
"SO96",0,0,0,0,0,1,1,
"SO98",0,0,0,0,0,1,1,
"ST61",0,0,0,0,1,0,0,"a"
"SX99",0,0,0,0,1,0,0,"a"
"SY59",0,0,0,0,1,0,0,"a"
"TF07",0,0,0,0,0,0,1,
"TL00",0,0,0,0,1,0,0,
"TL31",0,0,0,0,1,0,0,"a"
"TQ00",0,0,0,0,1,1,0,"a"
"TQ04",0,0,0,0,1,1,0,"a"
"TQ27",0,0,0,0,1,1,1,"a"
"TQ38",0,0,0,0,1,0,0,"a"
"TQ56",1,0,0,0,0,0,0,"a"
"TQ59",0,0,0,0,1,0,0,"a"
"WA50",0,0,0,0,1,0,0,"a"
