"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C71",0,0,0,0,0,1,0,
"G62",0,0,0,0,1,0,0,
"HP50",0,0,0,0,0,0,1,
"HP60",0,0,0,0,0,0,1,
"HP61",0,0,0,0,0,0,1,
"HU35",0,0,0,0,0,0,1,
"HU43",0,0,0,0,0,0,1,
"HU44",0,0,0,0,0,0,1,
"HU46",0,0,0,0,0,0,1,
"HU47",0,0,0,0,0,0,1,
"HU48",0,0,0,0,0,0,1,
"HU49",0,0,0,0,0,0,1,
"HU57",0,0,0,0,0,0,1,
"HU58",0,0,0,0,0,0,1,
"HU59",0,0,0,0,0,0,1,
"HU69",0,0,0,0,0,0,1,
"HY32",0,0,0,0,0,0,1,
"HY42",0,0,0,0,0,0,1,
"HY75",0,0,0,0,0,0,1,
"NB20",0,0,0,0,0,0,1,
"NB32",0,0,0,0,0,0,1,
"ND14",0,0,0,0,0,0,1,
"ND15",0,0,0,0,0,1,1,
"ND16",0,0,0,0,0,0,1,
"ND49",0,0,0,0,0,0,1,
"NF87",0,0,0,0,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NH88",0,0,0,0,0,0,1,
"NJ44",0,0,0,0,0,0,1,
"NJ76",0,0,0,0,0,1,1,
"NJ86",0,0,0,0,0,1,0,
"NJ90",0,0,0,0,0,1,1,
"NK03",0,0,0,0,1,0,0,
"NM49",0,0,1,0,0,0,0,
"NM90",0,0,0,0,0,0,1,
"NS14",0,0,0,0,0,0,1,
"NS37",0,0,0,0,0,0,1,
"NS46",0,0,0,0,1,1,0,"a"
"NS55",0,0,0,0,1,0,0,"a"
"NS56",0,0,0,1,1,0,1,"a"
"NS75",0,0,0,0,0,1,0,
"NS93",0,0,0,0,1,0,0,"a"
"NT85",0,0,0,0,1,0,0,"a"
"NU12",0,0,0,0,0,0,1,
"NX30",0,0,0,0,1,0,0,"a"
"NX44",0,0,0,0,0,1,1,
"NX85",0,0,0,0,1,0,1,"a"
"NY15",0,0,0,1,1,1,1,"a"
"NY52",0,0,0,0,0,1,1,
"NZ00",0,0,0,0,0,1,0,
"NZ03",0,0,0,1,0,0,0,"a"
"NZ36",0,0,0,0,0,1,0,
"NZ41",0,0,0,0,1,0,0,
"NZ62",0,0,0,0,1,0,0,"a"
"NZ70",0,0,0,0,0,1,1,
"Q94",0,0,0,0,1,0,1,"a"
"SC37",0,0,0,0,1,0,0,"a"
"SD09",0,0,0,0,0,1,1,
"SD28",0,0,0,0,1,0,0,"a"
"SD33",0,0,1,0,1,1,1,"a"
"SD40",0,0,0,0,1,0,0,"a"
"SD42",0,0,0,0,1,0,0,
"SD44",0,0,0,0,1,0,0,"a"
"SD46",0,0,1,1,1,0,0,"a"
"SD53",0,0,0,0,0,1,0,
"SD55",0,0,1,1,1,0,0,"a"
"SD56",0,0,1,1,1,0,0,"a"
"SD62",0,0,0,0,1,0,0,"a"
"SD74",0,0,0,0,0,0,1,
"SD82",0,0,0,0,0,0,1,
"SD96",0,0,0,0,1,0,0,"a"
"SE02",0,0,0,0,0,0,1,
"SE13",0,0,0,1,1,0,1,"a"
"SE23",0,0,0,0,0,0,1,
"SE52",0,0,0,0,1,0,0,"a"
"SE65",0,0,0,0,0,0,1,
"SH97",0,0,1,0,0,0,0,"a"
"SJ13",0,0,0,0,0,0,1,
"SJ60",0,0,0,1,0,0,0,"a"
"SJ84",0,0,0,0,0,0,1,
"SJ85",0,0,0,0,0,1,1,
"SJ94",0,0,0,0,0,1,1,
"SK07",0,0,1,1,0,1,0,"a"
"SK33",0,0,0,0,1,0,1,"a"
"SN31",0,0,0,0,1,0,0,"a"
"SO07",0,0,0,0,1,0,0,"a"
"SO87",0,0,0,0,0,1,0,
"SS40",0,0,0,0,0,0,1,
"ST32",0,0,0,0,1,0,0,"a"
"SU43",0,0,0,0,0,0,1,
"SU77",0,0,1,0,0,0,0,"a"
"SU85",0,0,0,0,1,0,0,"a"
"SU96",0,0,0,0,0,0,1,
"SW96",0,0,0,0,0,0,1,
"SY98",0,0,0,0,1,0,0,"a"
"SY99",0,0,0,0,1,0,0,
"SZ29",0,0,0,0,0,1,0,
"T00",0,0,0,0,0,0,1,
"T14",0,0,0,0,0,0,1,
"TA08",0,0,0,1,0,0,1,"a"
"TA27",0,0,0,0,0,0,1,
"TF00",0,0,0,0,0,1,0,
"TF38",0,0,0,0,0,1,0,
"TL19",0,0,0,0,0,1,1,
"TL22",0,0,0,0,1,0,0,
"TL46",0,0,0,0,0,1,0,
"TQ17",0,0,0,0,0,0,1,
"TQ24",0,0,0,0,1,0,0,"a"
"TQ28",0,0,0,0,0,0,1,
"TQ29",0,0,0,0,0,0,1,
"TQ32",0,0,0,0,1,0,0,"a"
"TQ38",0,0,0,0,1,0,1,"a"
"TQ49",0,0,0,0,0,0,1,
"TQ54",0,0,0,1,0,0,0,"a"
"TR02",0,0,0,1,0,1,1,"a"
