"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NH64",0,0,0,0,0,1,0,
"NH87",0,0,0,0,0,1,0,
"NO34",0,0,0,0,0,1,0,
"NO45",0,0,0,0,0,0,1,
"NT27",0,0,0,1,0,0,0,
"NX06",0,0,0,0,0,0,1,
"NZ32",0,0,0,0,0,0,1,
"SD20",0,0,0,0,0,1,0,
"SD31",0,0,0,0,0,1,0,
"SD80",0,0,0,0,0,1,0,
"SD85",0,0,0,0,0,1,0,
"SE22",0,0,0,0,0,0,1,
"SE23",0,0,0,0,0,0,1,
"SE32",0,0,0,0,0,0,1,
"SE33",0,0,0,0,1,1,0,"a"
"SE42",0,0,0,0,0,0,1,
"SE43",0,0,0,0,0,0,1,
"SJ58",0,0,0,0,0,1,0,
"SJ60",0,0,0,0,0,0,1,
"SJ85",0,0,0,0,0,1,1,
"SJ87",0,0,0,0,0,1,0,
"SJ90",0,0,0,0,0,1,0,
"SK01",0,0,0,0,0,0,1,
"SK07",0,0,0,0,1,0,0,"a"
"SK44",0,0,0,0,0,0,1,
"SK48",0,0,0,0,0,0,1,
"SK52",0,0,0,0,0,1,1,
"SK53",0,0,0,0,0,1,0,
"SK54",0,0,0,0,0,1,1,
"SK56",0,0,0,0,0,1,1,
"SK58",0,0,0,0,0,0,1,
"SK73",0,0,0,0,0,0,1,
"SK74",0,0,0,0,0,0,1,
"SK89",0,0,0,0,0,1,1,
"SK97",0,0,0,0,0,0,1,
"SN32",0,0,0,0,0,1,0,
"SO89",0,0,0,0,0,1,0,
"SO98",0,0,0,0,0,1,0,
"SO99",0,0,0,0,0,1,0,
"SP09",0,0,0,0,0,1,0,
"SP19",0,0,0,0,0,1,0,
"SP22",0,0,0,0,0,0,1,
"SP31",0,0,0,1,0,0,0,"a"
"SP38",0,0,0,0,0,0,1,
"SP46",0,0,0,0,0,0,1,
"SP94",0,0,0,0,1,0,0,"a"
"ST16",0,0,0,0,1,0,0,"a"
"ST51",0,0,0,0,0,0,1,
"ST57",0,0,0,0,1,0,0,"a"
"ST75",1,0,1,0,0,0,0,"a"
"SU24",0,0,0,0,0,0,1,
"SU39",0,0,0,0,0,0,1,
"SU45",0,0,0,0,0,0,1,
"SU52",0,0,0,0,0,1,0,
"SY97",0,0,0,0,0,1,0,
"SY98",0,0,0,0,0,1,1,
"SY99",0,0,0,0,0,1,0,
"SZ07",0,0,0,0,0,1,1,
"SZ29",0,0,0,0,0,1,0,
"SZ57",0,0,0,0,0,1,0,
"SZ59",0,0,0,0,0,1,0,
"TF26",0,0,0,0,0,0,1,
"TF29",0,0,0,0,0,0,1,
"TL02",1,0,0,0,0,0,0,"a"
"TL03",0,0,0,1,0,0,0,"a"
"TL21",0,0,0,0,0,1,1,
"TL30",0,0,0,0,0,0,1,
"TL31",0,0,0,0,0,0,1,
"TL33",0,0,0,0,0,0,1,
"TL45",0,0,0,1,1,0,0,"a"
"TL49",0,0,0,0,0,1,0,
"TL62",0,0,0,0,0,0,1,
"TM23",0,0,0,0,0,0,1,
"TQ05",0,0,0,0,0,0,1,
"TQ06",0,0,0,1,0,0,0,"a"
"TQ09",0,0,0,0,0,1,1,
"TQ16",0,0,0,0,0,0,1,
"TQ19",0,0,0,0,1,0,0,"a"
"TQ26",0,0,0,0,0,0,1,
"TQ28",0,0,0,0,0,0,1,
"TQ29",0,0,0,1,1,0,1,"a"
"TQ32",0,0,0,0,0,1,0,
"TQ57",0,0,0,0,0,0,1,
"TQ58",0,0,0,0,1,1,0,"a"
"TQ60",0,0,0,0,0,0,1,
"TQ71",0,0,0,0,1,0,0,"a"
"TQ82",1,0,0,0,0,0,0,"a"
"TQ91",0,0,0,0,0,1,0,
"TR03",0,0,0,0,0,1,0,
