"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J03",0,0,0,0,0,0,1,
"J38",0,0,0,0,0,0,1,
"NC50",0,0,0,0,0,0,1,
"NC51",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"NG72",0,0,0,0,0,0,1,
"NG81",0,0,0,0,0,0,1,
"NG82",0,0,0,0,0,0,1,
"NG92",0,0,0,0,0,0,1,
"NH30",0,0,0,0,0,0,1,
"NH55",0,0,0,0,0,0,1,
"NH69",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NM78",0,0,0,0,0,0,1,
"NN06",0,0,0,0,0,0,1,
"NN07",0,0,0,0,0,0,1,
"NO12",0,0,0,0,0,0,1,
"NS56",0,0,0,0,1,0,1,
"NS66",0,0,0,0,1,0,0,
"NT27",0,0,0,0,0,0,1,
"NT77",0,0,0,0,0,0,1,
"NX44",0,0,0,0,0,0,1,
"NX74",0,0,0,0,0,0,1,
"NY54",0,0,0,0,0,1,0,
"NZ51",0,0,0,0,0,1,0,
"NZ52",0,0,0,0,0,1,0,
"S61",0,0,0,0,0,1,0,
"SC26",0,0,0,0,1,0,0,
"SC27",0,0,0,0,1,0,0,
"SC49",0,0,0,0,1,0,0,
"SD30",0,0,0,0,0,1,0,
"SD40",0,0,0,0,0,0,1,
"SD46",0,0,0,0,0,1,0,
"SD51",0,0,0,0,0,0,1,
"SD70",0,0,0,0,0,1,1,
"SD71",0,0,0,0,0,0,1,
"SD80",0,0,0,0,0,1,0,
"SD81",0,0,0,0,0,0,1,
"SD90",0,0,0,0,0,0,1,
"SE42",0,0,0,0,0,0,1,
"SE50",0,0,0,0,0,1,0,
"SH76",0,0,0,0,0,0,1,
"SJ49",0,0,0,0,0,0,1,
"SJ59",0,0,0,0,0,0,1,
"SJ84",0,0,0,0,0,0,1,
"SJ89",0,0,0,0,0,0,1,
"SJ99",0,0,0,0,0,0,1,
"SK00",0,0,0,0,0,0,1,
"SK26",0,0,0,0,0,0,1,
"SK56",0,0,0,0,0,0,1,
"SK65",0,0,0,0,0,0,1,
"SN10",0,0,0,0,0,1,0,
"SO10",0,0,0,0,0,0,1,
"SP08",0,0,0,0,0,1,1,
"SP22",0,0,0,0,0,0,1,
"SP40",0,0,0,0,0,0,1,
"SP50",0,0,0,0,0,0,1,
"SS42",0,0,0,0,0,0,1,
"ST82",0,0,0,0,1,0,0,
"ST97",0,0,0,0,0,0,1,
"SU00",0,0,0,0,1,0,0,
"SU27",0,0,0,0,0,0,1,
"SU29",0,0,0,0,0,0,1,
"SU36",0,0,0,0,0,0,1,
"SU37",0,0,0,0,0,0,1,
"SU38",0,0,0,0,0,0,1,
"SU39",0,0,0,0,0,0,1,
"SU46",0,0,0,0,0,0,1,
"SU47",0,0,0,0,1,0,1,
"SU48",0,0,0,0,0,0,1,
"SU49",0,0,0,0,0,0,1,
"SU56",0,0,0,0,0,0,1,
"SU57",0,0,0,0,0,0,1,
"SU58",0,0,0,0,0,0,1,
"SU59",0,0,0,0,0,0,1,
"SU66",0,0,0,0,0,0,1,
"SU67",0,0,0,0,0,0,1,
"SU68",0,0,0,0,0,0,1,
"SU69",0,0,0,0,0,0,1,
"SU76",0,0,0,0,1,0,1,
"SU77",0,0,0,0,1,0,1,
"SU78",0,0,0,0,0,0,1,
"SU86",0,0,0,0,1,0,1,
"SU87",0,0,0,0,1,0,1,
"SU88",0,0,0,0,1,0,1,
"SU96",0,0,0,0,0,0,1,
"SU97",0,0,0,0,1,0,1,
"SU98",0,0,0,0,0,0,1,
"SX17",0,0,0,0,0,0,1,
"SX25",0,0,0,0,0,0,1,
"SX26",0,0,0,0,0,0,1,
"SX37",0,0,0,0,0,0,1,
"SX38",0,0,0,0,0,0,1,
"SY49",0,0,0,0,1,0,0,
"SY88",0,0,0,0,1,0,0,
"SY89",0,0,0,0,1,0,0,
"SZ07",0,0,0,0,0,1,0,
"TA12",0,0,0,0,0,0,1,
"TF20",0,0,0,0,0,1,0,
"TF56",0,0,0,0,0,0,1,
"TF90",0,0,0,1,1,0,0,
"TG01",0,0,0,0,0,0,1,
"TL00",0,0,0,0,0,1,1,
"TL10",0,0,0,0,0,1,1,
"TL20",0,0,0,0,0,1,1,
"TL21",0,0,0,0,0,0,1,
"TL30",0,0,0,0,0,1,1,
"TL31",0,0,0,0,0,0,1,
"TL40",0,0,0,0,0,0,1,
"TL41",0,0,0,0,0,0,1,
"TL50",0,0,0,0,0,0,1,
"TM14",0,0,0,0,0,0,1,
"TQ05",0,0,0,0,0,0,1,
"TQ06",0,0,0,0,0,1,1,
"TQ07",0,0,0,0,0,1,1,
"TQ08",0,0,0,0,0,1,1,
"TQ09",0,0,0,0,0,1,1,
"TQ15",0,0,0,0,0,1,1,
"TQ16",0,0,0,0,0,1,1,
"TQ17",0,0,0,0,0,0,1,
"TQ18",0,0,0,0,0,1,1,
"TQ19",0,0,0,0,0,0,1,
"TQ24",0,0,0,0,0,1,1,
"TQ25",0,0,0,0,0,0,1,
"TQ26",0,0,0,0,0,1,1,
"TQ27",0,0,0,0,0,1,1,
"TQ28",0,0,0,0,0,1,1,
"TQ29",0,0,0,0,0,0,1,
"TQ35",0,0,0,0,0,0,1,
"TQ36",0,0,0,0,0,1,1,
"TQ37",0,0,0,0,0,0,1,
"TQ38",0,0,0,0,0,1,1,
"TQ39",0,0,0,0,0,0,1,
"TQ40",0,0,0,0,0,0,1,
"TQ45",0,0,0,0,0,0,1,
"TQ46",0,0,0,0,0,0,1,
"TQ47",0,0,0,0,0,0,1,
"TQ48",0,0,0,0,0,0,1,
"TQ49",0,0,0,0,0,0,1,
"TQ55",0,0,0,0,0,1,1,
"TQ56",0,0,0,0,0,0,1,
"TQ57",0,0,0,0,0,1,1,
"TQ58",0,0,0,0,0,1,1,
"TQ59",0,0,0,0,0,0,1,
"TQ66",0,0,0,0,0,1,1,
"TQ67",0,0,0,0,0,0,1,
"TQ68",0,0,0,0,0,0,1,
"TQ69",0,0,0,0,0,0,1,
"V99",0,0,0,0,0,0,1,
"W03",0,0,0,0,0,1,0,
"W65",0,0,0,0,0,1,0,
"W76",0,0,0,0,0,0,1,
