"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HU44",0,0,0,0,0,0,1,
"NC50",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NH69",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NJ36",0,0,0,0,0,1,1,
"NJ64",0,0,0,0,0,0,1,
"NZ11",0,0,0,0,0,1,0,
"NZ50",0,0,0,0,0,1,0,
"O22",0,0,0,0,1,0,0,"a"
"SC28",0,0,0,0,1,0,0,"a"
"SC49",0,0,0,0,1,0,0,"a"
"SD20",0,0,0,0,0,1,0,
"SD31",0,0,0,0,1,0,0,
"SD40",0,0,0,0,0,1,0,
"SD41",0,0,0,0,1,0,0,
"SD42",0,0,0,0,0,1,0,
"SD47",0,0,1,0,0,0,0,
"SD80",0,0,0,0,0,1,0,
"SE40",0,0,0,0,0,1,0,
"SJ37",0,0,0,0,0,1,0,
"SJ41",0,0,0,0,1,0,0,"a"
"SJ48",0,0,0,0,0,0,1,
"SJ77",0,0,0,0,1,0,0,
"SJ79",0,0,0,1,0,0,0,
"SJ88",0,0,0,0,0,1,0,
"SK07",0,0,0,0,1,0,0,"a"
"SK14",0,0,0,0,0,0,1,
"SK44",0,0,0,0,0,0,1,
"SK52",0,0,0,0,0,1,0,
"SK53",0,0,0,0,0,0,1,
"SK63",0,0,0,0,0,1,0,
"SN58",0,0,0,0,1,0,0,
"SN69",0,0,0,0,0,1,0,
"SO73",0,0,0,0,0,0,1,
"SO74",0,0,0,0,0,1,0,
"SO77",0,0,0,0,1,0,0,"a"
"SO84",0,0,0,0,1,1,0,"a"
"SO85",0,0,0,0,0,1,0,
"SO94",0,0,0,0,0,0,1,
"SO98",0,0,0,0,0,1,0,
"SP03",0,0,0,0,1,0,0,"a"
"SP07",0,0,0,0,0,1,0,
"SP08",0,0,0,0,0,1,0,
"SP14",0,0,0,0,0,1,0,
"SP18",0,0,0,0,0,1,0,
"SP19",0,0,0,0,0,1,0,
"SP22",0,0,0,0,0,0,1,
"SP28",0,0,0,0,0,0,1,
"SP40",1,0,0,0,0,0,1,"a"
"SP50",1,0,1,0,0,0,0,"a"
"SS59",0,0,0,0,0,1,0,
