"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NC70",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NT27",0,0,0,0,0,0,1,
"NY54",0,0,0,0,0,0,1,
"SC26",0,0,0,0,1,0,1,
"SC37",0,0,0,0,0,0,1,
"SJ06",0,0,0,1,0,0,0,
"SJ07",0,0,0,0,0,1,0,
"SJ71",0,0,0,0,0,0,1,
"SJ75",0,0,0,0,0,1,1,
"SJ84",0,0,0,0,0,0,1,
"SK26",0,0,0,0,0,0,1,
"SK38",0,0,0,0,0,0,1,
"SK53",0,0,0,0,0,1,1,
"SK54",0,0,0,0,1,1,0,
"SK55",0,0,0,0,0,1,0,
"SK63",0,0,0,0,1,1,0,
"SK67",0,0,0,0,0,1,0,
"SK73",0,0,0,0,0,1,0,
"SK85",0,0,0,1,0,1,0,
"SO89",0,0,0,0,0,1,0,
"SO94",0,0,0,0,0,0,1,
"SO98",0,0,0,0,0,1,0,
"SP08",0,0,0,0,0,0,1,
"SP19",0,0,0,0,0,0,1,
"SP44",1,0,0,0,0,0,0,
"SP50",0,0,0,1,1,0,1,
"SP72",0,0,0,0,1,0,0,
"SP97",0,0,0,0,0,0,1,
"ST08",0,0,0,0,0,0,1,
"ST12",0,0,0,0,1,0,0,
"ST30",0,0,0,0,1,0,0,
"ST51",0,0,0,0,0,1,1,
"SU06",0,0,0,0,0,0,1,
"SU39",0,0,0,0,0,0,1,
"SU46",0,0,0,0,0,0,1,
"SU57",0,0,0,0,0,0,1,
"SU67",0,0,0,0,0,0,1,
"SU76",0,0,0,0,1,0,1,
"SU77",0,0,0,0,1,0,1,
"SU82",0,0,0,0,0,0,1,
"SU84",0,0,0,0,0,0,1,
"SU86",0,0,0,0,0,0,1,
"SU87",0,0,0,0,1,0,0,
"SU89",0,0,0,0,0,1,0,
"SU94",0,0,0,0,0,0,1,
"SU96",0,0,0,0,0,0,1,
"SU97",0,0,0,0,1,0,1,
"SY49",0,0,0,1,1,0,0,
"SZ68",0,0,0,0,0,0,1,
"SZ69",0,0,0,0,0,0,1,
"TA08",0,0,0,0,0,0,1,
"TF24",0,0,0,0,0,0,1,
"TG00",0,0,0,1,1,0,0,
"TL00",0,0,0,0,0,0,1,
"TL23",0,0,0,0,0,1,0,
"TL31",1,0,0,0,0,0,0,
"TL36",0,0,0,0,0,1,1,
"TL37",0,0,0,0,0,1,0,
"TL45",0,0,0,0,0,1,1,
"TL46",0,0,0,0,1,1,0,
"TL55",0,0,0,0,0,0,1,
"TL66",0,0,0,0,0,0,1,
"TL67",0,0,0,0,1,0,0,
"TL77",0,0,0,0,0,1,0,
"TL85",0,0,0,0,0,0,1,
"TL98",0,0,0,1,1,0,0,
"TM59",0,0,0,0,0,0,1,
"TQ05",0,0,0,1,0,0,0,
"TQ06",0,0,0,0,0,0,1,
"TQ07",0,0,0,0,0,0,1,
"TQ08",0,0,0,0,0,0,1,
"TQ09",0,0,0,0,0,0,1,
"TQ15",0,0,0,0,1,0,0,
"TQ16",0,0,0,0,0,0,1,
"TQ17",0,0,0,0,0,0,1,
"TQ18",0,0,0,0,0,0,1,
"TQ19",0,0,0,0,0,0,1,
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,1,0,1,
"TQ28",0,0,0,0,0,0,1,
"TQ29",0,0,0,0,0,0,1,
"TQ36",0,0,0,0,0,0,1,
"TQ37",0,0,0,0,0,1,1,
"TQ38",0,0,0,0,0,0,1,
"TQ39",0,0,0,0,0,0,1,
"TQ46",0,0,0,0,0,0,1,
"TQ47",0,0,0,0,0,0,1,
"TQ48",0,0,0,0,0,0,1,
"TQ55",0,0,0,0,0,0,1,
"TQ56",0,0,0,0,0,0,1,
"TQ57",0,0,0,0,0,0,1,
"TQ58",0,0,0,0,0,0,1,
"TQ60",0,0,0,0,0,1,1,
"TV69",0,0,0,0,0,1,0,
