"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B70",1,0,0,0,0,0,0,"n"
"C03",0,0,0,0,1,0,0,"n"
"C41",1,0,0,0,0,0,0,"n"
"C73",0,0,1,0,1,0,0,"n"
"C83",1,0,1,0,0,0,0,"n"
"C93",0,0,0,1,0,0,0,"n"
"C94",1,0,0,0,0,0,0,"n"
"D04",0,0,0,0,0,0,1,"n"
"D31",0,0,0,1,0,0,0,"n"
"D40",1,0,0,0,0,0,0,"n"
"F51",1,0,0,0,0,0,0,"n"
"F52",1,0,0,0,0,0,0,"n"
"F62",1,0,0,0,0,0,0,"n"
"F63",1,0,0,0,0,0,0,"n"
"G10",0,0,0,0,0,0,1,"n"
"G11",0,0,1,0,0,0,0,"n"
"G20",0,0,0,0,1,0,1,"n"
"G69",0,0,1,0,0,0,0,"n"
"G90",0,0,0,0,0,0,1,"n"
"G95",0,0,0,1,1,1,1,"n"
"G96",0,0,0,0,1,0,0,"n"
"H00",0,0,0,0,0,1,0,"n"
"H03",0,0,0,0,0,0,1,"n"
"H04",0,0,0,0,0,0,1,"n"
"H05",1,0,0,0,0,0,0,"n"
"H13",0,0,0,0,0,0,1,"n"
"H14",0,0,1,0,0,0,0,"n"
"H15",1,0,0,1,0,0,0,"n"
"H22",1,0,1,0,0,0,0,"n"
"H24",0,0,0,0,0,1,1,"n"
"H32",0,0,0,1,1,0,1,"n"
"H33",0,0,0,0,1,0,0,"n"
"H88",1,0,0,0,0,0,0,"n"
"H95",1,0,0,0,0,0,0,"n"
"H97",0,1,0,0,0,0,0,"n"
"H98",0,0,0,1,0,0,0,"n"
"H99",1,0,0,1,0,0,0,"n"
"J05",1,0,0,0,0,0,0,"n"
"J07",1,0,0,0,0,0,0,"n"
"J17",1,0,0,0,0,0,0,"n"
"J28",1,0,0,0,0,0,0,"n"
"J29",1,0,0,0,0,0,0,"n"
"J49",0,0,0,0,0,1,0,"n"
"J54",0,1,0,1,0,0,1,"n"
"J64",1,1,0,0,1,1,0,"n"
"L71",0,0,0,0,1,0,0,"n"
"L80",1,0,1,0,0,0,1,"n"
"L81",1,0,0,0,0,0,0,"n"
"L83",0,0,1,0,0,0,0,"n"
"L87",0,0,1,0,0,0,0,"n"
"L90",1,0,0,0,1,0,0,"n"
"L95",0,0,0,0,0,0,1,"n"
"M00",1,0,1,0,1,0,0,"n"
"M06",1,0,1,0,0,0,1,"n"
"M07",0,0,1,0,0,0,0,"n"
"M08",0,0,1,0,1,0,0,"n"
"M10",1,0,1,0,0,1,0,"n"
"M11",1,0,0,0,0,0,0,"n"
"M14",0,0,0,0,0,0,1,"n"
"M15",0,0,0,0,0,1,1,"n"
"M16",1,0,1,0,1,0,1,"n"
"M17",0,0,1,0,1,1,0,"n"
"M18",1,0,1,0,0,0,0,"n"
"M19",0,0,1,0,0,0,0,"n"
"M20",0,0,0,0,0,1,1,"n"
"M21",0,0,1,0,0,0,0,"n"
"M22",0,0,0,0,0,0,1,"n"
"M23",1,0,0,0,0,0,1,"n"
"M24",1,0,1,0,1,1,0,"n"
"M25",0,0,0,0,1,0,0,"n"
"M26",0,0,0,0,1,0,1,"n"
"M27",1,0,0,0,1,0,0,"n"
"M28",1,0,1,0,0,0,0,"n"
"M29",1,0,0,0,0,0,0,"n"
"M30",1,0,1,0,0,1,1,"n"
"M31",1,0,1,0,1,0,1,"n"
"M32",0,0,0,0,1,0,0,"n"
"M34",1,0,1,0,0,0,0,"n"
"M35",0,0,0,0,1,0,0,"n"
"M36",0,0,0,0,0,0,1,"n"
"M38",1,0,0,0,0,0,0,"n"
"M40",1,0,0,1,1,1,1,"n"
"M41",1,0,0,0,1,0,1,"n"
"M43",0,0,1,0,0,0,0,"n"
"M44",1,0,1,0,0,0,0,"n"
"M47",0,0,1,0,0,0,0,"n"
"M50",0,0,0,0,1,0,0,"n"
"M52",1,0,1,0,0,0,0,"n"
"M53",0,0,0,0,1,0,0,"n"
"M56",0,0,0,0,1,0,0,"n"
"M57",1,0,0,0,1,0,0,"n"
"M69",0,0,0,0,1,0,0,"n"
"M73",1,0,0,0,0,0,0,"n"
"M77",0,0,0,0,1,0,0,"n"
"M80",1,0,0,0,1,0,1,"n"
"M81",0,0,0,0,0,0,1,"n"
"M82",0,0,0,0,0,0,1,"n"
"M90",0,0,0,0,1,0,1,"n"
"M91",0,0,0,0,0,0,1,"n"
"N00",0,0,0,0,1,0,1,"n"
"N01",0,0,0,0,0,0,1,"n"
"N10",0,0,0,0,0,0,1,"n"
"N12",0,0,0,0,0,0,1,"n"
"N23",0,0,0,0,0,0,1,"n"
"N32",1,0,0,0,0,0,1,"n"
"N33",0,0,0,0,1,0,0,"n"
"N43",0,0,0,0,1,0,0,"n"
"N45",1,0,1,0,0,0,0,"n"
