"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B70",0,0,0,0,0,0,1,"n"
"B71",0,0,0,0,1,0,0,"n"
"C03",1,0,0,0,0,0,0,"n"
"C13",0,0,0,0,1,0,0,"n"
"C31",1,0,0,0,1,0,0,"n"
"C32",0,0,0,0,1,1,1,"n"
"C44",1,0,0,0,0,0,0,"n"
"C62",0,0,0,0,1,1,0,"n"
"C73",1,1,0,1,0,0,0,"n"
"C83",1,1,0,0,0,0,0,"n"
"D40",0,0,0,0,1,1,0,"n"
"F62",0,0,0,0,0,0,1,"n"
"F63",0,0,0,0,0,0,1,"n"
"F70",1,0,0,0,0,0,0,"n"
"F73",1,0,0,0,0,0,0,"n"
"G53",0,0,0,0,1,1,1,"n"
"G62",1,0,0,0,1,1,1,"n"
"G63",1,0,0,0,0,0,1,"n"
"G86",1,0,0,0,0,0,1,"n"
"HP50",1,1,0,0,1,0,1,"n"
"HP60",0,0,0,0,1,0,0,"n"
"HU25",0,0,0,1,0,0,0,"n"
"HU27",0,0,0,0,0,1,0,"n"
"HU34",1,0,0,1,0,0,0,"n"
"HU35",0,0,1,0,1,1,1,"n"
"HU37",0,0,0,0,0,1,0,"n"
"HU38",1,0,1,1,0,0,1,"n"
"HU43",0,0,1,1,0,0,0,"n"
"HU44",0,0,1,0,1,1,0,"n"
"HU45",0,0,1,1,0,1,0,"n"
"HU55",0,0,0,1,0,0,0,"n"
"HU56",0,0,0,1,0,0,0,"n"
"HU59",0,0,0,1,1,0,0,"n"
"HY21",0,0,1,0,0,0,0,"n"
"HY30",1,0,0,1,0,0,1,"n"
"HY31",1,0,0,0,0,0,0,"n"
"HY40",0,0,1,1,1,0,1,"n"
"HY41",1,0,1,1,1,0,1,"n"
"HY43",0,0,0,0,1,0,1,"n"
"HY45",0,0,0,1,0,0,1,"n"
"HY50",1,0,1,1,1,0,1,"n"
"HY53",0,0,0,1,0,0,0,"n"
"HY62",1,0,1,1,0,0,0,"n"
"HY63",0,0,0,1,1,0,1,"n"
"HY64",1,0,0,1,0,0,1,"n"
"HY74",0,0,1,1,1,0,1,"n"
"J02",0,0,0,0,0,1,0,"n"
"J21",1,0,0,0,0,0,0,"n"
"J37",0,0,0,0,1,0,0,"n"
"J46",0,0,0,0,1,1,0,"n"
"J53",0,0,0,0,1,1,0,"n"
"J56",0,0,0,1,1,1,0,"n"
"J57",1,0,0,0,0,0,0,"n"
"J64",0,0,0,0,0,1,0,"n"
"J65",1,1,0,0,0,0,0,"n"
"J66",0,0,0,0,0,0,1,"n"
"L54",0,0,1,1,0,0,0,"n"
"L56",0,0,1,0,1,1,0,"n"
"L64",1,0,1,0,1,0,0,"n"
"L65",1,0,0,0,0,0,1,"n"
"L73",0,0,0,1,0,0,0,"n"
"L76",0,0,0,0,1,0,1,"n"
"L77",0,0,0,1,1,0,0,"n"
"L80",0,0,0,1,0,0,1,"n"
"L81",0,0,0,0,0,0,1,"n"
