"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C22",1,0,0,0,0,0,0,"a"
"C31",1,0,0,0,0,0,0,"a"
"C40",0,0,0,0,0,1,0,
"C62",1,0,0,0,0,0,0,"a"
"C71",0,0,0,0,0,1,0,
"C72",0,0,0,0,1,0,0,"a"
"C83",0,0,0,0,1,0,0,"a"
"C90",0,0,0,0,1,1,0,
"C91",0,0,0,0,1,0,0,"a"
"D31",0,0,0,0,1,0,0,"a"
"G33",0,0,0,0,1,0,0,"a"
"G64",0,0,0,0,0,0,1,
"G71",0,0,0,0,0,1,0,
"H07",0,0,0,0,1,0,0,"a"
"H12",1,0,0,0,1,0,0,"a"
"H22",0,0,0,0,1,0,0,"a"
"H28",0,0,0,0,1,0,0,"a"
"H29",0,0,0,0,1,0,0,"a"
"H35",0,0,0,0,0,1,0,
"H39",0,0,0,0,1,0,0,"a"
"H40",1,0,0,0,0,0,0,"a"
"H46",0,0,0,0,0,0,1,
"H47",1,0,0,0,0,1,0,"a"
"H48",0,0,0,0,1,0,0,"a"
"H49",0,0,0,0,0,1,0,
"H56",0,0,0,1,0,0,0,"a"
"H65",0,0,0,0,1,0,1,"a"
"H72",0,0,0,0,1,1,0,"a"
"H74",0,0,0,0,1,0,1,"a"
"H76",0,0,0,0,1,0,0,"a"
"H78",0,0,0,0,1,0,1,"a"
"H79",0,0,0,1,1,0,0,"a"
"H82",0,0,0,0,0,0,1,
"H85",1,0,1,1,1,1,1,"a"
"H87",0,0,0,0,1,1,1,"a"
"H89",0,0,0,0,1,0,0,"a"
"H94",0,0,0,1,0,0,0,
"H95",1,0,0,0,0,0,1,"a"
"H96",0,0,0,0,0,1,0,
"H97",1,1,0,0,0,0,0,"a"
"H99",0,0,0,0,1,1,1,"a"
"HU43",0,0,0,0,0,0,1,
"HU44",0,0,0,0,0,0,1,
"J01",0,0,0,0,0,0,1,
"J03",0,0,0,1,1,0,0,"a"
"J04",0,0,0,1,0,1,0,
"J07",1,0,0,0,0,0,0,"a"
"J08",1,0,1,1,0,0,0,"a"
"J11",0,0,0,0,0,1,1,
"J16",1,0,0,0,0,0,0,"a"
"J17",0,0,0,0,1,0,0,"a"
"J18",1,0,0,1,1,0,0,"a"
"J21",1,0,0,1,0,0,1,"a"
"J28",0,0,0,0,1,0,0,"a"
"J33",0,0,0,0,0,0,1,
"J35",0,0,0,0,0,0,1,
"J36",1,0,0,0,0,0,1,"a"
"J37",1,0,0,0,1,0,1,"a"
"J38",0,0,0,0,1,1,0,"a"
"J39",0,0,0,0,1,0,0,"a"
"J48",1,0,0,0,1,0,0,"a"
"J49",1,0,0,0,1,0,0,"a"
"J54",0,0,0,1,0,1,0,"a"
"J56",1,0,0,0,0,0,0,"a"
"J57",0,0,0,0,0,0,1,
"J65",0,0,0,0,0,0,1,
"M55",0,0,0,0,0,0,1,
"N96",0,0,0,0,0,0,1,
"N98",1,0,1,0,0,0,0,"a"
"NC50",0,0,0,0,0,0,1,
"NC51",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"ND16",0,0,0,0,0,0,1,
"NG72",0,0,0,0,0,0,1,
"NG82",0,0,0,0,0,0,1,
"NG83",0,0,0,1,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NG92",0,0,0,0,0,0,1,
"NH30",0,0,0,1,0,0,1,"a"
"NH45",0,0,0,0,1,0,0,
"NH46",0,0,0,0,1,0,0,
"NH59",0,0,0,0,0,0,1,
"NH68",0,0,0,0,0,0,1,
"NH69",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NH79",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NH95",0,0,0,0,1,0,0,"a"
"NJ06",0,0,0,0,1,0,0,"a"
"NJ16",0,0,0,0,1,0,0,"a"
"NJ26",1,0,0,0,1,0,0,"a"
"NJ36",0,0,0,0,1,1,1,"a"
"NJ50",0,0,0,0,1,0,0,"a"
"NJ54",0,0,0,0,1,0,0,"a"
"NJ61",0,0,0,0,1,0,0,"a"
"NJ62",0,0,0,0,1,0,0,"a"
"NM43",0,0,0,0,0,0,1,
"NM81",0,0,0,0,1,0,0,"a"
"NM93",0,0,0,0,1,0,0,"a"
"NN07",0,0,0,0,0,0,1,
"NN31",0,0,0,0,1,0,0,"a"
"NN95",0,0,0,0,1,0,1,"a"
"NO12",0,0,0,1,1,0,0,"a"
"NO19",0,0,0,0,0,0,1,
"NO21",1,1,0,0,0,0,0,"a"
"NO30",1,1,0,0,0,0,0,"a"
"NO32",1,1,0,0,0,0,0,"a"
"NO33",0,0,0,0,1,0,0,"a"
"NO35",0,0,0,0,0,1,0,
