"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C44",0,0,0,0,0,1,0,"n"
"C80",0,0,0,0,0,0,1,"n"
"C83",1,1,0,0,0,0,0,"n"
"C90",1,0,0,0,0,0,0,"n"
"C91",1,0,0,0,0,0,1,"n"
"C94",0,0,0,0,0,1,1,"n"
"D00",0,0,0,0,0,0,1,
"D10",0,0,0,0,0,1,0,
"D21",0,0,0,1,1,1,1,"n"
"D22",0,0,0,0,0,1,1,"n"
"G10",0,0,0,1,1,1,1,"n"
"G11",0,0,0,0,1,1,1,"n"
"G20",0,0,0,0,1,1,1,"n"
"G21",0,0,0,0,0,1,0,"n"
"G91",0,0,0,0,0,1,1,"n"
"G92",0,0,0,0,0,1,1,"n"
"H18",0,0,0,0,0,1,0,"n"
"H19",0,0,0,0,1,1,0,"n"
"H23",0,0,0,1,1,1,0,"n"
"H96",1,0,0,1,0,0,0,"n"
"H97",1,1,0,1,0,1,1,"n"
"H98",0,1,1,0,0,0,0,"n"
"H99",1,1,1,1,1,1,1,"n"
"J05",1,0,0,1,0,0,0,"n"
"J06",1,1,1,1,1,0,0,"n"
"J08",1,1,1,1,0,1,0,"n"
"J16",0,1,0,0,0,0,1,"n"
"J17",0,0,0,1,0,0,0,"n"
"J18",1,0,0,1,0,0,0,"n"
"J22",0,0,0,0,0,1,0,"n"
"J23",0,0,0,0,1,0,0,"n"
"J32",0,0,0,1,0,0,0,"n"
"L95",0,0,0,0,0,1,0,"n"
"M04",0,0,1,0,0,1,1,"n"
"M05",0,0,1,1,1,1,1,"n"
"M06",0,0,0,0,1,1,1,"n"
"M14",0,0,0,1,1,1,1,"n"
"M15",1,0,1,0,1,0,0,"n"
"M16",0,0,0,0,1,0,0,
"M19",0,0,0,0,0,0,1,
"NF70",0,0,1,1,1,1,0,"n"
"NF71",0,0,0,0,1,0,0,"n"
"NF72",0,0,0,0,1,0,0,"n"
"NF74",0,0,0,0,0,1,0,"n"
"NF75",0,0,0,1,1,1,1,"n"
"NF84",0,0,0,0,0,1,0,"n"
"NF85",0,0,0,1,1,1,1,"n"
"NL69",0,0,0,1,1,0,0,"n"
"NL79",0,0,0,0,1,0,0,"n"
"NL94",0,0,0,0,0,1,1,"n"
"NM04",0,0,0,0,0,1,1,"n"
"NM15",1,1,1,1,1,1,1,"n"
"NM16",0,0,0,0,1,1,1,"n"
"NM25",0,1,1,1,1,0,1,"n"
"NM26",0,1,0,0,1,1,0,"n"
"NM35",0,0,0,0,1,1,0,"n"
"NM46",0,0,0,0,0,0,1,"n"
"NM49",0,0,0,0,0,0,1,"n"
"NM53",0,0,0,0,0,1,0,"n"
"NM55",0,0,1,1,1,0,0,"n"
"NM64",0,0,0,0,0,0,1,"n"
"NM66",0,0,1,1,1,1,0,"n"
"NM67",0,0,1,1,1,0,0,"n"
"NM75",0,0,0,1,0,0,0,"n"
"NM87",0,0,0,1,0,0,0,"n"
"NN07",0,0,0,0,0,1,1,"n"
"NR26",0,0,0,1,0,1,0,"n"
"NR38",0,0,0,0,0,0,1,"n"
"NR39",0,1,1,1,1,1,1,"n"
"NR49",0,1,0,0,1,1,1,"n"
"NR72",0,0,0,0,0,1,1,"n"
"NR76",0,0,1,0,0,0,0,"n"
"NX28",0,0,0,0,0,1,0,"n"
"NX35",0,0,0,0,0,1,0,"n"
"NX45",0,0,0,0,0,0,1,"n"
"SN69",0,0,0,0,0,0,1,
"SX57",0,0,1,1,1,0,0,"n"
"V48",0,1,0,0,0,0,0,"n"
"V55",1,1,0,0,0,0,0,"n"
"V56",1,0,0,0,0,0,0,"n"
"V58",1,0,1,0,0,0,0,"n"
"V64",1,1,0,0,0,0,0,"n"
"V66",0,0,0,1,0,0,0,"n"
"V67",1,1,0,0,0,0,0,"n"
"V69",0,0,0,1,0,0,0,"n"
"V75",1,1,0,0,0,0,0,"n"
"V76",0,0,0,0,0,0,1,"n"
"V77",1,0,1,0,0,0,0,"n"
"V79",0,0,1,1,0,0,0,"n"
"V95",0,0,1,0,1,1,0,"n"
"V97",0,0,0,1,1,0,0,"n"
"W06",0,0,1,0,0,0,0,"n"
"W13",0,0,0,0,0,1,0,
"W25",1,0,0,0,0,0,0,"n"
"W35",1,0,0,0,0,0,0,"n"
"W43",1,0,0,0,0,0,0,"n"
"W44",1,0,0,0,0,0,0,
