"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B70",0,0,0,0,1,0,0,"n"
"B71",0,0,0,0,1,0,0,"n"
"B72",0,0,0,0,1,0,0,"n"
"B80",0,0,0,0,1,0,0,"n"
"C81",0,1,0,0,0,0,0,"n"
"C91",1,0,0,0,0,0,0,"n"
"G69",0,0,0,0,1,0,0,"n"
"G96",0,0,1,0,0,0,0,"n"
"G97",0,0,0,0,0,0,1,
"H16",0,0,0,1,0,0,1,"n"
"H27",0,0,0,0,1,0,0,"n"
"H32",0,0,0,0,0,0,1,"n"
"H42",0,1,0,1,0,1,0,"n"
"H43",0,1,0,0,0,0,0,"n"
"H53",0,0,0,0,0,1,0,"n"
"H54",0,0,0,0,0,1,0,
"H62",0,0,0,0,1,0,0,"n"
"H63",0,0,0,1,0,0,0,
"H73",0,0,0,0,1,0,0,"n"
"H76",0,0,0,1,0,0,0,"n"
"H84",0,0,0,1,0,0,0,"n"
"H85",0,0,0,0,0,1,0,
"H91",0,0,0,0,0,1,1,"n"
"H97",1,1,0,0,0,0,0,"n"
"H98",0,0,0,1,0,0,0,"n"
"HY43",0,0,0,0,0,0,1,"n"
"J05",0,0,0,1,0,0,0,"n"
"J06",0,1,0,0,1,0,1,"n"
"J16",1,0,0,0,0,0,0,"n"
"J18",0,0,0,1,0,0,0,"n"
"J19",0,0,0,1,0,0,0,"n"
"J33",0,0,0,1,0,0,0,"n"
"J46",1,0,0,0,0,0,0,"n"
"J55",0,0,0,1,0,0,0,"n"
"L57",0,0,0,0,0,0,1,
"L75",0,0,0,1,0,0,0,"n"
"L76",0,0,0,1,0,0,0,"n"
"L84",0,0,0,0,0,0,1,
"L94",0,0,0,0,0,0,1,
"M14",0,0,0,0,0,1,0,
"M23",0,0,0,0,0,0,1,"n"
"M58",0,0,0,0,0,0,1,"n"
"M69",0,0,0,0,0,0,1,"n"
"M80",0,0,0,0,0,0,1,"n"
"M98",0,0,0,0,1,0,0,"n"
"N06",0,0,0,0,0,0,1,"n"
"N09",0,0,0,0,1,0,0,"n"
"N21",0,0,0,0,0,0,1,"n"
"N25",0,0,0,0,1,0,0,"n"
"N50",0,0,0,0,0,0,1,
"N51",0,0,0,0,0,0,1,"n"
"N58",1,0,0,0,0,0,0,"n"
"NA91",0,0,0,0,1,0,0,"n"
"NA92",0,0,0,0,1,0,0,"n"
"NB02",0,1,0,0,0,0,0,"n"
"NB11",0,0,0,0,1,0,0,"n"
"NB21",0,0,0,0,1,0,0,"n"
"NB22",0,0,0,0,1,0,0,"n"
"NB23",0,0,0,0,1,0,0,"n"
"NB24",0,0,0,0,1,0,0,"n"
"NB31",0,0,0,1,1,0,0,"n"
"NB32",0,0,0,0,1,0,0,"n"
"NB34",0,0,0,0,1,0,0,"n"
"NB41",0,0,0,0,1,0,0,"n"
"NB53",0,0,1,0,0,0,0,"n"
"NB54",0,0,0,0,1,0,0,"n"
"NB55",0,0,0,0,0,1,0,"n"
"NC00",0,0,0,0,1,0,0,"n"
"NC01",0,0,0,0,1,0,0,"n"
"NC10",0,0,0,0,1,0,0,"n"
"NC12",0,0,0,0,1,0,0,"n"
"NC20",0,0,0,0,1,0,0,"n"
"NC21",0,0,0,0,1,0,0,"n"
"NC24",0,0,0,0,1,0,0,"n"
"NC36",0,0,0,0,1,0,0,"n"
"ND14",0,0,0,1,1,0,0,"n"
"NF60",0,0,0,1,1,0,0,"n"
"NF67",0,0,0,0,1,1,0,"n"
"NF70",0,0,0,0,1,0,0,"n"
"NF72",0,1,0,0,1,0,0,"n"
"NF73",0,0,0,0,1,0,0,"n"
"NF76",0,0,0,0,1,0,0,"n"
"NF77",0,0,0,0,1,0,0,"n"
"NF81",0,0,0,0,1,0,0,"n"
"NF85",0,0,0,0,1,0,0,"n"
"NF87",0,0,0,0,1,0,0,"n"
"NF96",1,0,0,0,1,0,0,"n"
"NF97",0,0,0,0,1,0,0,"n"
"NF99",0,0,0,0,1,0,0,"n"
"NG08",0,0,0,1,1,0,0,"n"
"NG09",0,0,0,0,1,0,0,"n"
"NG19",0,0,0,1,1,0,0,"n"
"NG29",0,0,0,0,1,0,0,"n"
"NG30",0,0,1,0,0,0,0,"n"
"NG33",0,0,0,1,1,0,0,"n"
"NG34",0,0,0,0,1,0,0,"n"
"NG35",0,0,0,1,0,0,0,"n"
"NG42",0,0,0,0,1,0,0,"n"
"NG43",0,0,0,0,1,0,0,"n"
"NG44",0,0,0,0,1,0,0,"n"
"NG45",0,0,0,1,1,0,0,"n"
"NG46",0,0,0,1,0,0,0,"n"
"NG50",0,0,0,0,1,0,0,"n"
"NG52",0,0,0,1,0,0,0,"n"
"NG53",0,0,0,1,0,0,0,"n"
"NG54",0,0,0,0,1,0,0,"n"
"NG61",0,0,0,1,1,0,0,"n"
"NG62",0,0,0,1,0,0,0,"n"
"NG71",0,0,0,0,1,0,0,"n"
"NG75",0,0,0,0,1,0,0,"n"
"NG87",0,0,0,0,1,0,0,"n"
"NG91",0,0,0,0,1,0,0,"n"
"NG92",0,0,0,0,1,0,0,"n"
"NG95",0,0,0,0,1,0,0,"n"
"NH02",0,0,0,0,1,0,0,"n"
"NH12",0,0,1,0,1,0,0,"n"
"NH18",0,0,0,0,1,0,0,"n"
"NH19",0,0,0,0,1,0,0,"n"
"NH22",0,0,0,0,1,0,0,"n"
"NH23",0,0,0,0,1,0,0,"n"
"NH29",0,0,0,0,1,0,0,"n"
"NH33",0,0,0,0,1,0,0,"n"
"NH41",0,0,0,0,1,0,0,"n"
"NH43",0,0,0,0,1,0,0,"n"
"NH80",0,0,0,0,1,0,0,"n"
"NH91",0,0,0,1,1,0,0,"n"
"NH94",0,0,0,1,0,0,0,"n"
"NH95",1,0,1,1,1,0,1,"n"
"NH96",0,0,0,0,1,0,1,"n"
"NJ06",1,0,0,0,0,0,0,
"NJ26",1,0,0,0,0,0,0,"n"
"NJ36",0,0,0,0,0,0,1,
"NJ40",0,0,0,0,0,0,1,
"NJ54",0,0,0,0,0,0,1,"n"
"NJ91",0,0,0,0,0,1,0,"n"
"NL69",0,0,0,0,1,0,0,"n"
"NM39",0,0,1,0,0,0,0,"n"
"NM47",0,1,0,1,0,0,0,"n"
"NM56",0,0,0,0,0,1,0,"n"
"NM66",0,0,1,0,1,0,0,"n"
"NM74",0,0,0,0,1,0,0,"n"
"NM76",0,0,0,1,0,0,0,"n"
"NM80",0,0,0,0,1,0,0,"n"
"NM83",0,0,0,0,1,0,0,"n"
"NM90",0,0,0,0,1,0,0,"n"
"NM91",0,0,0,0,1,0,0,"n"
"NM93",0,0,0,0,1,0,0,"n"
"NN02",0,0,0,0,1,0,0,"n"
"NN14",0,0,0,0,1,0,0,"n"
"NN15",0,0,0,0,0,0,1,
"NN21",1,0,0,0,0,0,0,"n"
"NN48",0,0,0,0,0,0,1,
"NN51",0,0,0,0,1,0,1,"n"
"NN52",0,0,0,0,1,0,0,"n"
"NN96",0,1,1,0,0,0,0,"n"
"NO18",0,0,0,0,0,0,1,"n"
"NO35",0,0,0,0,1,0,1,"n"
"NO47",0,0,0,0,0,0,1,
"NO55",0,0,0,0,0,1,1,"n"
"NR26",0,0,0,1,0,0,0,"n"
"NR39",1,0,0,0,0,0,0,"n"
"NR78",0,0,0,0,1,0,0,"n"
"NR89",0,0,0,0,1,0,0,"n"
"NS36",0,0,1,0,0,0,0,"n"
"NT31",0,0,0,0,0,1,0,"n"
"NT41",0,0,0,0,1,1,0,"n"
"NT52",0,0,0,0,1,0,0,"n"
"NX85",0,0,0,0,0,1,0,
"NY14",0,0,0,1,0,0,0,"n"
"NY21",0,0,0,1,0,0,0,"n"
"NY22",0,0,0,1,0,0,0,"n"
"NY25",0,0,0,1,0,0,0,"n"
"NY30",0,0,0,1,0,0,0,
"NY31",0,0,0,1,0,1,0,"n"
"NY50",0,0,0,1,0,0,0,"n"
"NY60",0,0,0,1,0,0,0,"n"
"O14",1,0,0,0,0,0,0,"n"
"O23",1,1,0,0,0,0,0,"n"
"Q30",0,0,0,0,1,0,0,"n"
"Q51",0,0,0,1,0,0,0,"n"
"Q61",0,0,0,0,1,0,0,"n"
"Q81",1,0,0,0,0,0,0,"n"
"Q82",1,0,0,0,0,0,0,"n"
"Q83",1,0,0,0,0,0,0,"n"
"Q92",1,0,0,0,0,0,0,"n"
"R29",0,0,0,1,0,0,0,"n"
"R38",0,0,0,0,0,1,0,
"R39",0,0,1,0,0,1,0,"n"
"R45",0,0,0,0,0,0,1,
"R47",0,0,0,0,0,1,0,
"R57",0,0,0,0,0,1,0,
"R58",0,0,0,0,0,1,0,
"R68",0,0,0,0,1,0,0,"n"
"R89",0,0,0,0,1,0,0,"n"
"S20",0,0,0,1,0,0,0,"n"
"S60",0,0,0,0,1,0,1,"n"
"S70",0,0,0,1,0,0,0,
"S77",0,0,1,0,0,0,0,"n"
"SC39",0,0,0,0,0,0,1,"n"
"SD18",0,0,0,0,1,0,0,
"SD19",0,0,0,1,0,0,0,"n"
"SD28",0,0,0,1,1,0,0,"n"
"SD38",0,0,0,1,1,1,0,"n"
"SD39",0,0,0,1,1,1,0,"n"
"SD41",0,1,0,0,1,0,0,"n"
"SD47",1,0,0,0,0,1,1,"n"
"SD49",0,0,0,1,1,1,0,"n"
"SD59",0,0,0,1,1,0,0,"n"
"SD68",0,0,0,0,0,1,1,"n"
"SD69",0,0,0,1,0,0,0,"n"
"SD86",0,0,0,0,1,0,1,"n"
"SE66",0,0,0,0,1,0,0,"n"
"SE71",0,0,0,0,1,1,0,"n"
"SH23",1,0,0,0,0,0,0,"n"
"SH32",1,0,0,0,0,0,0,"n"
"SH33",1,0,0,1,0,0,0,"n"
"SH37",0,0,0,1,0,0,1,"n"
"SH38",0,0,0,1,0,0,0,"n"
"SH43",1,0,1,0,0,0,0,"n"
"SH44",0,0,0,0,0,1,0,"n"
"SH46",0,0,0,1,1,0,0,"n"
"SH47",0,0,0,1,0,1,1,"n"
"SH48",1,0,1,1,1,1,1,"n"
"SH53",1,1,1,0,0,1,0,"n"
"SH54",1,0,0,0,0,0,0,"n"
"SH55",1,0,0,0,0,0,0,"n"
"SH57",1,0,0,0,1,1,1,"n"
"SH58",1,0,0,1,0,1,0,"n"
"SH64",0,0,0,0,0,0,1,
"SH65",1,0,0,0,0,0,0,"n"
"SH66",0,0,0,1,1,0,0,"n"
"SH75",1,0,0,0,0,0,0,"n"
"SH87",0,0,1,0,0,0,0,"n"
"SJ07",1,0,0,0,0,0,0,"n"
"SJ38",1,0,0,0,0,0,0,"n"
"SJ45",1,0,0,0,0,0,0,"n"
"SJ58",1,0,0,0,0,0,0,"n"
"SJ64",1,0,0,0,0,0,0,"n"
"SJ65",1,0,1,0,0,0,0,"n"
"SJ68",1,0,0,0,0,0,0,"n"
"SJ78",1,0,0,0,0,0,0,"n"
"SJ79",1,0,0,0,0,0,0,"n"
"SJ89",0,0,1,0,0,0,0,
"SJ92",1,0,0,0,0,0,0,"n"
"SK20",0,0,1,0,1,0,1,"n"
"SK59",1,0,0,0,0,0,0,"n"
"SK69",0,0,0,0,0,0,1,"n"
"SN20",0,0,0,0,1,0,1,"n"
"SN30",0,0,0,0,1,0,0,"n"
"SN42",0,0,0,0,0,1,1,
"SN62",0,0,0,0,1,0,0,"n"
"SN65",0,0,0,1,1,0,0,"n"
"SN68",0,0,0,0,1,0,0,"n"
"SN69",1,0,0,0,1,1,1,"n"
"SO14",1,0,0,1,1,0,1,"n"
"SO24",0,0,0,0,0,0,1,
"SO34",1,0,0,0,1,1,1,"n"
"SO55",0,0,0,0,0,1,0,
"SO70",1,0,0,0,0,0,0,"n"
"SO74",0,0,0,0,0,0,1,"n"
"SP51",0,0,0,1,1,0,0,"n"
"SP84",0,0,0,0,0,0,1,"n"
"SP95",0,0,1,1,1,1,1,"n"
"SS58",1,1,0,1,1,1,1,"n"
"SS79",0,0,0,0,1,0,1,"n"
"ST01",0,0,0,0,1,0,0,"n"
"ST17",1,0,0,0,0,0,0,"n"
"ST33",0,0,0,0,1,0,0,"n"
"ST38",1,0,0,0,0,0,0,"n"
"ST43",0,0,1,1,1,0,1,"n"
"ST44",1,1,0,0,0,0,1,"n"
"ST47",1,0,0,0,0,0,1,"n"
"ST48",1,0,1,0,0,0,0,"n"
"ST91",0,1,0,0,0,0,0,
"SU00",0,0,0,1,0,1,0,
"SU10",0,0,0,1,1,1,0,"n"
"SU11",0,0,1,0,0,0,0,
"SU30",0,0,1,0,0,0,0,
"SU32",1,0,0,0,0,0,0,"n"
"SU41",0,0,1,1,1,1,0,"n"
"SU43",1,1,1,0,0,0,0,"n"
"SU49",1,0,0,0,0,0,0,"n"
"SU65",1,0,0,0,0,0,0,"n"
"SU73",0,0,1,1,1,1,1,"n"
"SU75",1,0,0,0,1,0,0,"n"
"SU77",1,0,0,0,0,0,0,"n"
"SU78",1,0,0,0,0,0,0,"n"
"SU80",1,0,0,0,0,0,0,"n"
"SU83",0,0,0,1,1,0,0,"n"
"SU85",1,1,1,1,1,1,1,"n"
"SU86",1,0,0,0,0,0,0,"n"
"SU95",0,0,0,0,1,1,1,"n"
"SU98",1,0,1,1,1,1,1,"n"
"SW32",1,0,0,0,0,0,0,"n"
"SW42",1,0,0,0,0,0,0,"n"
"SW53",1,1,0,0,0,0,0,"n"
"SW75",1,0,1,0,0,0,0,"n"
"SW86",1,0,0,0,0,0,0,
"SW95",0,0,0,0,1,0,0,"n"
"SW96",1,0,1,1,1,1,1,"n"
"SX05",1,0,0,0,0,0,0,"n"
"SX06",1,0,1,0,1,1,1,"n"
"SX78",0,0,0,0,0,0,1,
"SX87",1,1,1,1,1,1,1,"n"
"SY88",1,1,1,0,0,0,0,"n"
"SY98",1,1,1,1,1,1,1,"n"
"SY99",1,1,0,0,0,0,0,"n"
"SZ07",0,0,0,0,0,1,0,"a"
"SZ08",1,1,0,1,1,1,1,"n"
"SZ19",1,1,1,1,0,0,0,"n"
"SZ29",1,0,1,1,0,0,0,"n"
"SZ38",1,1,0,0,0,0,0,"n"
"SZ39",0,0,1,0,0,0,0,
"T01",0,0,0,0,0,0,1,
"T02",0,1,0,0,0,0,0,"n"
"T12",0,1,0,0,0,0,0,"n"
"TA08",0,0,0,0,0,0,1,"n"
"TF30",0,0,0,0,0,1,0,"n"
"TF61",0,0,0,1,1,0,0,"n"
"TG04",0,0,0,0,0,0,1,
"TG20",0,0,0,0,1,0,0,"n"
"TG31",0,0,0,0,0,0,1,"n"
"TG32",0,0,0,1,0,0,0,"n"
"TG40",0,0,0,0,1,0,0,"n"
"TG41",0,0,0,0,1,0,0,"n"
"TG50",0,0,0,0,1,0,0,"n"
"TL03",0,0,0,0,1,1,0,"n"
"TL25",1,0,0,0,0,0,0,"n"
"TL36",0,0,0,0,0,0,1,"n"
"TL45",0,0,0,0,0,0,1,"n"
"TL53",0,0,0,0,0,1,0,
"TL70",1,0,0,0,0,0,0,"n"
"TM07",0,0,0,0,0,0,1,"n"
"TM46",0,0,0,0,0,1,1,"n"
"TM47",1,0,0,0,0,0,0,"n"
"TM58",0,0,0,0,0,1,0,"n"
"TQ01",1,1,0,1,1,1,0,"n"
"TQ05",1,0,0,0,0,0,0,"n"
"TQ07",1,1,0,0,0,0,0,"n"
"TQ08",0,0,0,0,1,1,0,"n"
"TQ09",0,0,0,0,1,0,0,"n"
"TQ16",0,0,0,0,1,0,0,"n"
"TQ17",1,1,0,0,0,0,0,"n"
"TQ19",0,0,0,1,0,0,1,"n"
"TQ21",1,0,0,0,0,0,0,"n"
"TQ23",0,0,0,0,1,1,0,"a"
"TQ33",1,0,0,0,0,0,0,"n"
"TQ34",1,0,0,0,0,0,0,"n"
"TQ39",0,0,0,1,1,0,0,
"TQ40",0,0,0,0,1,1,1,"a"
"TQ41",1,0,0,0,0,0,1,"n"
"TQ42",1,0,0,0,1,0,0,"a"
"TQ43",1,0,0,0,0,0,0,"n"
"TQ48",0,0,0,0,1,0,0,"n"
"TQ49",1,0,0,1,1,1,1,"n"
"TQ51",0,0,0,0,0,1,0,"n"
"TQ53",0,1,0,1,0,0,0,"n"
"TQ54",1,0,0,0,0,0,1,"n"
"TQ60",0,0,0,0,0,1,0,"n"
"TQ61",0,0,0,0,0,1,0,"n"
"TQ64",0,0,0,0,0,0,1,"n"
"TQ66",0,0,0,0,1,1,0,"n"
"TQ67",0,0,0,0,0,1,0,"n"
"TQ68",0,0,0,0,0,0,1,"n"
"TQ70",0,0,0,0,0,1,0,"n"
"TQ71",0,0,0,0,0,1,0,"n"
"TQ76",0,0,0,0,1,0,0,"n"
"TQ81",0,0,0,0,1,0,0,"n"
"TQ82",0,0,0,0,1,1,0,"a"
"TQ91",0,0,0,0,1,1,1,"a"
"TQ92",1,0,0,1,0,1,1,"n"
"TQ93",0,0,0,1,1,1,1,"n"
"TR02",0,0,0,0,1,0,0,"n"
"TR03",0,0,0,0,0,1,0,"n"
"TR06",1,0,0,0,0,0,0,"n"
"TR13",0,0,0,0,0,1,1,"n"
"TR23",0,0,0,1,0,0,0,"n"
"TR26",0,0,0,0,0,1,0,"n"
"TR35",0,0,0,0,0,0,1,"n"
"TR36",0,0,0,0,1,0,0,"n"
"V55",0,0,1,0,0,0,0,"n"
"V99",1,0,0,0,0,0,1,"n"
"W02",0,1,0,0,0,0,0,"n"
"W07",1,0,0,0,0,0,0,"n"
"W25",0,0,1,0,0,0,0,"n"
