"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HU44",1,0,0,0,0,0,0,"a"
"NH64",0,0,0,1,0,0,0,"a"
"NH85",0,0,1,0,0,0,0,
"NJ24",0,0,1,0,0,0,0,
"NJ25",0,0,0,1,0,0,0,
"NJ26",0,0,1,1,0,0,0,
"NS66",1,0,0,0,0,0,0,"a"
"NT08",1,0,0,0,0,0,0,"a"
"NT18",0,0,1,0,0,0,0,"a"
"NT27",1,0,1,0,0,0,0,"a"
"NT29",0,0,1,0,0,0,0,"a"
"NT37",0,0,1,0,0,0,0,
"NZ26",0,0,0,1,0,0,0,"a"
"NZ31",0,0,0,1,0,0,0,"a"
"NZ34",0,0,0,1,0,0,0,"a"
"SC28",0,0,0,0,1,0,0,"a"
"SC49",1,0,1,0,0,0,0,"a"
"SD20",0,0,1,0,0,0,0,
"SD32",1,0,1,0,0,0,0,"a"
"SD33",1,0,1,0,0,0,0,"a"
"SD44",1,0,1,0,0,0,0,"a"
"SD60",0,0,1,0,0,0,0,
"SD80",0,0,1,0,0,0,0,
"SE13",0,0,0,1,1,0,0,"a"
"SE14",1,0,0,0,0,0,0,"a"
"SE77",0,0,0,0,0,0,1,
"SJ39",0,0,1,0,0,0,0,
"SJ69",0,0,1,0,0,0,0,
"SJ79",0,0,1,0,0,0,0,
"SJ84",0,0,0,1,1,0,0,"a"
"SJ90",0,0,0,0,1,0,0,"a"
"SJ96",0,0,0,0,1,0,0,"a"
"SK10",0,0,0,0,1,0,0,"a"
"SK11",0,0,0,0,1,0,0,"a"
"SK28",0,0,0,1,0,0,0,
"SK46",1,0,1,0,0,0,0,"a"
"SK53",0,0,1,0,0,0,0,
"SK85",0,0,1,0,0,0,0,
"SM84",0,0,0,1,0,0,0,"a"
"SO34",0,0,0,0,1,0,0,
"SO45",0,0,0,1,0,0,0,"a"
"SO81",0,0,0,1,0,0,0,
"SO83",1,0,0,0,0,0,0,"a"
"SO85",0,0,0,0,1,0,0,"a"
"SO88",0,0,0,1,0,0,0,"a"
"SO99",0,0,0,0,1,0,0,"a"
"SP00",0,0,0,1,0,0,0,
"SP40",1,0,0,1,0,0,0,"a"
"SP50",1,0,1,1,0,0,0,"a"
"SP81",0,0,1,0,0,0,0,
"SP92",0,0,0,1,0,0,0,"a"
"ST38",0,0,0,1,0,0,0,"a"
"ST40",1,0,0,0,0,0,0,"a"
"ST51",1,0,0,0,0,0,0,"a"
"ST61",1,0,1,0,0,0,0,"a"
"ST76",0,0,0,1,0,0,0,"a"
"ST97",0,0,0,1,0,0,0,"a"
"SU68",1,0,0,1,0,0,0,"a"
"SU78",1,0,0,1,0,0,0,"a"
"SU84",0,0,1,0,0,0,0,
"SU88",0,0,1,0,0,0,0,"a"
