"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"HU44",0,0,1,1,0,0,0,"a"
"HY31",1,0,0,0,0,0,0,"a"
"NC50",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC80",1,0,0,0,0,0,1,"a"
"NC83",1,0,0,0,0,0,1,"a"
"NC92",0,0,0,0,0,0,1,
"ND16",0,0,0,1,0,0,0,"a"
"NG88",0,0,0,0,0,0,1,
"NH30",0,0,0,0,0,0,1,
"NH44",0,0,0,1,0,0,0,
"NH45",0,0,0,0,0,0,1,
"NH54",0,0,0,1,0,0,0,"a"
"NH63",0,0,0,1,0,0,0,
"NH66",0,0,0,0,1,0,1,"a"
"NH68",0,0,0,1,0,0,0,"a"
"NH69",0,0,0,0,0,0,1,
"NH70",0,0,1,1,0,0,0,"a"
"NH78",0,0,0,0,0,0,1,
"NH80",0,0,0,1,0,0,1,"a"
"NH81",1,0,0,1,0,0,0,"a"
"NH82",1,0,0,1,0,1,0,"a"
"NH83",0,0,0,1,0,0,0,
"NH84",0,0,1,0,0,0,0,"a"
"NH91",0,0,0,0,1,0,0,"a"
"NH95",0,0,0,1,0,0,0,"a"
"NJ02",0,1,1,0,1,1,1,"a"
"NJ04",0,1,1,0,1,1,1,"a"
"NJ05",0,0,1,1,0,0,0,
"NJ13",1,0,1,0,0,1,0,"a"
"NJ14",0,0,0,0,1,0,1,"a"
"NJ15",1,0,1,0,0,0,0,"a"
"NJ20",0,0,0,0,0,0,1,
"NJ24",1,0,0,0,0,0,0,
"NJ32",1,0,0,0,0,0,0,
"NJ33",0,1,1,1,0,0,0,"a"
"NJ34",0,0,0,1,0,0,0,"a"
"NJ35",1,1,0,0,1,1,1,"a"
"NJ43",0,0,0,1,0,0,0,"a"
"NJ44",0,0,0,0,0,0,1,
"NJ46",0,0,1,1,0,0,0,"a"
"NJ52",0,0,0,0,1,0,1,"a"
"NJ54",1,0,0,0,0,0,0,
"NJ55",1,0,0,1,1,1,1,"a"
"NJ64",0,0,0,0,1,0,0,"a"
"NJ65",1,0,0,1,1,0,1,"a"
"NJ66",1,0,0,0,0,0,0,
"NJ71",0,0,0,0,0,1,0,
"NJ72",0,0,0,1,1,1,1,"a"
"NJ73",0,0,0,1,0,0,1,"a"
"NJ75",1,0,0,0,0,0,0,
"NJ80",0,0,0,0,0,0,1,
"NJ83",0,0,0,1,1,0,0,"a"
"NJ86",0,0,0,0,0,0,1,
"NJ92",0,0,0,0,1,0,0,"a"
"NJ93",0,0,0,0,1,1,1,"a"
"NJ94",0,0,0,0,0,1,0,
"NK03",1,0,0,0,1,0,1,"a"
"NK04",0,0,0,0,0,0,1,
"NM49",1,1,1,0,0,0,0,
"NN68",0,0,1,1,0,0,0,"a"
"NN79",0,0,0,0,0,0,1,
"NO03",0,0,0,0,0,1,0,
"NO15",0,0,0,0,0,1,0,
"NO16",0,0,0,0,1,1,1,"a"
"NO17",0,0,0,0,0,1,0,
"NO23",0,0,1,0,0,0,0,
"NO26",0,0,0,0,1,1,0,"a"
"NO35",0,0,0,0,1,0,0,"a"
"NS84",1,0,1,0,0,0,0,"a"
"NT03",1,0,0,1,1,0,0,"a"
"NT15",0,0,0,0,0,0,1,
"NT24",0,0,0,1,0,0,0,"a"
"NT35",0,0,1,0,1,0,1,"a"
"NT44",0,0,0,1,0,0,0,"a"
"NU11",0,0,0,1,1,0,0,"a"
"NX40",0,0,0,1,0,0,0,"a"
"NX59",0,0,0,0,0,0,1,
"NX97",1,0,0,0,0,0,0,"a"
"NY33",0,0,0,0,0,1,1,
"NY50",0,0,0,0,0,1,0,
"NY60",0,0,0,0,0,1,0,
"S61",0,0,0,0,0,1,0,
"SC48",0,0,0,1,0,0,0,"a"
"SD61",0,0,0,0,0,0,1,
"SD69",0,0,0,1,1,0,0,"a"
"SE13",0,0,0,1,0,0,0,
"SE27",0,0,0,1,0,0,0,
"SH57",0,0,0,0,0,1,0,
"SJ57",0,0,0,0,1,0,0,"a"
"SJ89",1,0,0,0,0,0,0,
"SK06",0,0,0,0,1,0,0,
"SK07",0,0,0,0,0,0,1,
"SK56",0,0,0,0,1,0,1,"a"
"SN22",0,0,0,0,1,0,0,"a"
"SO09",0,0,0,1,0,0,0,"a"
"SP08",1,0,0,0,0,0,0,
"ST21",0,0,0,0,1,0,0,"a"
"SU26",0,1,0,0,0,0,0,"a"
"SU39",0,0,0,0,0,0,1,
"SU48",0,0,0,0,0,0,1,
"SW43",1,0,1,1,0,0,0,"a"
"TF61",0,0,0,0,0,0,1,
"TL31",0,0,0,0,1,0,0,"a"
"TL32",0,0,0,0,1,0,0,"a"
"TL41",0,0,0,0,1,1,0,"a"
"TL42",0,0,0,0,1,0,0,"a"
"TL43",0,0,0,0,1,0,0,"a"
"TL51",0,0,0,0,1,0,0,"a"
"TL52",0,0,0,0,1,0,0,"a"
"TL53",0,0,0,0,1,1,0,
"TL54",0,0,0,0,1,0,0,"a"
"TL62",0,0,0,0,0,1,0,
"TM08",0,0,0,1,1,0,0,"a"
"TM45",0,0,0,0,1,0,0,
