"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NS37",1,0,0,0,0,0,0,"a"
"NS48",0,0,1,1,0,0,0,"a"
"NS56",1,0,0,0,0,0,0,
"NS57",0,0,1,0,0,0,0,"a"
"NT27",0,0,0,0,1,0,1,"a"
"NT28",1,0,0,0,0,0,0,"a"
"NT53",0,0,0,1,0,0,0,"a"
"NT73",1,0,1,0,0,0,0,"a"
"NY12",1,0,0,0,0,0,0,"a"
"NY15",1,0,0,0,0,0,0,"a"
"NY52",0,0,1,0,0,0,0,"a"
"NZ20",1,0,0,0,0,0,0,"a"
"NZ25",1,0,0,0,0,0,0,"a"
"NZ32",1,0,0,0,0,0,0,"a"
"NZ40",1,0,0,0,0,0,0,"a"
"NZ42",1,0,0,0,0,0,0,"a"
"NZ43",1,0,0,0,0,0,0,"a"
"NZ51",1,0,1,0,0,0,0,"a"
"NZ53",1,0,0,0,0,0,0,"a"
"SC37",0,0,0,0,0,0,1,"a"
"SD20",0,0,1,0,0,0,0,"a"
"SD30",1,0,0,0,0,0,0,"a"
"SD31",0,1,0,0,0,0,0,"a"
"SD34",1,0,0,0,0,0,0,"a"
"SD39",0,0,1,0,0,0,0,"a"
"SD47",1,0,0,0,0,0,1,"a"
"SD62",1,0,1,0,0,0,0,"a"
"SD70",1,0,0,0,0,0,0,"a"
"SD71",1,0,0,0,0,0,0,"a"
"SD74",0,0,1,0,0,0,0,"a"
"SD80",1,0,0,0,0,0,0,"a"
"SD82",0,0,1,0,0,0,0,"a"
"SD93",0,0,0,1,0,0,0,
"SD95",0,1,0,0,0,0,0,"a"
"SE13",1,0,0,0,0,0,1,"a"
"SE18",1,0,0,0,0,0,0,"a"
"SE28",1,0,0,0,0,0,0,"a"
"SE29",1,0,0,0,0,0,0,"a"
"SE31",1,0,0,0,0,0,0,"a"
"SE36",1,0,0,0,0,0,0,"a"
"SE37",1,0,0,0,0,0,0,"a"
"SE38",1,0,0,0,0,0,0,"a"
"SE39",1,0,0,0,0,0,0,"a"
"SE60",0,0,0,0,0,1,0,"a"
"SE66",0,0,0,0,0,1,1,"a"
"SE67",1,0,0,0,0,0,0,"a"
"SE72",1,0,0,0,0,0,0,"a"
"SE77",1,0,0,0,0,0,0,"a"
"SE79",0,0,0,0,0,1,0,"a"
"SE81",1,0,1,0,0,0,0,"a"
"SE84",0,0,0,0,0,0,1,"a"
"SJ18",1,0,0,0,0,0,0,"a"
"SJ35",1,0,0,0,0,0,0,"a"
"SJ36",0,0,1,0,0,0,0,"a"
"SJ38",1,0,0,0,0,0,0,"a"
"SJ39",1,1,0,0,0,0,0,"a"
"SJ67",0,1,0,0,0,0,0,"a"
"SJ84",1,0,0,0,0,0,1,"a"
"SJ85",1,0,0,0,0,0,0,"a"
"SJ88",0,0,1,0,0,0,0,"a"
"SJ89",1,0,1,0,0,0,0,"a"
"SK14",1,1,0,0,0,0,0,"a"
"SK22",1,1,1,0,0,0,0,"a"
"SK33",1,0,1,0,0,0,0,"a"
"SK35",0,0,1,0,0,0,0,"a"
"SK38",1,0,0,0,0,0,0,"a"
"SK43",0,0,1,0,0,0,0,"a"
"SK49",1,0,0,0,0,0,0,"a"
"SK50",1,0,0,0,0,0,1,"a"
"SK51",1,0,0,0,0,0,0,"a"
"SK57",1,0,0,0,0,0,0,"a"
"SK59",1,0,0,0,0,0,0,"a"
"SK60",1,0,0,0,0,0,1,"a"
"SK63",0,0,0,0,0,0,1,
"SK75",1,0,1,0,0,0,0,"a"
"SK77",0,0,0,0,0,0,1,
"SK83",1,0,0,0,0,0,0,"a"
"SK84",0,0,1,0,0,0,0,"a"
"SK90",1,1,1,0,0,0,0,"a"
"SK91",0,1,0,0,0,0,0,"a"
"SK95",1,0,0,0,0,0,0,"a"
"SK97",1,0,0,0,0,0,0,"a"
"SN57",1,0,0,0,0,0,0,"a"
"SO12",0,0,0,0,0,0,1,"a"
"SO50",1,0,0,0,0,0,0,"a"
"SO52",0,1,0,1,0,0,0,"a"
"SO53",0,0,1,0,0,0,0,"a"
"SO56",1,0,0,0,0,0,0,"a"
"SO60",1,0,0,0,0,0,0,"a"
"SO74",1,0,0,0,0,0,0,"a"
"SO75",1,0,0,0,0,0,0,"a"
"SO81",1,0,0,0,0,0,0,"a"
"SO82",1,0,0,0,0,0,0,"a"
"SO85",1,0,0,0,0,0,0,"a"
"SO90",1,0,0,0,0,0,0,"a"
"SO91",1,0,0,0,0,0,0,"a"
"SO94",1,1,0,0,0,0,0,"a"
"SO95",1,1,0,0,0,0,0,"a"
"SO97",1,0,0,0,0,0,0,"a"
"SO98",1,0,0,0,0,0,0,"a"
"SP00",1,0,0,0,0,0,1,"a"
"SP02",0,0,0,1,0,0,1,"a"
"SP04",1,0,0,0,0,0,0,"a"
"SP05",1,1,0,0,0,0,0,"a"
"SP10",1,0,0,0,0,0,0,"a"
"SP15",1,0,0,0,0,0,0,"a"
"SP21",0,1,0,0,0,0,0,"a"
"SP24",1,1,1,0,0,0,0,"a"
"SP26",1,0,0,1,0,0,0,"a"
"SP30",1,0,0,0,0,0,0,"a"
"SP31",1,0,0,0,0,0,0,"a"
"SP32",0,1,0,0,0,0,0,"a"
"SP35",1,0,0,0,0,0,0,"a"
"SP36",1,0,0,0,0,0,0,"a"
"SP40",1,0,0,0,0,0,0,"a"
"SP41",0,1,0,0,0,0,0,"a"
"SP42",1,1,0,0,0,0,0,"a"
"SP47",1,0,0,0,0,0,0,"a"
"SP50",1,0,1,0,0,0,0,"a"
"SP52",1,0,0,0,0,0,0,"a"
"SP53",1,0,0,0,0,0,0,"a"
"SP59",0,0,0,0,0,0,1,
"SP61",0,0,1,0,0,0,0,"a"
"SP63",1,0,0,0,0,0,0,"a"
"SP67",0,0,0,0,0,0,1,"a"
"SP68",1,0,0,0,0,0,0,"a"
"SP78",0,0,0,0,0,0,1,
"SP91",1,0,0,0,0,1,1,"a"
"SP93",0,1,1,0,0,0,0,"a"
"SP99",1,0,0,0,0,0,0,"a"
"SS43",1,0,0,0,0,0,0,"a"
"SS82",1,0,0,0,0,0,0,"a"
"SS84",1,0,0,0,0,0,0,"a"
"ST17",1,0,0,0,0,0,0,"a"
"ST20",0,0,0,0,0,0,1,"a"
"ST22",1,0,0,0,0,0,0,"a"
"ST24",1,0,0,0,0,0,0,"a"
"ST36",1,0,0,0,0,0,0,"a"
"ST40",1,0,0,0,0,0,0,"a"
"ST42",0,1,0,0,0,0,0,"a"
"ST44",0,0,0,0,0,1,0,"a"
"ST47",1,0,0,0,0,0,0,"a"
"ST51",0,0,1,0,0,0,0,"a"
"ST52",1,0,0,0,0,0,0,"a"
"ST55",1,0,0,0,0,0,0,"a"
"ST57",1,0,0,0,0,0,0,"a"
