"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C63",0,0,0,0,1,0,0,
"C70",0,0,0,0,1,1,0,
"D13",0,0,0,0,1,0,0,
"D21",0,0,0,1,1,0,0,
"D30",0,0,0,1,1,0,0,"n"
"D31",0,0,0,0,1,0,0,
"D40",0,0,0,0,1,0,0,"n"
"G41",0,0,0,0,1,0,0,"n"
"G52",0,0,0,0,1,0,0,"n"
"H16",0,1,1,0,0,0,0,
"H25",0,0,0,0,1,0,0,
"H26",0,0,0,1,0,0,0,
"H28",0,0,0,0,1,0,0,
"H39",1,0,0,0,0,0,0,"n"
"H62",0,0,0,0,1,0,0,"n"
"H77",0,0,0,0,1,0,0,
"H89",0,0,0,0,1,0,0,
"H99",0,0,0,0,1,0,0,
"HP50",0,0,1,0,1,0,1,"n"
"HP51",1,0,0,0,0,0,0,"n"
"HP61",0,0,1,0,1,0,0,"n"
"HU25",0,0,1,0,1,1,1,"n"
"HU26",0,0,0,0,1,0,0,"n"
"HU27",1,0,0,0,1,0,0,"n"
"HU28",1,0,0,0,1,1,1,"n"
"HU32",0,0,1,0,1,0,0,"n"
"HU33",0,0,1,0,1,0,0,"n"
"HU34",1,0,1,0,1,0,0,"n"
"HU35",0,0,1,0,1,0,1,"n"
"HU36",1,0,1,0,1,0,1,"n"
"HU37",1,0,0,0,1,1,1,"n"
"HU38",1,0,1,0,1,0,1,"n"
"HU39",0,0,0,0,1,0,0,"n"
"HU42",0,0,1,0,0,0,0,"n"
"HU43",0,0,1,0,1,1,1,"n"
"HU45",1,0,1,0,1,1,0,"n"
"HU46",1,0,0,0,1,0,0,"n"
"HU47",1,0,0,0,1,1,0,"n"
"HU49",0,0,1,0,1,0,0,"n"
"HU56",0,0,0,0,1,0,0,"n"
"HU58",1,0,0,0,0,0,0,"n"
"HU59",0,0,1,0,1,0,0,"n"
"HU68",0,0,1,1,0,0,0,"n"
"HY20",1,1,0,1,1,0,1,"n"
"HY21",1,0,0,1,0,0,1,"n"
"HY30",1,0,0,1,1,0,1,"n"
"HY31",1,0,1,1,1,0,1,"n"
"HY32",1,0,0,1,0,0,1,"n"
"HY33",1,0,0,0,0,0,0,"n"
"HY40",1,0,0,1,1,1,1,"n"
"HY41",1,0,1,1,1,0,1,"n"
"HY42",1,0,1,1,0,0,1,"n"
"HY50",1,0,0,0,1,0,0,"n"
"HZ27",0,0,0,0,0,0,1,
"J03",1,0,0,0,0,0,1,"n"
"J06",0,0,0,0,0,1,0,
"J08",0,0,0,0,1,0,0,
"J14",0,0,0,0,1,0,0,
"J19",0,0,0,1,1,0,0,
"J28",0,0,0,0,0,1,0,
"J35",0,0,0,0,1,0,0,
"J37",0,0,0,1,1,0,0,
"J39",0,0,0,1,1,0,0,
"J45",1,0,0,0,0,0,0,"n"
"J46",0,0,0,0,0,1,1,
"J47",0,0,0,0,1,0,0,
"J49",0,0,0,1,1,0,0,"n"
"J54",0,0,0,0,1,0,1,
"J56",0,0,0,0,1,0,0,
"L95",1,0,0,0,0,0,0,"n"
"NA91",1,0,0,0,0,0,0,"n"
"NA92",0,1,0,0,0,1,0,"n"
"NB00",0,1,0,0,1,0,1,"n"
"NB03",1,1,0,0,0,1,0,"n"
"NB10",1,1,0,0,0,0,0,"n"
"NB12",0,0,0,0,0,1,0,
"NB13",0,1,0,0,0,1,0,"n"
"NB14",0,1,0,0,0,1,0,
"NB24",0,0,0,0,0,1,0,
"NB43",0,0,1,0,0,0,0,
"NB44",0,0,0,0,0,0,1,
"NB54",0,0,0,0,0,1,0,
"NC02",0,0,1,0,1,0,0,"n"
"NC11",0,0,0,0,1,1,0,"n"
"NC14",0,0,0,0,1,0,0,"n"
"NC20",0,0,0,0,0,0,1,
"NC21",0,0,0,0,1,0,0,"n"
"NC22",1,0,0,0,0,0,0,"n"
"NC23",1,0,0,0,1,1,1,"n"
"NC24",0,0,0,0,0,1,0,
"NC25",0,0,0,0,0,0,1,
"NC26",0,1,0,0,0,0,0,"n"
"NC33",0,0,0,0,1,0,0,"n"
"NC34",0,0,0,0,0,1,0,
"NC35",0,0,0,0,0,1,0,
"NC40",0,0,1,0,1,1,1,"n"
"NC41",0,0,0,0,0,0,1,
"NC42",0,0,0,0,0,0,1,
"NC45",0,0,0,0,0,0,1,
"NC50",0,0,1,0,1,0,1,"n"
"NC51",0,0,0,0,0,0,1,
"NC55",0,0,0,0,0,1,0,
"NC60",0,0,1,0,0,0,0,"n"
"NC63",1,0,0,0,0,0,0,"n"
"NC64",0,0,0,0,1,0,0,"n"
"NC70",1,0,1,0,1,0,1,"n"
"NC74",0,0,0,0,1,0,0,"n"
"NC76",1,0,1,0,0,0,0,"n"
"NC80",1,0,0,0,0,0,1,"n"
"NC84",0,0,0,0,1,0,0,"n"
"NC85",0,0,0,0,1,0,0,"n"
"NC90",0,0,0,0,0,0,1,
"NC91",0,0,0,0,1,0,1,"n"
"NC92",0,0,0,0,1,0,0,"n"
"NC94",0,0,0,0,1,0,0,"n"
"NC95",0,0,0,0,1,0,0,"n"
"NC96",1,0,0,1,0,1,0,"n"
"ND01",0,0,1,0,1,1,1,"n"
"ND12",1,0,0,0,1,1,0,"n"
"ND13",1,0,0,0,1,1,0,"n"
