"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NN70",0,0,0,0,0,0,1,
"NO41",0,0,1,0,0,0,0,"a"
"NR39",0,0,0,0,0,0,1,
"NS47",1,0,0,0,0,0,0,
"NS76",1,0,0,0,0,0,0,"a"
"NT27",1,0,0,0,0,0,0,"a"
"NT43",0,0,1,0,0,0,0,
"NT53",1,0,1,0,0,0,0,"a"
"NU21",0,0,0,0,0,0,1,
"SD17",0,0,0,1,0,0,0,
"SE13",0,0,1,0,0,0,0,"a"
"SE32",0,0,0,1,0,0,0,"a"
"SE46",0,0,0,0,0,1,0,
"SE47",0,0,1,0,0,0,0,
"SE56",0,0,0,0,0,1,0,
"SE76",0,0,0,0,0,0,1,
"SK22",0,0,1,0,0,0,0,"a"
"SK53",0,0,0,0,0,1,0,
"SK63",0,0,0,0,1,1,0,"a"
"SK64",0,0,0,0,0,0,1,
"SK74",0,0,0,0,0,1,0,
"SK76",0,0,0,0,0,1,0,
"SK86",0,0,0,0,0,0,1,
"SK88",0,0,0,0,0,0,1,
"SK93",0,0,0,0,1,0,0,"a"
"SO51",0,0,0,0,1,0,1,"a"
"SO57",0,0,0,0,0,1,0,
"SO67",0,0,0,0,0,1,1,
"SO73",0,0,0,0,0,1,1,
"SO75",0,0,0,0,1,0,1,"a"
"SO76",0,0,0,0,0,1,0,
"SO81",0,0,0,0,0,0,1,
"SO82",0,0,0,1,0,0,1,"a"
"SO85",0,0,0,0,0,1,0,
"SO86",0,0,0,0,0,1,0,
"SO91",0,0,0,1,0,0,0,"a"
"SO94",0,0,0,0,1,0,1,"a"
"SP01",0,0,0,0,0,0,1,
"SP04",0,0,1,0,0,1,0,
"SP05",0,0,0,0,1,0,0,"a"
"SP14",0,0,0,1,0,1,0,"a"
"SP15",0,0,0,1,0,0,0,"a"
"SP20",0,0,0,0,1,1,0,"a"
"SP21",0,0,0,0,1,0,0,"a"
"SP26",0,0,0,0,1,0,0,"a"
"SP30",0,0,0,0,1,0,0,"a"
"SP31",0,0,1,1,0,0,0,"a"
"SP41",0,0,0,1,0,0,0,"a"
"SP51",0,0,0,0,1,0,0,"a"
"SP52",0,0,0,0,1,0,0,"a"
"SP60",0,0,0,0,0,0,1,
"SP79",0,0,0,0,0,0,1,
"SP80",0,0,0,0,1,0,0,"a"
"SP91",0,0,0,0,0,0,1,
"SP92",0,0,0,0,1,0,0,
"SP93",0,0,0,0,0,1,0,
"SP95",0,0,0,0,0,1,0,
"SP97",0,0,0,0,0,0,1,
"SS84",0,0,0,0,1,0,0,"a"
"ST21",0,0,0,0,0,1,0,
"ST24",0,0,0,0,1,0,1,"a"
"ST28",0,0,0,0,0,0,1,
"ST31",0,0,0,0,1,1,1,"a"
"ST33",0,0,0,0,1,0,0,"a"
"ST34",0,0,0,0,1,1,0,"a"
"ST37",0,0,0,0,1,0,0,"a"
"ST75",0,0,0,0,0,1,0,
"ST87",0,0,0,0,0,0,1,
"ST91",0,0,0,0,1,0,0,"a"
"ST99",0,0,0,0,0,1,0,
"SU00",0,0,0,0,1,0,0,"a"
"SU06",0,0,0,0,1,0,0,
"SU13",0,0,0,1,0,0,0,"a"
"SU17",0,0,0,1,1,0,0,"a"
"SU22",0,0,0,0,0,1,0,
"SU28",0,0,0,0,1,0,0,"a"
"SU29",0,0,0,0,1,0,0,"a"
"SU35",0,0,0,0,0,1,0,
"SU39",0,0,0,0,1,0,0,"a"
"SU41",0,0,0,0,0,0,1,
"SU42",0,0,0,0,0,0,1,
"SU44",0,0,0,0,0,0,1,
"SU45",0,0,0,0,0,0,1,
"SU55",0,0,0,0,0,1,0,
"SU56",0,0,0,0,0,1,0,
"SU66",0,0,0,0,0,0,1,
"SU68",0,0,0,1,0,0,0,"a"
"SU69",0,0,0,0,1,1,0,"a"
"SU70",0,0,0,0,0,1,1,
"SU73",0,0,1,1,0,0,0,"a"
"SU74",0,0,0,0,0,1,1,
"SU75",0,0,0,1,0,0,0,
"SU78",0,0,0,0,1,0,0,"a"
"SU79",0,0,0,0,1,0,1,"a"
"SU81",0,0,0,0,0,1,0,
"SU90",0,0,0,0,1,0,0,"a"
"SU93",0,0,0,0,0,0,1,
"SU97",0,0,0,0,0,0,1,
"SU99",0,0,0,0,0,1,0,
"SW73",1,0,0,0,0,0,0,"a"
"SW83",1,0,0,0,0,0,0,"a"
"SW94",0,0,0,0,0,0,1,
"SX05",1,0,0,0,0,0,0,
"SX98",0,0,0,1,1,0,0,"a"
"SY68",0,0,0,0,1,0,0,"a"
"SZ38",0,0,0,0,0,1,1,
"SZ48",0,0,0,0,0,1,1,
