"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C01",0,0,0,1,1,0,0,
"C02",0,0,0,1,0,0,0,
"C73",0,0,0,1,1,1,0,"n"
"C83",0,0,0,1,1,1,0,"n"
"G54",0,0,0,0,0,1,1,
"G63",0,0,0,0,0,0,1,
"G65",0,0,0,0,0,0,1,
"J33",0,0,0,0,0,1,0,
"J64",0,0,0,0,0,1,1,
"M20",0,0,0,0,0,0,1,
"M50",0,0,0,0,1,0,0,"n"
"ND04",0,0,0,0,0,0,1,
"NH82",0,0,0,0,0,0,1,
"NH85",0,0,0,0,0,0,1,
"NH91",0,0,0,0,0,1,1,
"NH92",0,0,0,0,1,0,1,"n"
"NH93",0,0,0,0,0,1,1,
"NH94",0,0,0,0,0,0,1,
"NJ02",0,0,0,0,1,1,1,"n"
"NJ03",0,0,0,0,1,0,1,"n"
"NJ06",0,0,0,0,1,0,1,"n"
"NJ10",0,0,0,0,0,1,0,
"NJ16",0,0,0,0,0,1,0,
"NJ17",0,0,0,0,0,1,0,
"NJ26",0,0,0,0,1,1,0,"n"
"NJ27",0,0,0,0,0,1,0,
"NJ36",0,0,0,0,1,1,0,"n"
"NJ66",0,0,0,0,0,1,0,
"NJ70",0,0,0,0,0,1,0,
"NJ80",0,0,0,0,0,1,0,
"NJ91",0,0,0,0,0,1,0,
"NJ92",0,0,0,0,0,1,0,
"NK02",0,0,0,0,0,1,0,
"NN45",0,0,0,0,0,0,1,
"NN55",0,1,0,0,0,0,0,"n"
"NN68",0,0,0,0,0,0,1,
"NN79",0,0,0,0,0,0,1,
"NN89",0,0,0,0,0,0,1,
"NR34",0,0,0,0,1,0,0,
"NR39",0,0,0,0,1,0,0,"n"
"NR62",0,0,0,0,0,1,0,
"NR63",0,0,0,0,0,1,0,
"NR89",0,0,1,0,0,0,0,"n"
"NS33",0,0,0,0,0,0,1,
"NT32",0,0,0,0,0,1,0,
"NT50",0,0,0,1,1,0,1,"n"
"NT51",0,0,0,0,1,0,0,"n"
"NT52",0,0,0,0,1,0,0,"n"
"NT62",0,0,0,1,1,0,0,"n"
"NT63",0,0,0,0,0,1,0,
"NT64",0,0,0,0,0,1,0,
"NT72",0,0,0,1,0,0,0,"n"
