"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C51",0,0,0,0,0,1,0,
"C60",0,0,0,0,0,1,0,
"C72",0,0,0,0,0,1,0,
"C73",0,0,0,0,0,1,0,
"C81",0,0,0,0,1,0,0,"n"
"H57",0,0,0,0,1,0,0,"n"
"H69",0,0,0,0,1,0,0,"n"
"J03",0,0,0,0,0,1,0,
"J13",0,0,0,0,1,0,0,"n"
"J21",0,0,0,0,1,0,0,"n"
"J22",0,0,0,0,0,1,0,
"J32",0,0,0,0,1,0,0,"n"
"J33",0,0,0,0,1,0,0,"n"
"J34",0,0,0,1,1,0,0,"n"
"J43",0,0,0,0,1,0,0,"n"
"J44",0,0,0,0,1,0,0,"n"
"J54",0,0,0,0,1,1,0,"n"
"NG82",0,0,0,0,1,0,0,"n"
"NX06",0,0,0,0,0,0,1,
"NX24",0,0,0,0,0,1,0,
"NX36",0,0,0,0,1,0,0,"n"
"NX69",1,0,0,0,0,0,0,"n"
"NZ60",0,0,0,0,0,0,1,
"S40",0,0,0,0,0,1,0,
"S50",0,0,0,0,0,1,0,
"S72",0,0,0,0,0,0,1,
"S81",0,0,0,0,0,0,1,
"S92",0,0,0,0,0,0,1,
"SC27",1,0,0,0,0,0,0,
"SD17",0,0,0,0,0,0,1,
"SD60",0,0,0,0,0,1,0,
"SE69",0,0,0,0,0,0,1,
"SE99",0,0,0,0,0,0,1,
"SH22",0,0,0,0,0,1,0,
"SH23",0,0,0,0,0,1,1,
"SH24",0,0,0,0,0,0,1,
"SH28",1,0,0,0,0,0,0,"n"
"SH33",0,0,0,0,0,0,1,
"SH34",0,0,0,0,0,0,1,
"SH43",0,0,0,0,0,0,1,
"SH44",0,0,0,0,0,0,1,
"SH45",0,0,0,0,0,0,1,
"SH46",0,0,0,0,0,0,1,
"SH48",1,0,0,0,0,0,0,"n"
"SH49",1,0,0,0,0,0,0,"n"
"SH52",0,0,0,1,0,0,0,"n"
"SH53",0,0,0,0,0,1,0,
"SH56",0,0,0,0,0,0,1,
"SH57",1,0,0,0,0,1,1,"n"
"SH58",1,0,0,0,0,0,0,"n"
"SH61",0,0,0,0,1,0,0,"n"
"SH62",0,0,1,0,0,0,0,
"SH67",0,0,0,0,0,1,0,
"SH68",1,0,0,0,0,0,0,"n"
"SH76",0,0,0,0,0,1,0,
"SH77",0,0,0,0,0,1,1,
"SH78",0,0,0,0,1,1,1,"n"
"SH87",0,0,0,0,0,1,0,
"SH97",0,0,0,0,0,1,0,
"SJ22",0,0,0,1,1,0,0,"n"
"SJ44",0,0,0,0,0,1,0,
"SJ47",0,0,0,0,0,1,0,
"SJ51",0,0,0,0,1,0,0,"n"
"SM83",0,0,0,1,0,0,0,"n"
"SN03",0,0,0,0,0,1,0,
"SN25",0,0,0,0,0,1,0,
"SN31",0,0,0,0,1,0,0,"n"
"SN35",0,0,0,0,1,0,0,"n"
"SN58",0,0,0,0,1,0,0,"n"
"SO74",1,0,0,0,0,0,0,"n"
"SS82",0,0,0,0,1,0,0,"n"
"SS83",0,0,0,0,0,0,1,
"SS84",0,0,0,0,0,0,1,
"SS92",0,0,0,0,0,1,0,
"SS94",0,0,0,0,0,0,1,
"SS98",0,0,0,0,0,0,1,
"ST00",0,0,0,0,0,1,0,
"ST03",0,0,0,0,0,1,0,
"ST04",0,0,0,0,0,1,0,
"ST10",0,0,0,0,1,0,0,"n"
"ST12",0,0,0,0,0,0,1,
"ST13",0,0,0,0,0,0,1,
"ST27",0,0,0,0,0,0,1,
"ST40",0,0,0,0,1,0,0,"n"
"ST66",0,0,0,1,0,0,0,"n"
"SU00",0,0,0,1,0,0,0,
"SU21",0,0,0,0,0,0,1,
"SV80",0,0,0,0,0,1,0,
"SV81",0,0,0,0,0,1,0,
"SW43",0,0,0,0,0,0,1,
"SW61",0,0,0,0,1,0,0,"n"
"SW63",0,0,0,0,1,0,0,"n"
"SW64",0,0,0,0,1,0,0,
"SW71",0,0,0,1,0,0,0,
"SW72",0,0,0,1,0,0,0,"n"
"SX15",0,0,0,1,1,0,0,"n"
"SX19",1,0,0,0,0,0,0,
"SX26",0,0,0,0,0,0,1,
"SX45",0,0,0,0,0,0,1,
"SX78",0,0,0,0,1,0,0,"n"
"SX84",0,0,1,0,0,0,0,
"SX99",0,0,0,0,1,0,0,"n"
"SY08",0,0,0,0,1,0,0,"n"
"SY19",0,0,0,0,1,1,0,"n"
"SY29",0,0,0,0,1,0,0,"n"
"SY39",0,0,0,0,1,0,0,"n"
"SY68",0,0,0,0,1,0,0,"n"
"T04",0,0,0,0,0,0,1,
"T06",0,0,0,0,0,0,1,
"TF62",0,0,1,1,1,0,0,"n"
"TF83",0,0,0,1,1,1,0,"n"
"TG03",0,0,0,0,0,1,0,
"TG40",0,0,0,1,0,0,0,"n"
"TG50",0,0,1,0,0,0,0,"n"
"TM14",0,0,0,0,1,0,0,"n"
"TM24",0,0,0,1,1,0,0,"n"
"TM34",0,0,0,0,0,0,1,
"TM35",0,0,0,1,1,0,0,"n"
"TM44",0,0,0,1,0,0,0,
"TM46",0,0,0,1,0,0,1,"n"
"TM47",0,0,0,0,1,1,1,"n"
"W65",0,0,0,0,0,0,1,
"WV55",0,0,0,1,0,0,0,"n"
"X09",0,0,0,0,0,0,1,
"X38",0,0,0,0,0,1,0,
