"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B83",0,0,0,0,0,0,1,
"C00",0,0,0,0,1,0,0,"a"
"C21",0,0,0,0,0,0,1,
"C30",0,0,0,0,0,1,1,
"C31",0,0,0,0,0,0,1,
"C32",0,0,0,0,0,1,0,
"C34",0,0,0,0,0,0,1,
"C40",0,0,0,0,0,0,1,
"C41",0,0,0,0,0,0,1,
"C42",0,0,0,0,1,0,0,"a"
"C46",0,1,0,0,0,0,0,
"C50",0,0,0,0,1,1,0,"a"
"C51",0,0,0,0,0,0,1,
"C52",0,0,0,0,1,0,1,"a"
"C55",0,0,0,0,0,0,1,
"C62",0,0,0,0,0,0,1,
"C63",0,0,0,0,0,0,1,
"C70",0,0,0,0,0,1,0,
"C90",0,0,0,0,0,1,0,
"C91",0,0,0,0,1,1,1,"a"
"C93",0,0,0,0,1,0,0,"a"
"C94",0,0,0,0,1,0,0,"a"
"F60",0,0,0,0,1,0,0,"a"
"F61",0,0,0,0,1,0,0,"a"
"F62",0,0,0,0,0,0,1,
"F63",0,0,0,0,1,0,0,
"F71",0,0,0,0,1,0,1,"a"
"F80",0,0,0,0,1,0,0,"a"
"F91",0,0,0,0,1,0,0,"a"
"F92",0,0,0,0,1,0,0,"a"
"F93",0,0,0,0,0,0,1,
"G04",0,0,0,0,0,0,1,
"G10",0,0,0,0,0,0,1,
"G12",0,0,0,0,1,0,1,"a"
"G22",0,0,0,0,0,0,1,
"G32",0,0,0,0,0,0,1,
"G33",0,0,0,0,0,0,1,
"G54",0,0,0,0,0,0,1,
"G62",0,0,0,0,1,0,0,"a"
"G64",0,0,0,0,0,0,1,
"G71",0,0,0,0,0,1,0,
"G73",0,0,0,0,0,0,1,
"G75",0,0,0,0,0,0,1,
"G79",0,0,0,0,0,0,1,
"G86",0,0,0,0,1,0,0,"a"
"G97",0,0,0,0,1,0,0,"a"
"H08",0,0,0,0,0,1,0,
"H20",0,0,0,0,0,0,1,
"H27",0,0,0,0,0,0,1,
"H28",0,0,0,0,0,1,0,
"H29",0,0,0,0,0,0,1,
"H35",0,0,0,0,0,0,1,"a"
"H36",0,0,0,0,0,1,0,
"H38",0,0,0,0,0,1,1,
"H39",0,0,0,0,0,0,1,
"H42",0,0,0,0,1,0,0,"a"
"H43",0,0,0,0,1,0,0,"a"
"H45",0,0,0,0,0,1,0,
"H52",0,0,0,0,0,0,1,
"H55",0,0,0,0,0,0,1,
"H56",0,0,0,0,0,1,0,
"H58",0,0,0,0,0,1,0,
"H60",0,0,0,0,1,0,0,"a"
"H67",0,0,0,0,0,0,1,
"H70",0,0,0,0,0,0,1,
"H71",0,0,0,0,1,0,0,"a"
"H73",0,0,0,0,0,0,1,
"H76",0,0,0,0,0,1,0,
"H80",0,0,0,0,1,0,1,"a"
"H81",0,0,0,0,0,0,1,
"H82",0,0,0,0,0,1,0,
"H84",0,0,0,0,0,0,1,
"H85",0,0,0,1,1,1,1,"a"
"H86",0,0,0,0,0,1,0,
"H87",0,0,0,0,0,1,1,
"H88",0,0,0,0,0,1,0,
"H89",0,0,0,0,0,0,1,
"H90",0,0,0,0,1,0,0,"a"
"H94",0,0,0,0,0,0,1,
"H97",0,0,0,0,0,1,0,
"H98",0,0,0,0,0,1,1,
"H99",0,0,0,0,0,1,0,
"HP50",1,0,0,0,0,0,0,"a"
"HP60",0,0,0,1,0,0,0,"a"
"HP61",1,0,0,0,0,0,0,"a"
"HT93",1,0,0,0,0,0,0,"a"
"HU15",0,0,0,0,1,0,0,"a"
"HU24",1,0,0,0,0,0,0,"a"
"HU25",1,0,0,0,0,0,0,"a"
"HU31",1,0,0,0,0,0,0,"a"
"HU32",1,0,0,0,0,0,0,"a"
"HU33",0,0,0,1,0,0,0,"a"
"HU34",1,0,0,0,0,0,0,"a"
"HU36",1,0,0,0,0,0,0,"a"
"HU37",1,0,0,0,0,0,0,"a"
"HU38",1,0,0,0,0,0,0,"a"
"HU42",1,0,0,0,0,0,0,"a"
"HU43",0,0,0,0,1,0,0,"a"
"HU44",0,0,0,1,0,0,0,"a"
"HU45",1,0,0,0,0,0,0,"a"
"HU46",1,0,0,0,0,0,0,"a"
"HU48",0,0,0,1,1,0,0,"a"
"HU49",1,0,0,0,0,0,0,"a"
"HU58",0,0,0,1,0,0,0,"a"
"HU59",1,0,0,0,0,0,0,"a"
"HU69",1,0,0,0,0,0,0,"a"
"HY31",0,0,0,0,0,0,1,
"HY42",0,0,0,0,0,0,1,
"HY64",0,0,0,0,1,1,0,
"HZ27",1,0,0,0,1,0,1,"a"
"J00",0,0,0,0,0,0,1,
"J01",1,0,0,0,0,0,0,
"J03",0,0,0,0,0,0,1,
"J04",0,0,0,0,1,0,1,"a"
"J07",0,0,0,0,1,0,0,"a"
"J09",0,0,0,0,1,1,0,"a"
"J10",0,0,0,0,0,0,1,
"J13",0,0,0,0,0,0,1,
"J15",0,0,0,0,0,0,1,
"J16",0,0,0,0,0,0,1,
"J18",0,0,0,0,1,0,0,"a"
"J20",0,0,0,0,0,0,1,
"J22",0,0,0,0,0,1,0,
"J24",0,0,0,0,0,1,0,
"J26",0,0,0,0,1,0,0,"a"
"J27",0,0,0,0,0,0,1,
"J28",0,0,0,0,0,1,1,
"J29",0,0,0,0,1,0,1,"a"
"J33",0,0,0,0,0,0,1,
"J36",1,0,0,0,0,0,0,
"J37",0,0,0,0,1,1,1,"a"
"J38",0,0,0,1,0,1,0,"a"
"J43",0,0,0,0,0,1,0,
"J44",0,0,0,0,0,0,1,
"J45",0,0,0,0,1,0,0,"a"
"J46",0,0,0,0,0,1,1,
"J47",0,0,0,0,0,0,1,
"J48",0,0,0,0,0,1,0,
"J49",0,0,0,0,1,0,0,"a"
"J53",0,0,0,0,0,0,1,
"J54",0,0,0,0,0,1,1,
"J55",0,0,0,0,0,1,1,
"J56",0,0,0,0,0,0,1,
"J57",0,0,0,0,1,0,1,"a"
"J58",0,0,0,0,0,0,1,
"J64",0,0,0,0,0,0,1,
"J65",0,0,0,0,0,0,1,
"J66",0,0,0,0,0,1,0,
"L54",0,0,0,0,0,0,1,
"L55",0,0,0,0,0,0,1,
"L56",0,0,0,0,1,0,1,"a"
"L67",0,0,0,0,0,1,0,
"L73",0,0,0,0,0,1,0,
"L78",0,0,0,0,0,0,1,
"L80",0,0,0,0,1,0,0,
"L81",0,0,0,0,0,0,1,
"L89",0,0,0,0,0,0,1,
"L96",0,0,0,0,0,0,1,
"M07",0,0,0,0,0,0,1,
"M08",0,0,0,0,0,0,1,
"M20",0,0,0,0,0,1,1,
"M31",0,0,0,0,1,1,1,"a"
"M41",0,0,0,0,0,1,0,
"M42",0,0,0,0,0,0,1,
"M43",0,0,0,0,0,0,1,
"M46",0,0,0,0,1,0,0,"a"
"M51",0,0,0,0,1,0,1,"a"
"M58",0,0,0,0,0,0,1,
"M59",0,0,0,0,0,0,1,
"M60",0,0,0,0,0,1,0,
"M63",0,0,0,0,1,0,1,"a"
"M64",0,0,0,0,0,1,0,
"M66",0,0,0,0,0,1,0,
"M67",0,0,0,0,0,0,1,
"M73",0,0,0,0,0,0,1,
"M79",0,0,0,0,0,1,0,
"M80",0,0,0,0,0,0,1,
"M83",0,0,0,0,0,1,0,
"M86",0,0,0,0,1,0,0,
"M88",0,0,0,0,0,1,0,
"M90",0,0,0,0,1,0,1,"a"
"M99",0,0,0,0,0,0,1,
"N01",0,0,0,0,1,0,1,
"N06",0,0,0,0,0,0,1,
"N11",0,0,0,0,0,0,1,
"N15",0,0,0,0,0,0,1,
"N17",0,0,0,0,0,0,1,
"N19",0,0,0,0,0,0,1,
"N26",0,0,0,0,0,0,1,
"N32",0,0,0,0,0,0,1,
"N38",0,0,0,0,0,0,1,
"N44",0,0,0,0,0,0,1,
