"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NC50",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC82",0,0,0,0,0,0,1,
"NC91",0,0,0,0,0,0,1,
"ND12",0,0,0,0,0,1,1,
"NG85",0,0,0,0,0,0,1,
"NG93",0,0,0,0,0,0,1,
"NH42",0,0,0,1,0,0,1,"a"
"NH45",0,0,0,0,1,1,0,"a"
"NH52",0,0,0,0,0,0,1,
"NH54",0,0,0,0,0,0,1,
"NH59",0,0,0,0,1,0,0,"a"
"NH64",0,0,0,0,0,0,1,
"NH69",0,0,0,0,0,1,1,
"NH70",0,0,1,0,0,0,1,"a"
"NH73",0,0,0,0,0,0,1,
"NH77",0,0,0,0,0,1,0,
"NH78",0,0,0,0,0,0,1,
"NH80",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NH91",0,0,0,0,0,0,1,
"NH92",0,0,0,0,1,0,0,"a"
"NH95",0,0,0,0,1,0,0,"a"
"NJ02",0,0,0,0,0,0,1,
"NJ05",1,0,0,0,1,1,1,"a"
"NJ15",1,0,0,1,1,0,0,"a"
"NJ70",0,0,0,0,0,1,0,
"NJ80",0,0,1,0,0,0,0,"a"
"NN48",0,0,0,0,0,0,1,
"NN69",0,0,0,0,0,0,1,
"NN79",0,0,0,0,0,0,1,
"NN95",0,0,0,0,0,0,1,
"NO02",0,0,0,0,0,0,1,
"NO12",0,0,0,0,1,0,1,"a"
"NO39",0,0,0,0,1,0,0,"a"
"NO59",0,0,0,0,1,0,0,
"NO69",0,0,0,0,0,1,1,
"NO79",0,0,0,0,0,1,0,
"NS28",0,0,0,0,0,1,0,
"NS36",1,0,0,1,0,0,0,"a"
"NS93",0,0,0,0,0,0,1,
"NT07",0,0,0,0,0,0,1,
"NT13",0,0,0,0,1,0,0,"a"
"NT51",0,0,0,0,0,0,1,
"NX97",0,0,0,0,1,0,0,"a"
"SE18",0,0,0,0,0,0,1,
"SE34",0,0,0,1,0,0,0,"a"
"SJ71",0,0,0,1,0,0,0,"a"
"SJ85",0,0,0,0,0,0,1,
"SJ90",0,0,0,0,1,0,0,
"SK12",0,0,0,0,1,0,0,"a"
"SK26",0,0,0,0,0,0,1,
"SK51",0,0,0,1,0,0,0,"a"
"SO14",0,0,0,1,0,0,0,"a"
"SO74",0,0,0,0,1,0,1,"a"
"SP93",1,0,0,1,0,0,0,"a"
"SU38",0,0,0,0,0,0,1,
"SU67",0,0,0,0,0,0,1,
"SU76",0,0,0,0,1,0,1,"a"
"SU86",0,0,0,0,1,0,1,"a"
"SU88",0,0,0,0,1,0,0,"a"
"TA08",0,0,0,0,0,1,0,
"TL66",0,0,0,0,0,1,0,
"TQ04",0,0,0,0,1,0,0,"a"
"TQ05",0,0,0,0,1,0,1,"a"
"TQ07",0,0,0,0,0,0,1,
"TQ25",1,0,0,1,1,0,0,"a"
"TQ27",0,0,0,0,0,0,1,
"TQ35",0,0,0,0,0,0,1,
"TQ45",0,0,0,0,0,0,1,
"TQ47",0,0,0,0,0,0,1,
"TQ55",1,0,1,0,0,0,0,"a"
"TQ57",0,0,0,0,0,0,1,
"TQ59",0,0,1,0,1,0,1,"a"
