"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NS28",0,0,0,0,1,0,0,"a"
"NS38",1,0,0,0,0,0,0,"a"
"NS47",0,0,0,1,1,0,0,"a"
"NY96",1,0,1,0,0,0,0,"a"
"SC16",0,0,0,0,1,0,0,"a"
"SC28",0,0,0,0,1,0,0,"a"
"SC37",0,0,0,0,1,0,0,"a"
"SC49",0,0,0,1,0,0,0,"a"
"SE24",0,0,0,1,0,0,0,"a"
"SN31",0,0,0,0,1,0,0,"a"
"SN40",0,0,0,0,1,1,0,"a"
"SN50",0,0,0,0,1,0,0,"a"
"SN52",0,0,0,0,1,0,0,"a"
"SN53",0,0,0,0,1,0,0,"a"
"SN72",0,0,0,0,1,0,0,"a"
"SO64",0,0,0,0,0,0,1,
"SO89",0,0,0,0,0,1,0,
"SS59",0,0,0,0,1,0,0,"a"
"ST78",0,0,0,0,0,0,1,
"SZ09",0,0,0,0,0,0,1,
"TG11",0,0,0,0,0,1,0,
"TL46",0,0,0,1,0,0,0,"a"
"TL63",0,0,0,0,0,0,1,
"TL66",0,0,0,1,0,0,0,"a"
"TQ26",0,0,0,0,0,1,0,
"TQ35",0,0,0,0,1,0,0,"a"
"TQ49",0,0,0,0,0,0,1,
"TQ53",0,0,0,0,1,0,0,"a"
"TQ60",0,0,0,0,0,1,0,
"TR35",1,0,0,0,0,0,0,"a"
"WV27",1,1,0,0,0,1,1,"a"
"WV28",1,0,0,0,1,0,0,"a"
"WV37",1,0,0,0,1,1,0,"a"
"WV38",1,0,0,0,0,0,0,"a"
"WV47",0,0,0,1,0,1,0,
"WV55",0,0,0,0,0,0,1,
