"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NJ36",0,0,0,0,0,0,1,
"SD20",0,0,0,0,0,0,1,
"SD30",1,0,0,0,0,0,0,
"SD52",0,0,0,0,0,0,1,
"SD80",0,0,0,0,0,0,1,
"SE02",0,0,0,0,0,0,1,
"SE23",0,0,0,0,0,0,1,
"SJ39",0,0,0,0,0,0,1,
"SK22",0,0,0,0,0,0,1,
"SK38",0,0,0,0,0,1,0,
"SK39",0,0,0,0,0,1,0,
"SO85",0,0,0,0,0,0,1,
"SP06",0,0,0,0,1,0,0,
"SP83",0,0,0,0,0,0,1,
"SS48",0,0,0,0,0,0,1,
"SS59",0,0,0,0,0,0,1,
"SS68",0,0,0,0,0,0,1,
"SS69",0,0,0,0,0,0,1,
"ST04",0,0,0,0,1,0,0,
"SU50",0,0,0,0,0,1,0,
"SU85",0,0,0,0,0,0,1,
"SZ19",0,0,0,0,0,0,1,
"SZ49",0,0,0,0,0,0,1,
"TL21",1,0,0,0,0,0,0,
"TL57",0,0,0,0,0,0,1,
"TL95",0,0,0,0,1,0,0,
"TQ05",0,0,0,0,1,0,0,
"TQ26",0,0,0,0,0,0,1,
"TQ38",0,0,0,0,1,0,1,
"TQ39",0,0,0,1,0,0,0,
"TQ48",0,0,0,1,0,0,0,
"TQ60",0,0,0,0,0,0,1,
"TV69",0,0,0,0,0,0,1,
