"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B84",0,0,0,0,0,0,1,
"C41",0,0,0,0,0,0,1,
"G64",0,0,0,0,0,0,1,
"HP50",0,0,0,0,0,0,1,
"HU42",0,0,0,0,0,0,1,
"HU44",0,0,0,0,0,0,1,
"HU47",0,0,0,0,0,0,1,
"HY40",0,0,0,0,0,0,1,
"J00",0,0,0,0,0,0,1,
"J18",0,0,0,0,0,1,0,
"J33",0,0,0,0,0,1,1,
"J36",0,0,0,0,0,1,0,
"J37",0,0,0,0,0,1,0,
"J43",0,0,0,0,0,1,0,
"J49",0,0,0,0,0,0,1,
"J53",0,0,0,0,0,0,1,
"J68",0,0,0,0,0,0,1,
"L97",0,0,0,0,0,0,1,
"M18",0,0,0,0,0,0,1,
"N32",0,0,0,0,0,0,1,
"NB43",0,0,0,0,0,0,1,
"NC50",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC82",0,0,0,1,0,0,0,"a"
"NC90",0,0,0,0,0,0,1,
"NC91",0,0,0,1,0,0,0,"a"
"ND01",0,0,0,0,0,0,1,
"ND17",0,0,0,0,0,0,1,
"ND35",0,0,0,0,0,0,1,
"ND37",0,0,0,0,0,0,1,
"NG35",0,0,0,0,0,0,1,
"NG72",0,0,0,0,0,0,1,
"NG76",0,0,0,0,0,0,1,
"NG77",0,0,0,0,0,0,1,
"NG81",0,0,0,0,0,0,1,
"NG82",0,0,0,0,0,0,1,
"NG83",0,0,0,0,0,0,1,
"NG85",0,0,0,0,0,0,1,
"NG87",0,0,0,0,0,0,1,
"NG88",0,0,0,0,0,0,1,
"NH79",0,0,0,0,0,0,1,
"NH88",0,0,0,0,0,0,1,
"NH89",0,0,0,0,0,0,1,
"NJ05",0,0,0,0,0,1,1,
"NJ06",0,0,0,0,0,0,1,
"NJ80",0,0,0,0,0,0,1,
"NM04",0,0,0,0,1,0,0,"a"
"NM49",0,0,0,0,0,1,0,
"NN07",0,0,0,0,0,0,1,
"NO47",0,0,0,0,0,0,1,
"NR56",0,0,0,0,0,0,1,
"NR72",0,0,0,0,0,1,0,
"NS28",0,0,0,0,1,0,0,"a"
"NS32",0,0,0,0,0,1,0,
"NT27",0,0,0,0,0,0,1,
"NX08",0,0,0,0,0,0,1,
"NX30",0,0,0,1,1,1,1,"a"
"NX40",0,0,0,0,1,0,1,"a"
