"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"G98",0,0,0,0,1,0,0,"a"
"J03",0,0,0,0,0,0,1,
"NC34",0,0,0,0,1,0,0,"a"
"NC42",0,0,0,0,0,0,1,
"NC50",0,0,0,0,0,0,1,
"NC70",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC82",0,0,0,0,0,0,1,
"NG51",0,0,0,0,0,0,1,
"NG71",0,0,0,0,0,0,1,
"NG85",0,0,0,0,0,0,1,
"NG87",0,0,0,0,0,0,1,
"NG90",0,0,0,0,0,0,1,
"NG97",0,0,0,0,0,1,0,
"NH10",0,0,0,0,0,0,1,
"NH17",0,0,0,0,0,0,1,
"NH27",0,0,0,0,0,0,1,
"NH30",0,0,0,0,0,0,1,
"NH53",0,0,0,0,0,0,1,
"NH54",0,0,0,0,0,0,1,
"NH56",0,0,0,0,0,0,1,
"NH63",0,0,0,0,0,0,1,
"NH64",0,0,0,0,0,0,1,
"NH67",0,0,0,0,0,0,1,
"NH78",0,0,0,0,0,0,1,
"NH88",0,0,0,0,0,0,1,
"NH92",0,0,0,0,0,0,1,
"NH94",0,0,0,0,0,1,0,
"NJ05",0,0,0,0,1,1,1,"a"
"NJ15",0,0,0,0,0,0,1,
"NJ16",0,0,0,0,0,0,1,
"NJ24",0,0,0,0,0,0,1,
"NJ34",0,0,0,0,0,0,1,
"NJ35",0,0,0,0,0,1,1,
"NJ61",0,0,0,0,0,0,1,
"NJ80",0,0,0,0,0,0,1,
"NM49",0,0,1,0,0,0,0,
"NM56",0,0,0,0,0,1,0,
"NM66",0,0,0,0,0,0,1,
"NM70",0,0,0,0,1,0,0,"a"
"NM76",0,0,0,0,0,1,1,
"NM79",0,0,0,0,0,0,1,
"NN00",0,0,0,0,1,0,0,"a"
"NN01",1,0,1,0,0,0,1,"a"
"NN02",1,0,1,0,0,0,1,"a"
"NN06",0,0,0,0,0,1,0,
"NN10",0,0,0,0,1,0,0,"a"
"NN11",0,0,0,0,1,0,0,"a"
"NN12",0,0,0,0,0,0,1,
"NN15",0,0,0,0,0,0,1,
"NN16",0,0,0,0,0,1,1,
"NN17",0,0,0,0,0,1,0,
"NN18",0,0,0,0,0,0,1,
"NN20",0,0,0,0,1,0,0,"a"
"NN28",0,0,0,0,0,0,1,
"NN29",0,0,0,0,0,0,1,
"NN40",0,0,0,0,0,0,1,
"NN46",0,0,0,0,0,1,0,
"NN50",0,0,0,0,0,0,1,
"NN51",0,0,0,0,0,0,1,
"NN60",0,0,0,0,0,0,1,
"NN84",0,0,0,0,0,1,0,
"NN85",0,0,0,0,1,1,1,
"NN95",0,0,0,0,0,0,1,
"NO00",0,0,0,0,0,0,1,
"NO02",0,0,0,0,0,0,1,
"NO04",0,0,0,0,0,0,1,
"NO12",0,0,0,0,0,0,1,
"NO25",0,0,0,0,0,1,0,
"NO34",0,0,0,0,0,1,0,
"NO57",0,0,0,0,0,0,1,
"NO88",0,0,0,0,0,0,1,
"NO89",0,0,0,0,0,1,0,
"NR49",0,0,0,0,0,0,1,
"NR77",0,0,0,0,1,0,1,"a"
"NR87",0,0,0,0,1,0,1,"a"
"NR88",0,0,0,0,0,0,1,
"NR99",0,0,0,0,1,0,0,"a"
"NS07",0,0,0,0,0,0,1,
"NS08",0,0,0,0,1,0,1,"a"
"NS15",0,0,0,0,0,1,1,
"NS16",0,0,0,0,0,0,1,
"NS18",0,0,1,0,1,0,1,"a"
"NS28",0,0,0,1,1,0,1,"a"
"NS29",0,0,0,1,1,0,1,"a"
"NS38",0,0,0,1,0,0,0,"a"
"NS49",0,0,0,0,0,0,1,
"NS59",0,0,0,0,0,0,1,
"NS65",0,0,0,0,0,0,1,
"NS79",0,0,0,0,0,0,1,
"NS89",0,0,0,0,0,0,1,
"NS96",0,0,0,0,1,0,0,"a"
"NS98",0,0,0,0,0,0,1,
"NT00",0,0,0,0,0,0,1,
"NT06",0,0,0,1,1,1,0,"a"
"NT07",0,0,0,0,1,1,0,"a"
"NT16",0,0,0,0,0,0,1,
"NT17",0,0,0,0,0,1,0,
"NT21",0,0,0,0,0,0,1,
"NT27",0,0,0,0,0,0,1,
"NT36",0,0,0,0,0,0,1,
"NT62",0,0,0,0,0,1,0,
"NT63",0,0,0,0,0,0,1,
"NT73",0,0,0,0,0,0,1,
"NT83",0,0,0,0,0,0,1,
"NT84",0,0,0,0,1,1,0,"a"
"NX56",0,0,0,0,1,1,1,"a"
"NX58",0,0,0,1,1,1,1,"a"
"NX86",0,0,0,0,0,0,1,
"NX88",0,0,0,0,0,0,1,
"NX89",0,0,0,0,0,1,1,
"NX96",0,0,0,1,1,0,0,"a"
"NX97",0,0,0,1,1,0,1,"a"
"NX98",0,0,0,0,0,1,0,
"NY16",0,0,0,0,0,0,1,
"NY20",0,0,0,1,0,0,0,"a"
"NY22",0,0,0,0,0,0,1,
"NY27",0,0,0,0,0,1,0,
"NY30",0,0,0,0,0,1,1,
"NY38",0,0,0,0,0,0,1,
"NY62",0,0,0,0,0,1,0,
"NZ07",0,0,0,0,0,0,1,
"NZ16",0,0,0,0,0,1,1,
"NZ24",0,0,0,0,1,1,0,
"NZ25",0,1,0,0,0,0,0,
"NZ26",0,0,0,0,0,1,0,
"NZ36",0,0,0,0,0,0,1,
"NZ51",0,0,0,0,1,0,0,"a"
"SD19",0,0,0,0,0,1,0,
"SD20",0,0,0,0,0,1,0,
"SD29",0,0,0,1,1,1,1,"a"
"SD31",0,0,0,0,0,0,1,
"SD39",0,0,0,1,1,0,0,"a"
"SD41",0,0,0,0,1,1,0,
"SD51",0,0,0,0,0,1,0,
"SD56",0,0,0,0,0,0,1,
"SD60",0,0,0,0,0,1,0,
"SD61",0,0,0,0,0,1,1,
"SD62",0,0,0,1,1,0,0,"a"
"SD70",0,0,0,0,1,1,1,
"SD71",0,0,0,1,0,0,0,"a"
"SD72",0,0,0,0,0,1,1,
"SD73",0,0,1,0,0,0,0,
"SD80",0,0,0,0,0,1,1,
"SD81",1,0,0,1,1,1,0,
"SD83",0,0,0,0,0,1,1,
"SD91",0,0,0,0,0,1,0,
"SE03",0,0,0,0,1,0,0,"a"
"SE11",0,0,0,1,1,0,1,"a"
"SE23",0,0,0,1,0,0,0,
"SE33",0,0,0,0,0,0,1,
"SH54",0,0,0,0,1,0,0,
"SH64",0,0,0,0,0,0,1,
"SH70",0,0,0,0,0,0,1,
