"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J27",1,0,0,0,0,0,0,
"N82",0,0,0,1,1,0,0,"n"
"N83",0,0,0,0,1,0,0,"n"
"NO41",0,0,0,0,0,0,1,
"NT83",0,0,0,0,0,0,1,
"NT92",1,0,0,0,0,0,0,
"NT93",0,0,0,0,0,0,1,
"NU02",0,0,0,0,0,0,1,
"NX68",0,0,0,0,0,0,1,
"NZ10",0,0,1,0,0,0,0,
"NZ21",1,0,0,0,0,0,0,
"SD31",1,0,0,0,0,0,0,
"SD45",0,0,1,0,1,0,0,"n"
"SD52",1,0,0,0,0,0,0,"n"
"SD53",1,0,0,0,0,0,0,
"SD63",0,0,1,0,1,0,0,
"SD64",0,0,1,0,1,0,0,
"SD74",1,0,1,0,0,0,0,"n"
"SD81",1,0,0,0,0,0,0,
"SE12",0,0,0,1,0,0,0,
"SE13",0,0,0,1,0,0,0,
"SE32",0,0,0,0,0,0,1,
"SE33",0,0,0,0,0,1,0,
"SE37",1,0,0,0,0,0,0,"n"
"SE41",1,0,0,0,0,0,0,"n"
"SE48",1,0,0,0,0,0,0,"n"
"SE61",0,0,0,0,0,0,1,
"SE62",0,0,0,0,0,0,1,
"SE66",1,0,0,1,0,0,0,"n"
"SE68",1,0,0,0,0,0,0,"n"
"SE75",0,0,0,1,0,0,0,"n"
"SJ28",1,0,0,0,0,0,0,
"SJ29",1,0,0,0,0,0,0,
"SJ35",0,0,0,0,0,1,0,
"SJ36",0,0,0,0,0,1,0,
"SJ37",1,0,0,0,0,0,0,
"SJ38",1,0,0,0,0,0,0,"n"
"SJ42",0,0,0,1,0,0,0,
"SJ44",0,0,0,0,0,1,0,
"SJ45",1,0,0,0,0,1,0,"n"
"SJ47",0,0,0,0,0,1,1,
"SJ50",0,0,0,1,0,0,0,
"SJ54",0,0,0,0,0,1,0,
"SJ55",1,0,0,0,0,1,0,"n"
"SJ56",0,0,0,0,0,1,0,
"SJ57",0,0,0,0,0,1,0,
"SJ64",0,0,0,0,0,1,0,
"SJ65",0,0,0,0,0,1,0,
"SJ66",0,0,0,0,0,1,0,
"SJ67",0,0,0,0,0,1,0,
"SJ70",1,0,0,0,0,0,0,"n"
"SJ71",0,0,0,0,0,1,0,
"SJ74",0,0,0,0,0,1,0,
"SJ75",0,0,0,0,0,1,0,
"SJ76",0,0,0,0,0,1,0,
"SJ77",0,0,0,0,0,1,0,
"SJ85",0,0,0,0,0,1,0,
"SJ86",0,0,0,0,0,1,0,
"SJ87",0,0,0,0,0,1,0,
"SK14",1,0,0,0,1,0,1,"n"
"SK20",1,0,1,1,0,0,0,"n"
"SK21",0,0,1,1,0,0,0,"n"
"SK22",1,0,0,0,0,0,0,"n"
"SK24",1,0,0,0,0,0,0,"n"
"SK30",1,0,1,1,0,0,0,"n"
"SK31",0,0,1,1,0,0,0,"n"
"SK32",0,0,1,1,0,0,0,"n"
"SK35",1,0,0,0,0,0,0,"n"
"SK40",1,0,1,1,0,0,0,"n"
"SK41",0,0,1,1,0,0,0,"n"
"SK42",1,0,1,1,1,0,1,"n"
"SK43",1,0,0,0,0,0,1,
"SK44",0,0,0,0,1,0,1,
"SK45",0,0,0,0,0,0,1,
"SK46",0,0,0,0,1,0,1,
"SK50",0,0,1,1,1,0,0,"n"
"SK51",1,0,1,1,0,0,0,"n"
"SK52",1,0,1,1,1,1,1,"n"
"SK53",0,0,0,0,1,1,1,
"SK54",0,0,0,0,1,0,0,
"SK55",0,0,0,0,1,0,1,
"SK56",0,0,0,0,1,0,1,
"SK58",0,0,0,0,1,1,1,
"SK59",0,0,0,1,1,0,0,
"SK60",1,0,1,1,0,0,0,"n"
"SK61",0,0,1,1,0,0,0,"n"
"SK62",0,0,0,1,1,0,1,"n"
"SK63",0,0,0,0,1,1,1,
"SK64",0,0,0,0,1,1,1,
"SK65",0,0,0,0,1,0,1,
"SK66",0,0,0,0,1,0,1,
"SK68",0,0,0,0,0,0,1,
"SK70",0,0,1,1,0,0,0,"n"
"SK71",1,0,1,1,0,0,0,"n"
"SK72",0,0,1,1,0,0,0,"n"
"SK73",0,0,1,0,1,0,1,
"SK74",0,0,0,0,0,0,1,
"SK76",0,0,0,0,1,0,1,
"SK77",0,0,0,0,0,0,1,
"SK78",0,0,0,0,1,0,1,
"SK80",0,0,0,1,0,0,0,"n"
"SK81",0,0,1,1,0,0,0,"n"
"SK82",0,0,1,0,0,0,0,
"SK83",0,1,0,1,0,0,0,"n"
"SK84",0,0,0,0,0,1,0,
"SK85",0,0,0,0,0,0,1,
"SK86",1,0,0,0,1,0,1,
"SK88",0,0,0,0,0,0,1,
"SK90",0,0,0,1,0,0,0,"n"
"SK91",1,1,0,1,0,0,0,"n"
"SK93",0,1,0,0,0,0,0,
"SK94",1,0,0,0,0,0,0,
"SN34",0,0,0,0,0,1,0,
"SN42",0,0,0,0,0,1,0,
"SN52",0,0,0,1,1,0,0,"n"
"SN67",0,0,0,0,1,0,0,"n"
"SN74",0,0,1,0,0,0,0,"n"
"SN96",0,0,0,0,0,0,1,
"SO02",0,0,0,0,1,0,0,"n"
"SO04",1,0,0,0,1,0,0,"n"
"SO05",1,0,0,0,1,0,0,"n"
"SO13",0,0,0,1,1,1,0,
"SO14",0,0,0,1,0,0,0,
"SO21",0,0,0,1,0,0,0,
"SO23",0,0,0,0,1,0,0,
"SO24",0,0,0,1,0,0,0,
"SO35",0,0,0,0,1,0,0,
"SO39",0,0,0,0,1,0,0,
"SO47",0,0,0,0,1,0,0,"n"
"SO51",0,0,0,0,0,0,1,
"SO53",0,0,0,0,0,1,0,
"SO56",0,0,0,0,0,1,0,
"SO59",1,0,0,0,0,0,0,
"SO64",0,0,0,0,0,1,0,
"SO65",0,0,0,0,0,1,1,
"SO66",0,0,0,0,1,1,1,"n"
"SO67",0,0,0,0,1,0,0,"n"
"SO71",1,0,0,0,0,0,0,"n"
"SO72",0,0,0,0,1,1,0,
"SO73",0,0,0,0,1,1,0,"n"
"SO74",1,0,0,0,1,1,0,"n"
"SO75",1,0,0,0,1,1,1,"n"
"SO76",0,0,0,0,1,1,1,"n"
"SO77",0,0,0,0,1,1,0,"n"
"SO78",0,0,0,0,1,0,0,"n"
"SO80",1,0,0,0,0,0,0,"n"
"SO81",1,0,0,0,0,0,0,"n"
"SO82",0,0,0,0,1,0,0,"n"
"SO83",0,0,1,0,1,0,0,"n"
"SO84",0,0,0,0,1,1,0,"n"
"SO85",1,0,0,0,0,1,0,"n"
"SO86",0,0,0,0,1,0,0,"n"
"SO87",0,0,0,0,0,1,0,
"SO88",0,0,0,0,1,1,0,"n"
"SO92",0,0,0,0,0,1,0,
"SO93",0,0,0,0,1,1,0,"n"
"SO95",0,0,0,0,1,1,1,"n"
"SO96",0,0,0,0,1,1,0,"n"
"SO98",0,0,0,0,1,1,1,"n"
"SP03",0,0,0,0,0,1,0,
"SP04",0,0,0,0,0,1,0,
"SP05",0,0,0,0,1,1,1,"n"
"SP06",1,0,0,0,1,1,0,"n"
"SP07",0,0,0,0,1,1,0,"n"
"SP14",0,0,0,0,0,1,0,
"SP17",1,0,0,0,0,0,0,"n"
"SP19",1,0,0,0,0,0,0,"n"
"SP24",0,0,0,0,1,0,0,"n"
"SP25",0,0,0,0,1,0,0,"n"
"SP26",1,0,0,0,0,0,0,"n"
"SP27",1,0,0,0,0,0,0,"n"
"SP28",1,0,0,0,0,0,0,"n"
"SP29",1,0,0,0,1,0,0,"n"
"SP30",0,1,1,1,0,0,1,"n"
"SP33",1,0,0,0,0,0,0,"n"
"SP35",0,0,0,0,1,0,0,"n"
"SP36",0,0,0,0,1,0,0,"n"
"SP39",1,0,1,1,1,0,0,"n"
"SP40",1,1,1,0,0,1,1,"n"
"SP42",1,0,0,0,0,0,1,"n"
"SP43",1,0,0,0,0,0,0,"n"
"SP44",0,0,0,0,1,0,0,"n"
"SP47",1,0,1,0,1,0,0,"n"
"SP48",1,0,0,1,0,0,0,"n"
"SP49",0,0,1,1,0,0,0,"n"
"SP50",1,0,0,0,0,0,0,"n"
"SP51",1,0,1,1,0,0,1,"n"
"SP53",0,0,0,1,0,0,0,
"SP57",0,0,0,1,0,0,0,"n"
"SP58",0,0,1,1,0,0,0,"n"
"SP59",1,0,1,1,0,0,0,"n"
"SP60",0,0,1,0,0,0,0,
"SP61",0,0,1,0,0,0,1,
"SP64",1,0,0,0,0,0,0,"n"
"SP68",0,0,1,1,0,0,0,"n"
"SP69",1,0,1,1,0,0,0,"n"
"SP70",1,0,1,0,0,0,0,"n"
"SP75",1,0,0,0,0,0,0,"n"
"SP76",0,0,0,0,1,0,0,
"SP77",0,0,0,0,1,0,0,
"SP78",0,0,1,0,0,0,0,
"SP79",0,0,1,1,0,0,0,"n"
"SP80",0,0,0,0,1,0,0,
"SP83",1,0,0,0,0,0,0,"n"
"SP85",1,0,0,0,0,0,0,"n"
"SP87",0,0,0,0,0,1,0,
"SP88",0,0,0,0,0,0,1,
"SP89",1,0,1,1,0,0,0,"n"
"SP91",1,0,0,0,0,0,0,"n"
"SP93",1,0,0,0,0,0,0,"n"
"SP95",0,0,0,0,1,0,0,
"SP98",1,0,0,0,0,0,0,"n"
"SS20",1,0,0,0,0,0,0,"n"
"ST04",0,0,0,0,0,1,0,
"ST21",0,0,0,0,1,0,0,
"ST30",1,0,0,0,0,0,0,"n"
"ST31",1,0,0,0,0,0,0,"n"
"ST34",0,0,0,0,1,0,0,
"ST42",1,0,0,0,0,0,0,"n"
"ST52",0,0,0,0,1,0,1,"n"
"ST53",1,0,0,0,1,0,0,"n"
"ST54",0,0,0,0,1,0,0,
"ST59",1,0,0,0,0,0,1,"n"
"ST63",1,0,0,0,0,0,0,"n"
"ST64",0,0,0,0,1,0,0,
"ST67",1,0,0,0,0,0,0,"n"
"ST86",1,1,0,0,0,0,0,"n"
"ST88",0,0,0,0,1,0,0,
"ST89",1,0,0,0,0,0,0,"n"
"ST97",0,1,0,0,0,0,0,"n"
"SU00",0,0,0,0,0,0,1,
"SU10",0,0,0,1,1,0,1,
"SU11",0,0,0,1,1,1,1,
"SU12",0,0,0,0,1,0,0,
"SU15",0,0,0,0,0,0,1,
"SU20",0,0,0,1,1,1,1,"n"
"SU21",0,0,0,1,1,0,1,
"SU22",0,0,0,1,0,1,0,
"SU23",0,0,0,0,1,0,0,"n"
"SU29",0,0,0,0,0,1,0,
"SU30",0,0,0,1,1,0,1,"n"
"SU31",0,0,0,1,1,0,1,"n"
"SU32",0,0,0,1,1,0,0,
"SU33",0,0,0,1,0,0,0,
"SU40",0,0,0,1,1,0,1,
"SU41",0,0,0,0,1,0,0,"n"
"SU47",1,0,1,0,0,0,0,"n"
"SU49",0,0,0,0,1,0,0,"n"
"SU50",0,0,0,0,1,0,1,
"SU51",0,0,0,1,1,0,0,"n"
"SU59",0,0,1,1,1,0,0,"n"
"SU60",0,0,0,1,1,0,0,"n"
"SU68",1,0,1,1,0,0,0,"n"
"SU69",0,0,1,0,0,0,1,
"SU73",0,0,0,1,1,0,1,
"SU74",0,0,1,1,0,0,1,
"SU77",1,0,0,0,0,0,0,"n"
"SU78",0,0,1,1,0,0,0,
"SU79",1,0,0,0,0,0,0,"n"
"SU83",0,0,0,1,1,1,0,"n"
"SU84",0,0,0,0,1,1,1,"n"
"SU92",0,0,1,0,0,0,0,
"SU93",1,0,0,0,1,0,0,"n"
"SU94",0,0,0,0,1,1,1,
"SU95",0,0,0,0,1,0,1,
"SU96",1,0,0,0,1,1,0,"n"
"SU99",1,0,0,0,0,0,0,"n"
"SW72",0,0,0,1,0,0,0,
"SX06",0,0,0,1,0,0,0,"n"
"SX35",1,0,0,0,0,0,0,"n"
"SX45",1,0,0,0,0,0,0,"n"
"SX55",1,0,0,0,0,0,0,"n"
"SY88",0,0,0,0,0,1,0,
"SZ09",0,0,0,0,0,0,1,
"SZ19",0,0,0,1,0,0,1,
"SZ29",1,0,0,1,1,1,1,"n"
"SZ38",0,0,0,1,1,1,1,
"SZ39",0,0,1,1,1,1,1,
"SZ48",0,0,0,0,0,0,1,
"SZ49",0,0,0,1,1,1,1,"n"
"SZ58",0,0,0,0,0,1,0,
"SZ79",0,0,0,0,1,0,0,"n"
"TF00",0,1,1,1,1,0,0,"n"
"TF01",0,0,1,1,0,0,0,"n"
"TF04",1,0,0,0,0,0,0,
"TF05",0,0,0,0,0,0,1,
"TF06",0,0,0,1,0,0,0,
"TF10",1,1,1,0,0,0,0,
"TF38",1,0,0,0,0,0,0,
"TF56",1,0,0,0,0,0,0,
"TF70",0,0,0,1,1,0,0,
"TF71",0,1,0,0,0,0,0,"n"
"TF80",0,0,0,1,1,0,0,"n"
"TF81",0,0,0,0,0,0,1,
"TF91",0,0,0,1,1,0,0,
"TG10",0,0,0,1,0,0,0,"n"
"TG11",0,0,0,0,0,1,1,
"TG13",0,0,0,0,0,0,1,
"TG20",1,0,0,0,0,0,0,"n"
"TG41",1,0,0,0,0,0,0,"n"
"TL07",0,0,0,1,0,0,0,"n"
"TL09",0,0,0,1,0,0,0,
"TL11",0,0,0,0,1,0,0,
"TL16",1,0,0,1,0,0,0,"n"
"TL17",1,0,0,0,1,0,0,"n"
"TL19",0,0,1,1,0,0,0,
"TL21",0,0,0,0,1,0,0,
"TL23",0,0,0,0,1,0,0,"n"
"TL25",0,1,0,0,1,0,1,"n"
"TL26",0,0,0,0,0,1,0,
"TL30",0,0,0,0,1,0,0,"n"
"TL31",0,0,1,0,0,0,0,"n"
"TL32",0,0,0,0,1,0,0,
"TL36",0,0,0,0,1,0,0,"n"
"TL37",0,0,1,0,0,0,1,
"TL40",0,0,0,0,0,0,1,
"TL42",0,0,1,0,0,0,0,"n"
"TL43",1,0,0,0,0,0,0,"n"
"TL45",1,1,0,0,0,1,0,"n"
"TL50",0,0,0,0,0,0,1,
"TL51",1,0,0,0,0,0,0,"n"
"TL52",1,0,0,0,0,0,1,"n"
"TL54",1,0,0,0,0,0,0,"n"
"TL60",0,0,0,0,0,1,0,
"TL61",0,0,1,0,0,0,1,
"TL62",0,0,1,0,0,0,0,
"TL64",0,0,0,0,1,0,0,"n"
"TL68",0,0,0,0,0,0,1,
"TL71",0,0,1,0,0,0,0,
"TL72",1,0,1,0,0,0,0,"n"
"TL74",0,0,0,0,0,0,1,
"TL81",0,0,0,0,1,0,0,
"TL93",1,0,0,0,0,0,0,"n"
"TL97",1,0,0,1,0,0,0,"n"
"TM06",0,0,0,0,0,0,1,
"TM07",0,0,1,0,0,0,0,
"TM08",1,0,0,0,0,0,0,"n"
"TM15",0,0,0,0,0,1,0,
"TM16",0,0,0,0,0,1,0,
"TM21",1,0,0,0,0,0,0,"n"
"TM25",0,0,1,0,0,0,0,
"TM28",0,0,0,0,0,0,1,
"TM29",0,0,0,0,0,0,1,
"TM35",0,0,0,1,1,0,0,"n"
"TM37",0,0,0,0,1,0,0,"n"
"TM46",0,0,0,1,0,0,0,"n"
"TM47",0,0,0,0,0,1,0,
"TQ03",1,1,0,0,1,0,0,"n"
"TQ05",0,0,0,1,1,1,1,
"TQ06",0,0,0,0,1,1,1,"n"
"TQ07",0,0,0,0,1,1,1,"n"
"TQ11",1,0,0,0,0,0,0,"n"
"TQ12",0,0,1,0,0,0,0,"n"
"TQ13",0,0,0,0,1,0,1,
"TQ14",1,0,0,0,1,0,0,"n"
"TQ15",1,0,1,0,1,1,0,"n"
"TQ16",1,0,0,0,1,0,0,"n"
"TQ17",1,0,0,0,0,1,0,"n"
"TQ21",0,0,0,0,0,1,0,
"TQ24",0,0,0,0,1,0,1,
"TQ26",0,0,0,0,1,1,0,
"TQ27",1,1,0,1,1,1,1,"n"
"TQ32",0,0,1,0,0,0,0,"n"
"TQ34",0,0,0,0,0,1,0,
"TQ36",0,0,0,1,1,1,0,
"TQ39",0,0,0,0,0,0,1,
"TQ41",1,0,0,0,0,1,0,"n"
"TQ42",0,0,0,0,1,0,0,
"TQ45",0,1,0,1,0,0,0,"n"
"TQ47",1,0,0,0,0,0,0,"n"
"TQ49",0,0,0,1,0,0,0,
"TQ57",0,0,0,0,0,1,0,
"TQ61",0,0,1,0,0,0,0,
"TQ66",1,0,0,0,0,0,0,"n"
"TQ67",1,0,0,0,0,0,0,"n"
"TQ69",0,0,0,0,0,0,1,
"TQ72",0,0,1,0,0,0,1,
"TQ88",0,0,0,0,0,0,1,
"TR03",1,0,0,0,0,0,0,"n"
"TR04",1,0,0,0,0,0,0,"n"
"WV38",1,0,0,0,0,0,0,
