"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"B81",0,0,0,0,0,0,1,
"B84",0,0,0,0,0,0,1,
"C41",0,0,0,0,1,0,0,"n"
"C42",0,0,0,0,1,0,0,"n"
"C63",0,0,0,0,1,0,0,"n"
"C71",0,0,0,0,1,0,0,"n"
"C81",0,0,0,0,1,0,0,"n"
"C90",0,0,0,0,1,0,0,"n"
"D04",0,0,0,1,0,0,0,"n"
"D14",1,0,0,0,0,0,0,"n"
"G13",0,0,0,0,0,0,1,
"G40",0,0,0,0,0,0,1,"n"
"H04",0,0,0,1,0,0,0,"n"
"H16",0,0,0,1,0,0,0,"n"
"H22",0,0,0,0,1,0,0,"n"
"H24",0,0,0,0,0,1,0,"n"
"H25",0,0,0,0,1,0,0,"n"
"H26",0,0,0,0,1,0,0,"n"
"H32",0,0,0,0,1,1,0,"n"
"H33",0,0,0,0,0,1,0,"n"
"H34",0,0,0,0,1,1,0,"n"
"H42",0,0,0,0,0,1,0,"n"
"H44",0,0,0,0,1,0,0,"n"
"H45",0,0,0,0,1,0,0,"n"
"H77",0,0,0,0,1,0,0,"n"
"H98",0,0,1,1,0,0,0,"n"
"H99",1,0,0,0,0,0,1,"n"
"HU43",0,0,0,0,0,0,1,
"J06",0,0,0,0,1,0,0,"n"
"J14",0,0,0,0,0,0,1,"n"
"J17",0,0,0,0,1,0,0,"n"
"J18",0,0,0,0,1,0,0,"n"
"J21",0,0,0,0,0,1,1,"n"
"J24",0,0,0,0,0,0,1,
"J26",0,0,0,0,0,0,1,"n"
"J32",0,0,0,0,0,1,1,
"J34",0,0,0,0,0,1,0,
"J37",0,0,0,0,0,1,1,"n"
"J43",0,0,0,0,0,0,1,"n"
"J44",0,0,0,0,0,0,1,"n"
"J46",0,0,0,0,0,0,1,"n"
"J47",0,0,0,1,0,1,1,"n"
"J48",0,0,0,0,0,0,1,"n"
"J49",0,0,0,0,1,0,0,"n"
"J53",0,0,0,1,0,0,1,"n"
"J54",0,0,0,1,0,1,1,"n"
"J55",0,0,0,0,0,1,1,
