"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NO32",0,1,0,0,0,0,0,"a"
"NO50",1,0,0,1,0,0,1,"a"
"NS47",1,0,0,0,0,0,0,"a"
"NS67",1,0,0,0,0,0,0,"a"
"NS86",0,0,0,0,1,0,0,"a"
"NT17",1,0,0,0,0,0,0,"a"
"NT18",1,1,0,0,0,0,0,"a"
"NT27",1,0,0,0,0,0,0,"a"
"NT28",1,0,1,1,0,0,0,"a"
"NT37",1,0,0,0,0,0,0,"a"
"NT47",1,0,0,0,0,0,0,"a"
"NT53",1,0,1,0,0,0,0,"a"
"NY15",0,0,0,1,0,0,0,"a"
"NZ26",1,0,0,0,0,0,0,"a"
"NZ34",0,1,0,0,0,0,0,"a"
"NZ36",0,1,0,0,0,0,0,
"NZ50",0,0,0,0,1,0,0,"a"
"NZ80",1,0,0,0,0,0,0,"a"
"SD20",1,0,0,0,0,0,0,"a"
"SD31",1,0,0,0,0,0,0,"a"
"SD32",1,0,0,0,0,0,0,"a"
"SD47",0,0,1,1,1,0,0,"a"
"SD57",0,0,1,1,1,1,0,"a"
"SD90",0,0,1,0,0,0,0,"a"
"SJ35",0,1,0,0,0,0,0,"a"
"SJ38",1,0,0,0,0,0,0,"a"
"SJ48",0,1,0,0,0,0,0,"a"
"SJ60",1,0,0,0,0,0,0,"a"
"SJ84",1,0,1,0,0,0,0,"a"
"SK04",1,0,0,0,0,0,0,"a"
"SK07",0,0,0,1,1,0,1,"a"
"SK22",0,0,0,1,0,0,0,"a"
"SK50",1,0,0,0,0,0,0,"a"
"SK60",1,0,0,0,0,0,0,"a"
"SK81",0,1,1,0,0,0,0,"a"
"SK87",1,0,0,1,0,0,0,"a"
"SK90",0,1,1,0,0,0,0,"a"
"SK94",1,0,0,0,0,0,0,"a"
"SK95",0,0,0,0,1,0,0,
"SK99",0,0,0,0,1,0,0,"a"
"SO47",0,0,0,0,0,1,0,
"SO51",0,0,0,0,1,0,0,"a"
"SO60",0,1,0,1,1,0,0,"a"
"SO74",1,0,0,0,0,0,1,"a"
"SO75",1,0,0,0,0,0,0,"a"
"SO80",0,0,0,0,0,0,1,
"SO81",0,1,0,0,0,0,0,"a"
"SO87",1,0,0,0,0,0,0,"a"
"SO98",1,1,1,0,0,0,0,"a"
"SO99",0,0,0,0,1,0,0,"a"
"SP00",1,0,0,0,0,0,0,"a"
"SP02",0,0,0,1,0,0,0,"a"
"SP08",0,0,0,0,0,0,1,
"SP40",1,0,1,1,0,0,0,"a"
"SP50",0,0,0,1,0,0,0,"a"
"SP53",1,0,0,0,0,0,0,"a"
"SP58",0,0,0,0,0,0,1,
"SP75",1,0,0,0,0,0,0,"a"
"SP84",1,0,0,0,0,0,0,"a"
"SP87",1,0,0,0,0,0,0,"a"
"SP92",0,0,0,0,0,0,1,
"SP95",0,0,1,0,0,0,0,"a"
"SP96",1,0,0,0,0,0,0,"a"
"SS59",0,0,0,0,1,0,0,"a"
"SS78",0,0,0,0,0,1,1,
"SS94",0,0,0,0,0,0,1,
"ST16",0,1,1,0,0,0,0,"a"
"ST17",0,0,1,0,0,0,0,"a"
"ST47",0,1,0,0,0,0,0,"a"
"ST53",0,0,0,0,0,0,1,
"ST57",0,1,1,0,0,0,0,"a"
"ST67",1,0,0,0,0,0,0,"a"
"ST74",0,0,1,0,0,0,0,"a"
"ST76",1,0,0,0,0,0,0,"a"
"ST77",0,0,0,0,0,1,0,
"ST89",1,0,0,0,0,0,0,"a"
"ST99",1,0,0,1,1,0,0,"a"
"SU30",1,0,0,0,0,0,0,"a"
"SU31",1,0,0,0,0,0,0,
"SU38",0,0,1,0,0,0,0,"a"
"SU41",1,0,0,0,0,0,0,"a"
"SU44",0,0,0,0,0,1,1,
"SU52",1,0,0,0,0,0,0,"a"
"SU59",1,0,0,0,1,0,0,"a"
"SU68",1,0,0,0,0,0,0,"a"
"SU77",1,0,0,0,0,0,0,"a"
"SU78",1,0,0,0,0,0,0,"a"
"SU79",0,0,1,0,0,0,0,
"SU83",0,1,0,1,0,0,0,"a"
"SU85",0,1,0,0,0,0,0,
"SU88",1,0,0,0,0,0,0,"a"
"SU89",1,0,0,0,0,0,0,"a"
"SU94",0,1,1,0,0,0,0,"a"
"SU95",1,0,0,0,0,0,0,"a"
"SU97",1,0,0,0,0,0,0,"a"
"SU99",0,0,1,0,0,0,0,"a"
"SW53",1,1,1,1,0,0,0,"a"
"SW64",1,0,0,0,0,0,0,"a"
"SW74",1,0,0,0,0,0,0,"a"
"SW83",1,0,0,0,0,0,0,"a"
"SW84",1,0,0,0,0,0,0,"a"
"SX05",1,0,0,0,0,0,0,"a"
"SX06",1,0,0,0,0,0,0,"a"
"SX16",1,0,0,0,0,0,0,
"SX25",1,0,0,0,0,0,0,"a"
"SX38",1,0,0,0,0,0,0,"a"
"SX45",1,0,0,0,0,0,0,"a"
"SY68",1,0,0,0,0,0,0,"a"
"TA02",1,0,0,0,0,0,0,"a"
"TA12",1,0,0,0,0,0,0,"a"
"TA21",1,0,0,0,0,0,0,"a"
"TF00",1,0,0,0,0,0,0,"a"
"TF01",0,0,1,0,0,0,0,
"TF04",1,0,0,0,0,0,1,"a"
"TF10",1,0,0,0,0,0,0,"a"
