"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C00",0,0,0,0,1,0,0,"a"
"C30",1,0,0,0,0,0,0,"a"
"D00",0,0,0,1,1,0,0,"a"
"G94",0,1,0,0,0,0,0,"a"
"G95",1,0,0,0,0,0,0,"a"
"H03",0,1,1,0,0,0,0,"a"
"H04",0,0,1,0,0,0,0,"a"
"H05",1,0,0,0,0,0,0,"a"
"H13",0,0,1,0,0,0,0,"a"
"H14",0,1,0,0,0,0,0,"a"
"H23",0,0,1,0,0,0,0,"a"
"H24",1,0,0,0,0,0,0,"a"
"H32",0,0,1,0,0,0,0,"a"
"H33",0,0,1,0,0,0,0,"a"
"H52",1,0,0,0,0,0,0,"a"
"H55",0,0,0,0,0,0,1,
"H61",0,0,0,0,1,0,0,"a"
"H62",0,0,0,0,1,0,0,"a"
"H65",0,0,0,0,1,0,0,"a"
"H67",0,0,1,0,0,0,0,"a"
"H75",1,0,1,0,0,0,0,"a"
"H76",0,0,1,0,0,0,0,"a"
"H81",1,0,1,0,0,0,0,"a"
"H86",1,0,0,0,0,0,0,
"H87",0,0,0,0,0,1,0,
"H97",1,0,0,0,0,0,0,
"HU43",0,0,0,0,0,0,1,
"HU47",0,0,0,0,0,0,1,
"J12",0,0,0,0,1,0,0,"a"
"M09",0,0,0,0,1,0,0,"a"
"M32",1,0,0,0,0,0,0,"a"
"M33",1,0,0,0,0,0,0,"a"
"M54",1,0,0,0,0,0,0,"a"
"M73",1,0,0,0,0,0,0,"a"
"N23",1,0,0,0,0,0,0,"a"
"N90",1,0,0,0,0,0,0,"a"
"N98",1,0,0,0,0,0,0,"a"
"NC50",0,0,0,0,0,0,1,
"NC80",0,0,0,0,0,0,1,
"NC90",0,0,0,0,0,0,1,
"ND01",0,0,0,0,0,0,1,
"NG62",0,0,0,0,0,0,1,
"NH36",0,0,0,0,1,0,0,"a"
"NH45",0,0,0,0,1,0,1,"a"
"NH46",0,0,0,0,1,0,0,"a"
"NH54",0,0,0,1,0,0,0,"a"
"NH55",0,0,1,0,1,0,0,"a"
"NH56",0,0,1,0,0,0,0,"a"
"NH59",0,0,0,0,0,0,1,
"NH66",0,0,1,0,0,0,0,"a"
"NH68",0,0,0,0,0,0,1,
"NH75",0,0,1,0,0,0,0,"a"
"NH77",0,0,1,0,0,0,0,"a"
"NH78",0,0,0,0,0,0,1,
"NH79",0,0,0,0,0,0,1,
"NH81",0,0,0,1,0,0,0,
"NH85",0,0,0,1,0,0,0,"a"
"NH87",0,0,0,0,1,0,0,"a"
"NH89",1,0,1,0,0,0,1,"a"
"NH95",0,1,0,0,0,0,0,
"NJ05",0,0,0,0,0,1,1,
"NJ06",0,1,0,0,0,0,0,
"NJ32",1,0,0,0,0,0,0,
"NJ44",0,0,0,0,1,1,0,"a"
"NJ46",1,0,0,0,0,0,0,
"NJ52",0,0,1,0,1,1,0,"a"
"NJ56",0,0,1,0,0,0,0,
"NJ65",1,0,0,0,0,0,0,
"NJ66",1,0,0,0,0,0,0,
"NJ83",0,0,0,0,1,0,0,"a"
"NJ92",0,0,0,0,1,0,0,"a"
"NN74",0,0,1,0,0,0,0,"a"
"NO00",0,0,0,1,0,0,0,"a"
"NO21",1,0,0,0,0,0,0,"a"
"NO32",1,0,0,0,0,0,0,"a"
"NO33",0,0,0,0,0,0,1,
"NO54",0,0,0,1,0,0,0,"a"
"NO77",0,0,0,0,0,0,1,
"NO78",0,0,1,0,0,0,0,"a"
"NO88",0,0,1,0,0,0,0,"a"
"NR36",0,0,1,0,0,0,0,"a"
"NR71",0,0,1,0,0,0,0,"a"
"NS35",1,0,0,0,0,0,0,
"NS38",1,0,1,0,0,0,0,"a"
"NS57",0,0,0,0,0,0,1,
"NT06",0,0,0,0,1,0,0,"a"
"NT17",0,0,0,0,1,0,0,"a"
"NT18",1,0,0,0,0,0,0,"a"
"NT27",0,0,0,0,0,0,1,
"NT28",1,0,0,0,0,0,0,"a"
"NT29",1,0,1,0,0,0,0,"a"
"NT48",1,0,1,0,1,1,1,"a"
"NT51",1,0,1,0,0,0,0,"a"
"NT53",1,0,1,0,0,0,1,"a"
"NT57",1,0,0,0,1,0,0,"a"
"NT58",1,0,0,0,0,0,0,"a"
"NT64",1,0,1,0,0,0,0,"a"
"NT67",0,0,1,0,0,0,0,"a"
"NT73",1,0,1,0,0,0,0,"a"
"NT75",1,0,1,0,0,0,0,"a"
"NT83",0,1,0,1,0,1,1,
"NT84",0,0,0,0,0,0,1,
"NT85",0,1,0,0,0,0,0,"a"
"NT86",0,0,0,0,1,0,1,"a"
"NT90",0,0,0,0,0,0,1,
"NT91",0,0,0,0,0,0,1,
"NT93",0,0,0,1,0,0,1,"a"
"NT94",0,0,0,0,0,0,1,
"NT95",1,0,0,0,0,0,1,"a"
"NU00",0,0,0,0,0,0,1,
"NU01",0,0,0,0,0,0,1,
"NU02",0,0,0,0,0,0,1,
"NU03",0,0,0,0,0,1,0,
"NU10",1,0,0,0,0,0,1,"a"
