"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"C11",1,0,0,0,0,0,0,"n"
"C94",0,0,0,1,0,0,1,"n"
"NB03",0,0,0,1,0,0,0,"n"
"NC02",0,0,1,0,0,0,0,"n"
"NC22",1,0,0,0,0,0,0,"n"
"NC76",1,0,0,0,0,0,0,"n"
"ND07",0,0,1,0,0,0,0,"n"
"NG19",0,0,0,1,0,0,0,"n"
"NG51",0,0,0,1,0,0,0,
"NH18",0,0,1,0,0,0,0,"n"
"NJ05",1,0,0,0,0,0,0,
"NL58",0,1,0,0,0,0,0,"n"
"NM48",0,1,0,0,0,0,0,
"NM80",0,0,0,0,1,0,0,"n"
"NO33",0,0,0,0,1,0,0,
"NO45",0,0,0,0,0,1,0,
"NR39",0,0,1,0,0,0,1,
"NR49",0,1,0,0,0,0,0,
"NR62",0,0,1,0,0,0,0,"n"
"NR63",0,0,1,0,0,0,0,"n"
"NR67",0,0,0,1,0,0,1,"n"
"NR72",0,0,1,0,0,0,0,"n"
"NR75",0,0,1,1,0,0,0,"n"
"NR77",0,0,1,1,1,0,0,"n"
"NR78",0,0,0,1,0,0,1,"n"
"NR86",0,0,1,0,0,0,0,"n"
"NR88",0,0,1,0,1,0,0,"n"
"NR92",0,0,1,0,0,0,0,"n"
"NR97",1,0,1,0,0,0,0,"n"
"NS05",0,0,0,0,0,0,1,
"NS06",0,0,0,0,0,0,1,
"NS26",0,0,0,0,0,0,1,
"NS27",0,0,0,1,0,0,0,
"NS56",0,0,0,0,0,0,1,
"NT29",0,0,0,0,0,1,1,
"NT83",0,0,0,0,1,0,0,"n"
"NT84",0,0,0,1,1,0,1,"n"
"NT86",0,0,0,0,1,0,0,"n"
"NT92",1,0,1,0,0,0,0,"n"
"NT94",0,0,0,1,1,0,0,"n"
"NT96",1,0,1,0,0,0,0,"n"
"NU01",0,0,0,1,1,1,0,"n"
"NU02",0,0,1,1,1,0,0,"n"
"NU11",0,0,0,1,0,1,0,"n"
"NU12",0,0,0,0,0,0,1,
"NU21",0,0,1,1,1,0,0,"n"
"NX30",0,0,0,0,1,0,0,"n"
"NX55",0,0,0,0,0,0,1,
"NX90",0,0,0,1,0,0,0,
"NX91",0,0,0,1,0,0,0,
"NY00",0,0,0,1,0,0,0,
"NY01",0,0,0,1,0,0,0,
"NY02",0,0,0,1,0,0,0,
"NY03",0,0,0,1,0,0,0,
"NY23",0,0,0,1,0,0,0,
"NY31",0,0,0,0,0,0,1,
"NY38",0,0,1,0,0,0,0,"n"
"NY40",0,0,0,1,0,0,0,
"NY46",0,0,0,1,0,0,0,
"NY51",0,0,0,0,0,0,1,
"NY55",0,0,0,1,0,0,0,
"NY62",0,0,0,0,0,1,0,
"NY67",0,0,0,0,0,0,1,
"NY98",0,0,0,0,0,1,0,
"NZ05",0,0,0,0,0,1,0,
"NZ11",0,0,0,0,0,0,1,
"NZ13",0,0,0,0,0,0,1,
"NZ16",0,0,0,1,0,0,0,
"NZ19",0,0,0,1,0,0,0,
"NZ20",0,0,0,0,0,1,0,
"NZ21",0,1,1,1,0,0,0,"n"
"NZ27",0,0,0,1,0,0,1,
"NZ29",0,0,0,1,1,1,1,"n"
"NZ30",0,0,0,1,0,0,0,"n"
"NZ31",0,0,0,1,1,0,0,"n"
"NZ34",0,0,0,0,0,1,0,
"NZ37",0,0,0,0,0,0,1,
"NZ38",0,0,0,0,0,0,1,
"NZ40",0,0,0,0,1,1,1,"n"
"NZ41",0,0,0,0,1,0,1,"n"
"NZ50",0,0,0,0,0,1,1,
"NZ51",0,0,0,0,1,1,0,"n"
"NZ60",0,0,0,0,1,0,0,"n"
"NZ70",1,0,1,0,1,0,0,"n"
"NZ71",0,0,0,0,1,1,0,"n"
"NZ80",0,0,0,0,1,0,1,"n"
"NZ81",0,0,0,0,0,0,1,
"R60",1,0,0,0,0,0,0,"n"
"SD17",0,0,0,1,0,0,0,"n"
"SD27",0,0,0,1,0,0,0,"n"
"SD30",1,1,0,0,1,1,0,"n"
"SD32",0,0,1,0,0,0,0,
"SD38",0,0,0,1,0,0,0,"n"
"SD40",1,1,0,0,1,0,0,"n"
