"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"J43",0,0,0,1,0,0,0,"n"
"J47",1,0,0,0,0,0,0,"n"
"J48",1,0,0,0,0,0,0,"n"
"J53",1,0,0,0,0,0,0,"n"
"NJ06",0,0,0,0,1,1,1,"a"
"NO32",0,0,0,1,0,0,0,"a"
"NO41",1,0,0,0,0,0,0,"a"
"NS14",0,0,0,1,0,0,0,"a"
"NS15",0,0,1,0,0,0,0,"a"
"NS31",1,0,0,0,0,0,0,"a"
"NS32",1,0,0,0,0,0,0,"a"
"NT18",1,0,0,0,0,0,0,"a"
"NT27",1,0,0,0,0,0,0,"a"
"NT28",1,0,0,0,0,0,0,"a"
"NT36",1,0,0,0,0,0,0,"a"
"NT37",0,0,0,1,1,0,0,"a"
"NT69",0,0,1,0,0,0,0,"a"
"NX30",0,0,1,0,1,0,0,"n"
"NX40",0,0,1,1,1,0,1,"n"
"NY06",1,0,0,0,0,0,0,"a"
"O21",1,0,1,1,1,1,0,"n"
"O22",1,0,0,0,1,0,1,"n"
"O23",1,0,1,0,1,1,1,"n"
"O24",1,0,1,0,0,0,1,"a"
"S71",0,0,0,0,1,1,0,"n"
"S80",0,0,0,0,0,0,1,
"SC16",0,0,1,0,1,0,0,"n"
"SC26",0,0,0,0,1,0,0,"n"
"SC38",0,0,0,0,1,0,1,"n"
"SC39",1,0,1,0,1,0,0,"n"
"SC48",0,0,0,0,0,0,1,
"SC49",1,0,0,1,1,1,1,"n"
"SD34",0,0,0,0,1,0,0,"n"
"SD70",0,0,1,0,0,0,0,
"SD71",0,0,1,0,0,0,0,
"SE13",0,0,0,0,1,0,1,"a"
"SE50",0,0,0,0,0,0,1,
"SH27",0,0,0,1,1,1,1,"n"
"SH28",0,0,0,1,1,0,1,"n"
"SH33",0,0,0,0,1,0,0,"n"
"SH36",0,0,0,1,1,1,1,"n"
"SH37",0,1,0,1,1,1,1,"n"
"SH39",0,1,0,0,1,1,1,"n"
"SH50",0,0,1,1,0,0,0,"n"
"SH57",0,0,0,0,1,0,0,"n"
"SH61",0,0,1,1,0,0,0,"n"
"SH62",0,0,0,0,0,1,0,
"SH67",1,0,0,0,1,0,0,"n"
"SH68",0,0,1,0,0,0,0,"n"
"SH77",0,0,0,0,0,1,1,
"SH87",1,0,0,0,0,0,0,"n"
"SH98",0,0,0,0,0,0,1,
"SJ07",1,0,0,0,0,0,0,"n"
"SJ08",1,0,0,0,0,0,0,"n"
"SJ18",1,0,0,0,1,1,1,"n"
"SJ27",1,0,0,0,0,0,0,"n"
"SJ28",1,0,0,0,0,0,0,"n"
"SJ29",0,0,0,1,0,1,0,"n"
"SJ37",0,0,1,0,0,0,0,"n"
"SK31",0,0,0,0,0,0,1,
"SK33",1,0,0,0,0,0,0,"a"
"SK54",1,0,0,0,0,0,0,"a"
"SK89",1,0,0,0,0,0,0,
"SK94",1,0,0,0,0,0,0,"n"
"SK95",1,0,0,0,0,0,0,"n"
"SM70",0,0,0,0,1,1,1,"n"
"SM72",0,0,1,1,1,1,0,"n"
"SM73",0,0,0,0,0,1,0,
"SM80",0,0,1,1,1,1,1,"n"
"SM82",0,0,0,0,0,1,1,
"SM83",0,0,0,0,1,0,0,"n"
"SM84",0,0,0,0,1,0,1,"n"
"SM94",0,0,0,0,0,0,1,
"SN14",0,0,0,1,1,0,0,"n"
"SN15",0,0,0,0,1,1,0,"n"
"SN25",1,1,0,0,1,0,0,"n"
"SN31",0,0,1,0,0,0,0,"n"
"SN33",0,0,0,0,1,0,0,"n"
"SN40",0,0,0,0,0,1,0,
"SN46",0,0,0,1,1,0,0,"n"
"SN50",0,0,0,0,1,0,0,"n"
"SN57",0,0,0,0,1,1,0,
"SN58",0,0,0,0,1,1,1,"n"
"SN59",1,0,1,0,0,0,0,"n"
"SN68",0,0,0,0,1,1,0,
"SN69",1,0,1,0,1,1,1,"n"
"SN80",0,0,0,1,0,0,0,"n"
"SN81",0,0,0,1,0,0,0,"n"
"SO24",0,0,0,1,0,0,0,"a"
"SO60",0,0,0,0,0,0,1,
"SO61",0,0,0,0,0,0,1,
"SO73",1,1,1,0,1,1,1,"n"
"SO74",1,1,1,1,1,1,1,"n"
"SO84",1,0,0,0,0,0,0,"n"
"SO96",0,0,0,0,0,0,1,
"SR99",0,0,0,1,0,0,0,"n"
"SS14",1,0,1,1,1,1,1,"n"
"SS22",0,0,0,0,0,1,0,
"SS30",0,0,0,1,0,0,0,
"SS32",0,0,0,0,0,0,1,
"SS41",1,0,1,1,1,1,0,"n"
"SS42",0,0,1,0,1,0,1,"n"
"SS43",1,1,1,1,1,1,1,"n"
"SS44",1,0,1,0,0,1,0,"n"
"SS48",0,1,1,1,1,0,1,"n"
"SS49",0,0,0,0,1,0,0,"n"
"SS53",0,0,1,1,0,0,1,"n"
"SS54",1,0,1,1,0,0,0,"n"
"SS58",1,0,0,1,1,0,0,"n"
"SS59",0,0,0,0,1,1,0,"n"
"SS74",1,0,1,0,0,0,0,"n"
"SS77",0,0,0,0,0,1,0,
"SS78",0,0,0,0,1,1,1,"n"
"SS84",0,0,1,1,1,1,1,"n"
"SS87",0,0,0,0,0,0,1,
"SS94",0,0,0,1,1,1,1,"n"
"ST04",0,0,1,1,1,1,1,"n"
"ST06",0,0,0,0,1,0,1,"n"
"ST14",0,0,1,0,1,0,1,"n"
"ST16",0,0,0,0,0,0,1,
"ST22",0,0,0,0,0,0,1,
"ST24",1,0,1,1,1,1,1,"n"
"ST25",1,0,1,1,1,1,1,"n"
"ST26",0,0,0,0,1,0,1,"n"
"ST27",1,1,0,0,0,0,1,"n"
"ST35",0,0,1,0,1,0,0,"n"
"ST36",1,0,0,1,1,1,1,"n"
"ST37",0,0,0,0,1,0,0,"n"
"ST38",0,0,0,1,1,1,0,"n"
"ST52",0,0,0,0,0,0,1,
"ST57",1,0,1,0,1,0,0,"n"
"ST58",0,0,0,0,0,0,1,
"ST59",1,0,0,0,0,0,1,"n"
"ST67",1,0,0,1,0,0,0,"n"
"ST81",0,0,0,0,0,0,1,
"ST90",0,0,0,0,0,1,0,
"SU10",0,1,0,1,1,1,1,"n"
"SU11",0,1,0,1,1,1,1,"n"
"SU20",0,1,0,1,1,1,1,"n"
"SU21",0,1,0,1,1,1,1,"n"
"SU30",0,1,1,1,1,1,1,"n"
"SU31",0,1,1,1,1,0,1,"n"
"SU33",0,0,0,0,0,0,1,
"SU40",0,1,0,1,1,1,1,"n"
"SU41",0,0,0,1,1,1,1,"n"
"SU42",0,0,0,0,0,1,1,
"SU46",1,0,0,0,0,0,0,"n"
