"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"NT37",0,0,0,0,0,0,1,
"NZ80",0,0,0,0,0,1,0,
"SD20",0,0,0,0,0,0,1,
"SD95",0,0,0,0,0,0,1,
"SE46",0,0,0,1,0,0,0,"a"
"SE61",0,0,0,0,0,0,1,
"SJ54",0,0,0,0,0,0,1,
"SJ60",0,0,0,0,0,0,1,
"SK22",0,0,1,0,0,0,1,"a"
"SK36",0,0,0,0,0,0,1,
"SK43",0,0,0,0,0,1,1,
"SK52",0,0,0,0,0,1,0,
"SK54",0,0,0,0,1,1,0,
"SK55",0,0,0,0,0,1,0,
"SK60",0,0,0,0,1,0,0,"a"
"SK63",0,0,0,0,0,0,1,
"SK65",0,0,0,0,1,0,0,
"SK69",0,0,0,0,0,0,1,
"SK73",0,0,0,0,1,0,0,"a"
"SK75",0,0,0,0,0,1,0,
"SK88",0,0,0,0,0,0,1,
"SN35",0,0,0,0,1,0,0,"a"
"SO02",0,0,0,0,0,1,0,
"SO44",0,0,0,0,0,1,0,
"SO74",0,0,0,1,0,0,0,"a"
"SO85",0,0,0,0,0,1,0,
"SO88",0,0,0,0,0,1,0,
"SO99",0,0,0,0,0,1,0,
"SP15",0,0,1,0,0,0,0,"a"
"SP18",0,0,0,0,0,0,1,
"SP37",0,0,0,0,0,0,1,
"SP50",0,0,0,0,0,0,1,
"SP58",0,0,0,0,0,0,1,
"SP62",0,0,0,0,0,0,1,
"ST43",0,0,0,1,1,1,1,"a"
"ST51",0,0,0,0,0,0,1,
"ST52",0,0,0,0,1,0,0,"a"
"ST78",0,0,1,0,0,0,0,"a"
"SU16",0,0,1,0,0,0,0,"a"
"SU17",1,0,0,0,0,0,0,"a"
"SU20",0,0,0,0,0,0,1,
"SU24",0,0,0,0,0,0,1,
"SU27",0,0,1,0,0,0,0,"a"
"SU29",0,0,0,0,0,0,1,
"SU34",0,0,0,0,0,1,0,
"SU37",0,0,0,0,0,0,1,
"SU39",0,0,0,0,0,0,1,
"SU46",0,0,0,0,0,0,1,
"SU49",0,0,0,0,0,0,1,
"SU57",0,0,0,0,0,0,1,
"SU76",0,0,0,0,0,0,1,
"SU77",0,0,0,0,1,0,0,"a"
"SU84",0,0,0,0,0,1,1,
"SU90",0,0,0,0,1,0,1,"a"
"SU92",0,0,0,0,1,0,0,"a"
"SU96",0,0,0,0,0,0,1,
"SU97",0,0,0,0,0,0,1,
"SZ19",0,0,0,0,0,0,1,
"SZ68",0,0,0,0,0,0,1,
"TA02",0,0,0,0,0,1,1,
"TA08",0,0,0,0,0,1,0,
"TF30",0,0,0,0,0,0,1,
"TF70",1,0,0,0,0,0,0,"a"
"TG03",0,0,0,0,0,0,1,
"TG30",0,0,0,0,0,0,1,
"TL08",0,0,0,0,0,1,0,
"TL10",0,0,0,0,0,0,1,
"TL12",1,0,0,0,0,0,0,"a"
"TL19",0,0,0,0,0,1,0,
"TL30",0,0,0,0,1,0,0,"a"
"TL36",0,0,0,0,0,1,0,
"TL44",0,0,0,0,1,0,0,"a"
"TL45",0,0,0,1,0,0,1,"a"
"TL46",0,0,0,1,0,0,0,"a"
"TL54",1,0,0,1,1,0,1,"a"
"TL57",0,0,0,0,0,0,1,
"TL66",0,0,0,0,1,0,0,"a"
"TL79",0,0,0,1,1,0,0,"a"
"TL84",0,0,0,0,0,1,0,
"TL89",0,0,0,1,1,0,0,"a"
"TL99",0,0,0,0,0,0,1,
"TM03",0,0,0,0,0,0,1,
"TM15",0,1,0,1,0,0,0,"a"
"TM34",0,0,0,0,1,1,0,"a"
"TQ05",0,0,0,0,0,0,1,
"TQ06",0,0,0,0,0,0,1,
"TQ08",0,0,0,0,0,0,1,
"TQ09",0,0,0,0,0,0,1,
"TQ10",0,0,0,0,0,0,1,
"TQ15",0,0,0,0,0,0,1,
"TQ16",0,0,0,0,0,1,1,
"TQ17",0,0,0,0,0,0,1,
"TQ26",0,0,0,0,0,0,1,
"TQ27",0,0,0,0,0,0,1,
"TQ28",0,0,0,0,0,0,1,
"TQ35",0,0,0,0,0,0,1,
"TQ37",0,0,0,0,0,0,1,
"TQ38",0,0,0,0,0,0,1,
"TQ40",0,0,0,0,0,0,1,
"TQ41",0,0,0,0,0,0,1,
"TQ46",0,0,0,0,0,0,1,
"TQ47",0,0,0,0,0,0,1,
"TQ51",0,0,0,0,0,0,1,
"TQ55",0,0,0,0,0,1,0,
"TQ56",0,0,0,1,0,0,0,"a"
"TQ57",0,0,0,1,0,0,0,"a"
"TQ60",0,0,0,0,0,0,1,
"TQ68",0,0,0,0,0,0,1,
"TQ69",0,0,0,0,0,0,1,
"TQ75",0,0,0,0,0,0,1,
"TQ85",0,0,0,0,0,0,1,
"TR01",0,0,0,0,0,0,1,
"TR02",0,0,1,0,0,0,0,"a"
"TR06",0,0,0,0,0,0,1,
"TR34",0,0,0,0,0,1,0,
"WV55",0,0,0,0,0,0,1,
"WV65",0,0,1,0,0,0,0,"a"
