"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"SE70",0,0,1,0,0,0,0,"a"
"SO71",1,0,0,1,1,1,1,"n"
"SO74",1,0,0,0,0,0,0,"n"
"SO75",1,0,0,0,0,0,0,"n"
"SO76",1,1,0,1,0,0,0,"n"
"SO84",1,0,0,0,0,0,0,"n"
"SO85",1,1,0,0,0,0,0,"n"
"SO87",0,0,0,1,0,0,0,"n"
"SO91",1,0,0,0,0,0,0,"n"
"SO92",1,0,0,0,0,0,0,"n"
"SO95",1,0,0,1,0,0,0,"n"
"SO96",1,0,0,0,0,0,0,"n"
"SP04",1,0,1,0,0,0,1,"n"
"SP05",0,1,0,0,1,1,0,"n"
"SP13",1,0,0,1,0,0,0,"n"
"SP15",1,0,1,0,0,0,0,"n"
"SP24",1,0,1,0,0,0,0,"n"
"SP25",0,0,1,0,1,1,0,"n"
"SP33",1,0,0,0,0,0,0,"a"
"SP34",0,0,0,0,0,1,0,"a"
"SP35",1,0,1,1,1,0,1,"n"
"SP36",1,0,0,0,0,0,0,"n"
"SP40",1,0,0,1,1,1,0,"n"
"SP42",0,0,0,1,0,0,0,"n"
"SP46",0,0,0,0,0,0,1,"n"
"SP52",0,0,1,1,0,0,0,"n"
"SP70",0,0,0,1,1,1,0,"n"
"SP83",0,0,0,0,1,0,0,"a"
"SP91",0,0,0,0,1,0,1,"a"
"SP92",0,0,1,0,0,0,0,"n"
"SP94",0,0,1,0,1,1,1,"n"
"SP96",0,0,0,1,1,0,0,"n"
"SS60",0,0,1,0,0,0,0,"a"
"ST01",1,0,1,0,0,0,0,"n"
"ST04",1,0,0,0,0,0,0,"n"
"ST14",0,0,1,1,0,0,1,"n"
"ST21",0,0,0,1,1,1,1,"n"
"ST22",0,0,1,0,1,1,0,"n"
"ST24",0,0,0,1,1,1,1,"n"
"ST31",0,0,0,0,1,1,1,"n"
"ST32",0,0,1,1,1,1,1,"n"
"ST33",0,0,0,0,1,0,1,"n"
"ST35",0,0,0,0,0,0,1,"n"
"ST42",0,0,0,1,1,1,1,"n"
"ST43",0,0,1,1,1,1,1,"n"
"ST46",0,0,0,0,1,0,0,"n"
"ST51",1,0,0,0,1,0,0,"n"
"ST52",1,0,0,1,1,1,1,"n"
"ST53",0,0,1,0,1,0,1,"n"
"ST54",1,0,0,0,0,0,0,"n"
"ST61",1,0,1,0,0,0,0,"n"
"ST66",1,0,0,0,0,0,0,"n"
"ST76",1,0,0,0,0,0,0,"n"
"ST81",1,0,0,0,0,0,0,"n"
"ST86",0,0,0,1,1,0,0,"n"
"ST88",0,0,1,0,0,1,0,"n"
"ST90",0,0,0,0,0,1,0,"a"
"ST98",0,0,1,0,0,0,0,"a"
"ST99",1,0,0,0,0,0,0,"n"
"SU16",1,0,0,0,0,0,0,"a"
"SU19",1,0,0,0,0,0,0,"a"
"SU41",1,0,0,0,0,0,0,"a"
"SU46",1,0,0,0,0,0,0,"a"
"SU49",0,0,0,1,0,0,0,"n"
"SU50",1,0,0,0,0,0,0,"n"
"SU58",0,0,1,1,0,0,0,"n"
"SU59",0,0,0,0,1,0,0,"n"
"SU66",1,0,0,0,0,0,0,"a"
"SU67",1,0,0,0,0,0,0,"a"
"SU68",1,0,0,0,0,0,0,"a"
"SU75",0,0,1,0,0,0,0,"n"
"SU79",0,0,0,0,0,1,0,"a"
"SU88",0,0,1,1,0,0,0,"n"
"SU99",0,0,1,0,1,0,0,"n"
"SW64",0,0,0,0,1,0,0,"a"
"SW75",1,0,0,0,0,0,0,"a"
"SW83",1,0,0,0,0,0,0,"a"
"SW87",0,0,1,0,0,0,0,"a"
"SX05",1,0,0,0,0,0,0,"a"
"SX15",0,1,0,0,0,0,0,"a"
"SX63",0,0,0,1,0,0,0,"a"
"SX65",0,0,0,0,0,0,1,"a"
"SX73",0,0,0,1,1,0,0,"a"
"SX74",1,0,1,1,0,0,0,"n"
"SX87",1,0,0,0,0,1,0,"a"
"SX88",1,0,0,0,1,0,0,"n"
"SX89",0,0,0,1,1,0,0,"a"
"SX96",1,0,0,0,0,0,0,"a"
"SX97",1,0,0,0,0,0,0,"n"
"SX98",0,1,0,0,0,0,0,"a"
"SX99",0,0,0,1,0,0,0,"a"
"SY48",0,0,0,0,0,0,1,"n"
"SY58",1,0,1,1,1,1,1,"n"
"SY66",1,1,1,1,1,1,1,"n"
"SY67",1,1,1,1,1,1,1,"n"
"SY68",1,1,0,0,0,0,0,"n"
"SY69",0,0,1,0,0,0,0,"n"
"SY77",0,0,0,0,1,0,1,"n"
"SY78",0,0,0,0,1,0,1,"n"
"SY87",1,0,0,0,1,0,0,"n"
"SY88",0,0,0,1,1,0,0,"n"
"SY97",1,0,1,1,1,1,1,"n"
"SZ07",1,1,1,1,1,1,1,"n"
"SZ08",1,0,0,0,0,0,0,"n"
"SZ09",0,0,0,0,0,1,0,"n"
"SZ29",1,0,0,0,0,0,0,"n"
"SZ38",0,0,0,0,0,0,1,"n"
"SZ57",0,0,0,0,1,1,1,"n"
"SZ58",0,0,0,0,0,1,0,"n"
"SZ59",0,0,1,0,0,0,0,"n"
"SZ68",0,0,1,1,1,1,1,"n"
"TF10",0,0,0,0,1,0,0,"a"
"TF11",0,0,0,0,0,0,1,"n"
"TG30",0,0,0,1,1,0,0,"a"
"TL01",1,1,0,0,0,0,0,"n"
"TL02",1,1,0,0,0,0,1,"n"
"TL03",1,1,0,0,0,0,1,"n"
"TL04",0,0,0,0,0,0,1,"n"
"TL05",0,0,0,1,1,1,0,"n"
"TL06",0,0,0,0,1,1,1,"n"
"TL07",0,0,0,0,1,0,1,"a"
"TL13",1,0,1,1,0,0,1,"n"
"TL15",0,0,1,0,0,0,1,"n"
"TL16",0,0,1,1,1,1,1,"n"
"TL17",0,0,1,1,1,1,1,"n"
"TL18",0,0,1,1,0,1,0,"n"
"TL19",0,0,0,0,0,0,1,"n"
"TL23",1,0,0,0,1,0,1,"n"
"TL24",1,1,1,0,0,0,1,"n"
"TL25",1,0,1,1,1,1,1,"n"
"TL26",0,0,1,0,0,1,1,"n"
"TL27",0,0,1,1,0,0,0,"n"
"TL28",0,0,0,0,0,0,1,"n"
"TL31",1,0,0,0,0,0,0,"n"
"TL32",1,0,0,0,0,0,0,"n"
"TL34",0,0,1,0,0,0,0,"n"
"TL35",1,1,1,1,1,1,1,"n"
"TL36",1,0,1,1,1,1,1,"n"
"TL37",0,0,1,1,0,1,1,"n"
"TL38",0,0,0,1,0,0,0,"n"
"TL43",0,1,1,1,1,1,0,"n"
"TL44",0,0,0,0,1,0,1,"n"
"TL45",1,0,1,1,1,1,1,"n"
"TL46",1,0,0,1,1,1,1,"n"
"TL49",0,0,1,0,0,0,0,"a"
"TL51",0,1,1,0,0,0,0,"n"
"TL53",1,0,0,0,0,0,0,"n"
"TL54",1,0,0,0,0,0,0,"n"
"TL56",0,0,1,0,1,1,0,"n"
"TL57",0,0,0,1,0,0,0,"n"
"TL61",1,1,1,1,0,0,0,"n"
"TL62",1,1,1,0,0,1,0,"n"
"TL63",1,1,1,1,0,0,1,"n"
"TL64",0,0,0,1,1,0,1,"n"
"TL65",1,0,0,0,0,0,0,"n"
"TL71",1,1,1,0,0,0,0,"n"
"TL73",0,0,0,0,1,0,1,"n"
"TL74",0,1,0,1,0,0,0,"n"
"TL78",0,0,1,0,0,0,0,"a"
"TL83",1,1,1,1,0,0,0,"n"
"TL84",1,1,0,1,0,0,1,"n"
"TL93",1,0,1,1,0,0,0,"n"
"TL94",1,0,1,0,0,0,1,"n"
"TM04",0,0,1,1,0,0,0,"n"
"TM05",0,0,0,0,1,0,0,"n"
"TM14",0,0,0,0,0,1,0,"n"
"TM15",0,0,0,1,1,1,1,"n"
"TM22",0,0,0,1,1,0,0,"n"
"TM25",0,0,0,1,0,0,0,"n"
"TM28",0,0,1,0,0,0,0,
"TM36",0,0,0,0,1,0,0,"n"
"TM45",0,0,1,1,0,0,0,"n"
"TQ09",0,0,0,1,0,0,0,"n"
"TQ12",0,0,1,0,0,0,0,"n"
"TQ15",1,1,1,0,0,0,0,"n"
"TQ16",1,0,0,0,0,0,0,"a"
"TQ18",1,1,0,0,0,0,0,"a"
"TQ24",0,0,1,0,0,0,0,"a"
"TQ32",1,0,0,0,0,0,0,"n"
"TQ42",1,0,0,0,0,0,0,"n"
"TQ50",1,0,0,0,0,0,0,"n"
"TQ54",0,0,1,0,0,0,0,"n"
"TQ66",1,0,0,0,0,0,0,"n"
"TQ78",0,1,1,1,0,0,0,"a"
"TQ88",1,0,0,0,0,0,0,"n"
"TR16",0,0,0,1,0,0,0,"n"
"TV59",1,0,0,0,0,1,1,"n"
