"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"S71",0,0,0,0,0,1,0,
"SM72",0,1,0,0,0,0,0,
"SO90",0,0,0,1,0,0,0,
"SP04",0,0,0,0,0,1,0,
"SP31",1,0,0,0,0,0,0,
"ST10",1,0,0,0,0,0,0,
"ST43",0,0,0,0,1,0,0,
"ST45",0,0,0,0,1,0,0,
"ST59",1,0,0,0,0,0,0,
"SU11",0,0,1,0,0,0,0,
"SU30",0,0,0,1,0,0,0,
"SU33",1,0,0,0,1,0,0,
"SU34",1,0,0,0,1,0,0,
"SU80",1,0,0,0,0,0,0,
"SV81",0,1,0,0,0,0,0,
"SV91",0,0,0,1,1,0,0,
"SW53",0,0,0,0,1,1,0,
"SW75",0,0,0,0,1,0,0,
"SW83",0,0,0,0,0,1,0,
"SW84",0,0,0,0,0,1,1,
"SW98",0,0,0,0,1,0,0,
"SX15",0,0,0,0,0,0,1,
"SX45",1,0,0,0,0,0,0,
"SY98",1,0,0,0,0,0,0,
"SZ07",0,0,0,0,1,0,0,
"SZ38",0,0,0,0,0,1,0,
"SZ47",0,0,0,0,0,1,0,
"SZ48",0,0,0,0,0,1,0,
"TF71",0,0,1,0,0,0,0,
"TL45",0,0,0,0,0,1,1,
"TQ16",1,0,0,0,0,0,0,
"TQ41",1,0,0,0,0,0,0,
"TQ50",0,0,0,0,0,0,1,
"TQ67",0,0,0,0,0,1,1,
"TQ92",0,0,0,0,0,0,1,
"TQ95",0,0,0,0,0,0,1,
"W02",0,0,0,0,1,1,0,
