"hectad","to 1929","1930 - 1949","1950 - 1969","1970 - 1986","1987 - 1999","2000 - 2009","2010 - 2019","atlasstatus"
"D40",0,0,0,0,0,0,1,
"F62",0,0,0,0,0,0,1,
"F63",0,0,0,0,0,0,1,
"F72",0,0,0,0,0,0,1,
"F73",0,0,0,0,0,0,1,
"G75",0,0,0,0,0,0,1,
"G87",0,0,0,0,0,0,1,
"G97",0,0,0,0,0,0,1,
"J00",0,0,0,0,0,0,1,
"J10",0,0,0,0,0,0,1,
"J11",0,0,0,0,0,0,1,
"J12",0,0,0,0,0,0,1,
"J21",0,0,0,0,0,0,1,
"J43",0,0,0,0,0,0,1,
"J53",0,0,0,0,0,0,1,
"J54",0,0,0,0,0,0,1,
"J55",0,0,0,0,0,0,1,
"J56",0,0,0,0,0,0,1,
"J58",0,0,0,0,0,0,1,
"J64",0,0,0,0,0,0,1,
"J66",0,0,0,0,0,0,1,
"M31",0,0,0,0,0,0,1,
"NC55",0,0,0,1,0,0,0,
"ND12",0,0,0,0,0,1,0,
"NH19",0,0,0,1,0,0,0,
"NM72",0,0,0,0,0,0,1,
"NM83",0,0,0,0,0,1,0,
"NM93",0,0,0,0,0,1,0,
"NR87",0,0,0,0,1,0,0,
"NU05",0,0,0,0,0,1,0,
"NX06",0,0,0,1,0,0,0,
"NZ52",0,0,0,1,0,0,0,
"NZ53",0,0,0,1,0,0,0,
"O13",0,0,0,0,0,0,1,
"O16",0,0,0,0,0,0,1,
"O17",0,0,0,0,0,1,1,
"O18",0,0,0,0,0,0,1,
"O23",0,0,0,0,0,0,1,
"O24",0,0,0,0,0,0,1,
"O30",0,0,0,0,0,0,1,
"R14",0,0,0,0,0,0,1,
"R45",0,0,0,0,0,0,1,
"S50",0,0,0,0,0,0,1,
"S60",0,0,0,0,0,0,1,
"S61",0,0,0,0,0,0,1,
"S80",0,0,0,0,0,0,1,
"S81",0,0,0,0,0,0,1,
"SD45",0,0,0,0,1,0,0,
"SD46",0,0,1,1,1,0,0,
"SD47",0,0,0,0,0,0,1,
"SH36",0,0,0,0,0,0,1,
"SH37",0,0,0,0,0,0,1,
"SH46",0,0,0,0,0,0,1,
"SH57",0,0,0,0,0,0,1,
"SH58",0,0,0,0,0,0,1,
"SH67",0,0,0,0,0,0,1,
"SH78",0,0,0,0,0,0,1,
"SH97",0,0,0,0,0,0,1,
"SJ28",0,0,0,0,0,0,1,
"SS42",0,0,0,0,0,0,1,
"SS43",0,0,0,0,0,0,1,
"SS59",0,0,0,0,0,0,1,
"ST38",0,0,0,0,0,0,1,
"SV81",0,0,0,0,0,0,1,
"SW64",0,0,0,0,1,1,0,
"SZ47",0,0,0,0,1,0,0,
"SZ69",0,0,0,0,0,1,0,
"SZ79",0,0,1,0,0,0,0,
"T00",0,0,0,0,0,0,1,
"T01",0,0,0,0,0,0,1,
"T02",0,0,0,0,0,0,1,
"T10",0,0,0,0,0,0,1,
"T11",0,0,0,0,0,0,1,
"T14",0,0,0,0,0,0,1,
"TF84",0,0,0,0,0,1,0,
"TQ39",0,0,0,1,0,0,0,
"TQ91",0,0,0,0,0,0,1,
"TR06",0,0,0,1,0,0,0,
"V65",0,0,0,0,0,0,1,
"W02",0,1,0,0,0,0,1,
"W86",0,0,0,0,0,0,1,
"W87",0,0,0,0,0,0,1,
"W96",0,0,0,0,0,0,1,
"WA50",0,1,0,0,0,0,0,
"X06",0,0,0,0,0,0,1,
